@RELATION CV_QBF-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC

@DATA
impl16,1,1
k6_2_3,1,1
aim-200-1_6-yes1-4-90,1,1
k_lin_n-15,1,1
k_t4p_n-14,1,1
nusmv.tcas-t^1.B-d2,1,1
k_ph_n-9,1,1
rankfunc5_signed_32,1,1
ev-pr-8x8-17-7-0-1-2-lg,1,1
s1269_d14_u,1,1
ev-pr-4x4-15-3-0-0-1-lg,1,1
s1196_d4_u,1,1
toilet_g_20_01.2,1,1
k_d4_p-17,1,1
k_dum_n-1,1,1
c4_Debug_s3_f1_e2_v2,1,1
k_path_p-16,1,1
k_poly_p-4,1,1
impl12,1,1
qshifter_7,1,1
term1.blif_0.10_0.20_0_0_out_exact,1,1
ken.oop^2.C-d3,1,1
s499_d9_s,1,1
cache-coherence-3-fixpoint-3,1,1
impl10,1,1
stmt41_160_235,1,1
s641_d5_s,1,1
s298_d4_s,1,1
k_ph_n-1,1,1
arbiter-06-comp-error01-qbf-hardness-depth-12,1,1
fpu-10Xe-correct01-nonuniform-depth-24,1,1
nusmv.tcas^3.B-f2,1,1
dungeon_i25-m12-u3-v0.pddl_planlen=190,1,1
lognBWLARGEA0,1,1
s27_d5_u,1,1
k_branch_n-16,1,1
query31_reachqu_1344n,1,1
k_d4_n-20,1,1
impl08,1,1
dungeon_i25-m12-u3-v0.pddl_planlen=72,1,1
k_branch_p-10,1,1
s499_d17_s,1,1
vonNeumann-ripple-carry-5-c,1,1
p10-10.pddl_planlen=10,1,1
k_branch_n-9,1,1
C5315.blif_0.10_1.00_0_1_out_exact,1,1
c3_BMC_p1_k256,1,1
vonNeumann-ripple-carry-10-c,1,1
s386_d12_u,1,1
rankfunc5_unsigned_64,1,1
k_path_n-6,1,1
k_poly_p-9,1,1
c2_Debug_s3_f1_e1_v2,1,1
stmt17_86_98,1,1
k_d4_p-7,1,1
flipflop-6-c,1,1
k_grz_n-20,1,1
mutex-16-s,1,1
toilet_c_08_01.11,1,1
stmt23_66_96,1,1
b20_PR_7_90,1,1
biu.mv.xl_ao.bb-b001-p010-IPF05-c07.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-003,1,1
C499.blif_0.10_1.00_0_0_inp_exact,1,1
impl14,1,1
aim-50-6_0-yes1-3-50,1,1
k_lin_p-10,1,1
tlc03-uniform-depth-52,1,1
biu.mv.xl_ao.bb-b001-p010-IPF02-c07.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-003,1,1
k_branch_p-11,1,1
adder-10-sat,1,1
s298_d22_u,1,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-005,1,1
arbiter-07-comp-error01-qbf-hardness-depth-20,1,1
k_lin_n-7,1,1
lognBWLARGEA1,1,1
k_poly_n-17,1,1
stmt19_64_99,1,1
k_dum_p-6,1,1
szymanski-20-s,1,1
szymanski-6-s,1,1
k_path_p-21,1,1
toilet_c_08_01.6,1,1
C432.blif_0.10_0.20_0_1_inp_exact,1,1
k_lin_p-8,1,2
rewriting_k_19,1,2
s298_d17_s,1,2
s510_d24_s,1,2
arbiter-07-comp-error02-qbf-hardness-depth-6,1,2
z4ml.blif_0.10_1.00_0_0_out_exact,1,2
dungeon_i10-m10-u10-v0.pddl_planlen=187,1,2
k_poly_n-5,1,2
szymanski-18-s,1,2
input_mouser_cseries.c,1,2
toilet_a_04_05.2,1,2
Adder2-8-s,1,2
dungeon_i25-m12-u5-v0.pddl_planlen=170,1,2
test3_quant_squaring2,1,2
ev-pr-6x6-5-5-0-1-2-s,1,2
