@RELATION FEATURE_COSTS_QBF-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE base NUMERIC

@DATA
C880.blif_0.10_1.00_0_1_inp_exact,1,0.54
ev-pr-6x6-19-5-0-1-2-s,1,10.848
ev-pr-6x6-9-5-0-1-2-lg,1,1.092
query03_query25_1344,1,0.536
audio_ddksynth_csynth2.cpp,1,1.028
arbiter-06-comp-error02-qbf-hardness-depth-5,1,0.408
k_t4p_n-15,1,0.48
lights3_021_0_027,1,0.524
test5_quant_squaring4,1,0.436
k_grz_p-17,1,0.456
s3330_d7_s,1,2.54
toilet_g_06_01.2,1,0.272
cache-coherence-2-fixpoint-6,1,1.416
k_d4_n-14,1,0.58
k_grz_p-16,1,0.488
stmt44_916_917,1,0.436
s510_d28_s,1,1.868
gttt_2_1_00011020_4x4_b,1,1.124
k_lin_p-14,1,0.412
z4ml.blif_0.10_0.20_0_1_inp_exact,1,0.244
rewriting_k_50,1,0.328
query31_reachqu_1344n,1,0.444
ev-pr-8x8-15-7-0-1-2-lg,1,1.976
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-005,1,0.736
ken.oop^2.C-d3,1,0.6
Core1108_tbm_21.tex.module.000008,1,0.344
k_dum_p-20,1,0.368
CHAIN12v.13,1,0.424
k_poly_n-6,1,0.388
k_grz_n-20,1,0.44
arbiter-10-comp-error01-qbf-hardness-depth-22,1,1.468
Core1108_tbm_03.tex.moduleQ3.2S.000002,1,0.424
biu.mv.xl_ao.bb-b001-p010-OPF02-c08.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-003,1,0.452
k_t4p_p-18,1,0.456
cache-coherence-3-fixpoint-3,1,1.144
qshifter_3,1,0.256
jnh212-50,1,0.544
k_lin_p-2,1,0.3
rewriting_k_75,1,0.372
c1_Debug_s3_f1_e1_v1,1,?
k_grz_n-6,1,0.368
k_d4_n-3,1,0.32
k_t4p_n-13,1,0.528
k_path_p-5,1,0.368
toilet_c_08_05.4,1,0.392
impl10,1,0.304
