@RELATION FEATURE_RUNSTATUS_QBF-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE base {ok,timeout,memout,presolved,crash,unknown,other}

@DATA
C880.blif_0.10_1.00_0_1_inp_exact,1,ok
ev-pr-6x6-19-5-0-1-2-s,1,ok
ev-pr-6x6-9-5-0-1-2-lg,1,ok
query03_query25_1344,1,ok
audio_ddksynth_csynth2.cpp,1,ok
arbiter-06-comp-error02-qbf-hardness-depth-5,1,ok
k_t4p_n-15,1,ok
lights3_021_0_027,1,ok
test5_quant_squaring4,1,ok
k_grz_p-17,1,ok
s3330_d7_s,1,ok
toilet_g_06_01.2,1,ok
cache-coherence-2-fixpoint-6,1,ok
k_d4_n-14,1,ok
k_grz_p-16,1,ok
stmt44_916_917,1,ok
s510_d28_s,1,ok
gttt_2_1_00011020_4x4_b,1,ok
k_lin_p-14,1,ok
z4ml.blif_0.10_0.20_0_1_inp_exact,1,ok
rewriting_k_50,1,ok
query31_reachqu_1344n,1,ok
ev-pr-8x8-15-7-0-1-2-lg,1,ok
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-005,1,ok
ken.oop^2.C-d3,1,ok
Core1108_tbm_21.tex.module.000008,1,ok
k_dum_p-20,1,ok
CHAIN12v.13,1,ok
k_poly_n-6,1,ok
k_grz_n-20,1,ok
arbiter-10-comp-error01-qbf-hardness-depth-22,1,ok
Core1108_tbm_03.tex.moduleQ3.2S.000002,1,ok
biu.mv.xl_ao.bb-b001-p010-OPF02-c08.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-003,1,ok
k_t4p_p-18,1,ok
cache-coherence-3-fixpoint-3,1,ok
qshifter_3,1,ok
jnh212-50,1,ok
k_lin_p-2,1,ok
rewriting_k_75,1,ok
c1_Debug_s3_f1_e1_v1,1,memout
k_grz_n-6,1,ok
k_d4_n-3,1,ok
k_t4p_n-13,1,ok
k_path_p-5,1,ok
toilet_c_08_05.4,1,ok
impl10,1,ok
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-003,1,ok
query01_ntrivil_1344,1,ok
CHAIN14v.15,1,ok
fpu-10Xe-correct01-nonuniform-depth-6,1,ok
cnt08e,1,ok
fpu-10Xh-correct04-uniform-depth-16,1,ok
ev-pr-6x6-15-5-0-1-2-s,1,ok
s1196_d2_s,1,ok
c4_Debug_s3_f1_e1_v2,1,ok
s499_d19_s,1,ok
k_t4p_p-4,1,ok
k_d4_n-2,1,ok
stmt24_765_766,1,ok
z4ml.blif_0.10_1.00_0_1_out_exact,1,ok
k_poly_p-4,1,ok
toilet_g_20_01.2,1,ok
stmt23_72_76,1,ok
c4_BMC_p2_k128,1,ok
cnt10,1,ok
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-009,1,ok
k_poly_p-14,1,ok
s3330_d10_u,1,ok
s1196_1_5,1,ok
szymanski-6-s,1,ok
s499_d18_s,1,ok
k_d4_p-8,1,ok
Adder2-2-c,1,ok
k_path_p-13,1,ok
k_path_p-21,1,ok
k_dum_p-12,1,ok
k_t4p_p-10,1,ok
k_d4_p-4,1,ok
p10-10.pddl_planlen=6,1,ok
toilet_g_08_01.2,1,ok
sdlx-fixpoint-3,1,ok
sortnetsort8.AE.stepl.003,1,ok
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,ok
s1269_d13_u,1,ok
BLOCKS4ii.7.2,1,ok
c1_Debug_s5_f1_e1_v2,1,ok
stmt17_86_98,1,ok
emptyroom_e3_ser---19_,1,ok
nusmv.tcas^6.B-f4,1,ok
k_grz_p-13,1,ok
sortnetsort7.v.stepl.007,1,ok
ev-pr-6x6-5-5-0-1-2-lg,1,ok
sortnetsort5.v.stepl.004,1,ok
fpu-10Xh-correct04-uniform-depth-8,1,ok
C499.blif_0.10_1.00_0_1_out_exact,1,ok
k_lin_p-11,1,ok
s510_d3_s,1,ok
k_lin_p-3,1,ok
ev-pr-6x6-11-5-0-1-2-lg,1,ok
arbiter-07-comp-error01-qbf-hardness-depth-20,1,ok
arbiter-07-comp-error01-qbf-hardness-depth-11,1,ok
lognBWLARGEB1,1,ok
AR-fixpoint-5,1,ok
b21_C_3_206,1,ok
b12_PR_9_2,1,ok
C880.blif_0.10_1.00_0_1_out_exact,1,ok
k_ph_n-21,1,ok
sortnetsort10.v.stepl.005,1,ok
query11_query21_1344,1,ok
cube_c3_ser--opt-6_,1,ok
s09234_PR_8_2,1,ok
test2_quant_squaring2,1,ok
s27_d5_u,1,ok
s641_d7_u,1,ok
C880.blif_0.10_0.20_0_0_inp_exact,1,ok
k_path_p-18,1,ok
toilet_a_02_10.2,1,ok
k_ph_p-10,1,ok
z4ml.blif_0.10_1.00_0_1_inp_exact,1,ok
stmt21_79_304,1,ok
BLOCKS3ii.5.3,1,ok
s27_d2_s,1,ok
C432.blif_0.10_0.20_0_1_out_exact,1,ok
uclid-pipe3a,1,ok
k8_3_2,1,ok
incrementer-enc02-nonuniform-depth-31,1,ok
term1.blif_0.10_0.20_0_1_out_exact,1,ok
toilet_c_08_01.11,1,ok
f600-50,1,ok
toilet_c_04_01.4,1,ok
