@RELATION ALGORITHM_FEATURE_VALUES_SAT11-HAND-ALGO

@ATTRIBUTE algorithm STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Lines..Average. NUMERIC
@ATTRIBUTE Lines..Total. NUMERIC
@ATTRIBUTE Size..Average. NUMERIC
@ATTRIBUTE Size..Total. NUMERIC
@ATTRIBUTE Number.of.files NUMERIC
@ATTRIBUTE Cyclomatic..Average. NUMERIC
@ATTRIBUTE Cyclomatic..Total. NUMERIC
@ATTRIBUTE Max.Indent..Average. NUMERIC
@ATTRIBUTE Max.Indent..Total. NUMERIC
@ATTRIBUTE nb_nodes NUMERIC
@ATTRIBUTE nb_edges NUMERIC
@ATTRIBUTE degree_min NUMERIC
@ATTRIBUTE degree_max NUMERIC
@ATTRIBUTE degree_mean NUMERIC
@ATTRIBUTE degree_variance NUMERIC
@ATTRIBUTE degree_entropy NUMERIC
@ATTRIBUTE transitivity NUMERIC
@ATTRIBUTE clustering_min NUMERIC
@ATTRIBUTE clustering_max NUMERIC
@ATTRIBUTE clustering_mean NUMERIC
@ATTRIBUTE clustering_variance NUMERIC
@ATTRIBUTE path_min NUMERIC
@ATTRIBUTE paths_max NUMERIC
@ATTRIBUTE path_mean NUMERIC
@ATTRIBUTE path_variance NUMERIC
@ATTRIBUTE path_entropy NUMERIC
@ATTRIBUTE Stmt NUMERIC
@ATTRIBUTE Type NUMERIC
@ATTRIBUTE Decl NUMERIC
@ATTRIBUTE Attribute NUMERIC
@ATTRIBUTE Operator NUMERIC
@ATTRIBUTE Literal NUMERIC
@ATTRIBUTE edge_ss NUMERIC
@ATTRIBUTE edge_st NUMERIC
@ATTRIBUTE edge_sd NUMERIC
@ATTRIBUTE edge_sa NUMERIC
@ATTRIBUTE edge_so NUMERIC
@ATTRIBUTE edge_sl NUMERIC
@ATTRIBUTE edge_ts NUMERIC
@ATTRIBUTE edge_tt NUMERIC
@ATTRIBUTE edge_td NUMERIC
@ATTRIBUTE edge_ta NUMERIC
@ATTRIBUTE edge_to NUMERIC
@ATTRIBUTE edge_tl NUMERIC
@ATTRIBUTE edge_ds NUMERIC
@ATTRIBUTE edge_dt NUMERIC
@ATTRIBUTE edge_dd NUMERIC
@ATTRIBUTE edge_da NUMERIC
@ATTRIBUTE edge_do NUMERIC
@ATTRIBUTE edge_dl NUMERIC
@ATTRIBUTE edge_as NUMERIC
@ATTRIBUTE edge_at NUMERIC
@ATTRIBUTE edge_ad NUMERIC
@ATTRIBUTE edge_aa NUMERIC
@ATTRIBUTE edge_ao NUMERIC
@ATTRIBUTE edge_al NUMERIC
@ATTRIBUTE edge_os NUMERIC
@ATTRIBUTE edge_ot NUMERIC
@ATTRIBUTE edge_od NUMERIC
@ATTRIBUTE edge_oa NUMERIC
@ATTRIBUTE edge_oo NUMERIC
@ATTRIBUTE edge_ol NUMERIC
@ATTRIBUTE edge_ls NUMERIC
@ATTRIBUTE edge_lt NUMERIC
@ATTRIBUTE edge_ld NUMERIC
@ATTRIBUTE edge_la NUMERIC
@ATTRIBUTE edge_lo NUMERIC
@ATTRIBUTE edge_ll NUMERIC
@ATTRIBUTE op_short NUMERIC
@ATTRIBUTE op_int NUMERIC
@ATTRIBUTE op_long NUMERIC
@ATTRIBUTE op_long_long NUMERIC
@ATTRIBUTE op_float NUMERIC
@ATTRIBUTE op_double NUMERIC
@ATTRIBUTE op_bit NUMERIC

@DATA
clasp_2.0.R4092.crafted,1,8.42732470659,28004,13089.1650485,1348184,103,1.63656387665,4458,1.51468428781,4126,2750173,2865629,1,12991,2.08396271798174,69.9812629904113,1.35827394023253,0.000151611289142227,0,0.5,0.00272165122649053,0.000427904075303783,1,33,6.90818436641024,10.6155922727456,2.46298374496917,0.568399823026138,0.0474378053708886,0.294037091729536,0.0098588231238185,0.0555613653035466,0.0247050914460718,3693,0,544,0,690,0,13,662,185,0,0,0,108,95,2509,0,0,0,0,0,101,0,0,0,425,0,16,0,81,0,165,0,13,0,79,0,0,0.31294,0.19647,0.01294,0,0.00235,0.07647
CryptoMiniSat_Strange.Night2.st_fixed_,1,12.8379073756,14969,10037.7341772,792981,79,2.72093023256,2691,1.73104145602,1712,4334441,4545157,1,32037,2.09722868531375,259.670236229061,1.35062000752988,3.71772331999765e-05,0,0.5,0.00228710125618911,0.000367825582188952,1,72,6.51818323821464,11.1238546665649,2.43330047169189,0.513657000585823,0.0547919488505554,0.352065446139724,0.0102250847950925,0.0461909372796167,0.0230695823491879,3657,15,453,0,574,0,21,770,205,0,0,0,112,112,3074,0,0,0,0,0,93,0,0,0,347,0,7,0,65,0,146,0,12,0,56,0,0,0.25899,0.17986,0.00288,0.00144,0.00576,0.04604
glucose_2,1,4.71283471837,5104,6089.76470588,310578,51,0.995580110497,901,1.18121546961,1069,113915,119055,1,2771,2.0902427248387,127.825871313347,1.31975247894959,0.000105139114599295,0,0.5,0.00304064989611826,0.000508480772214901,1,39,5.47632009746069,13.6063434831676,2.11042975350956,0.446610072373699,0.0390518252100248,0.397552869824311,0.0340888054372835,0.0516489038161479,0.0310475233385344,3143,11,448,1,643,0,8,468,210,0,0,0,77,46,3690,0,0,0,0,1,325,0,0,0,380,0,7,0,91,0,224,0,25,0,93,0,0,0.46191,0.05804,0.01935,0.00363,0.03507,0.07013
MPhaseSAT_2011.02.15,1,21.302238806,11418,33905.6363636,372962,11,7.40598290598,3466,2.25854700855,1057,311606,322859,1,4137,2.07222582363626,87.7601016851888,1.33208550270957,0.000100889636437251,0,0.5,0.00205949150136352,0.00034782952515533,1,24,6.39866122591995,12.6410899661934,2.44912511969037,0.522106449794669,0.0379611885014897,0.317983734600209,0.0189870359932362,0.068846122876238,0.0341154682341573,3761,9,415,0,816,0,22,505,144,0,0,0,135,53,2827,0,0,0,0,0,192,0,0,0,500,0,11,0,126,0,165,0,11,0,175,0,0,0.4906,0.10654,0.01074,0.00537,0.00895,0.05461
PicoSAT_941,1,23.5941558442,7267,29587.5714286,207113,7,4.19520547945,1225,1.62328767123,474,66353,67203,1,3332,2.02562054466264,169.7313486417,1.27121249005592,2.08671981320039e-05,0,0.5,0.00129041035933589,0.000247225764440475,1,38,8.38615774852035,38.0051280815728,2.7711469905924,0.612813286513044,0.0173466158274682,0.124832336141546,0.031814688107546,0.129368679637695,0.0838243937727006,4130,0,139,1,1741,0,0,199,86,0,0,0,157,30,1066,0,0,0,0,1,352,0,0,0,1012,0,22,0,237,0,520,0,7,0,300,0,0,0.48771,0.04653,0.01624,0,0.01097,0.05312
QuteRSat_2011.05.12_fixed_,1,23.5039806161,67903,22142.8375635,4362139,197,2.03243944637,4699,1.54801038062,3579,6389970,6601302,1,1103346,2.06614491147846,190631.443458791,1.19795071608362,3.6428925698772e-08,0,0.5,0.00161190481166095,0.00025946981508625,1,72,5.59184215578841,8.45273449326059,1.92760841169034,0.508058482086109,0.037356318222493,0.229073243882394,0.0069053150773204,0.0301508336154633,0.18845580711622,4012,10,329,0,389,0,13,521,155,0,0,0,56,79,2124,0,0,0,0,0,77,0,0,0,214,0,5,0,48,0,1725,0,11,0,54,0,0,0.25255,0.15682,0.00815,0,0.00611,0.06517
RestartSAT_B95,1,6.19912472648,2833,8232.45454545,181114,22,1.59473684211,606,1.28947368421,490,117121,122044,1,3262,2.08406690516645,165.03147436178,1.3043595317445,7.81207423418361e-05,0,0.5,0.00298406821922191,0.000500827018749219,1,22,5.18859866190083,10.9685175856528,1.99338459553935,0.427950145394968,0.0397584470616492,0.429142469913106,0.037897048353477,0.042100206726769,0.0231516825500305,3057,9,413,1,515,0,7,502,160,0,0,0,63,61,3986,0,0,0,0,1,367,0,0,0,327,0,15,0,110,0,165,0,17,0,84,0,0,0.53738,0.06488,0.02257,0.00141,0.02257,0.11283
SApperloT2010_2011.05.15_fixed_,1,8.84403669725,4820,11323.1363636,249109,22,1.74285714286,854,1.60204081633,785,1156552,1223172,1,6472,2.11520450442349,61.215289383547,1.35015231247309,0.000179362061600736,0,0.5,0.00278042966640982,0.000442265293894976,1,33,6.53387843467771,11.1300253446919,2.42671525385943,0.508010119149048,0.0640101715798718,0.356928078017066,0.0101191490477252,0.0413618032708096,0.0195706789354795,3599,16,490,0,497,0,27,907,228,0,0,0,104,146,3037,0,0,0,0,0,78,0,0,0,277,0,14,0,72,0,134,0,16,0,59,0,0.00478,0.22293,0.20064,0.00955,0,0.00796,0.06369
SAT07referencesolverminisat_SAT2007,1,3.38056680162,835,5767.09090909,63438,11,0.596244131455,127,1.14084507042,243,61190,64065,1,1204,2.09396960287629,57.0949954204753,1.32491842138555,0.000217960772811838,0,0.5,0.00318603074157449,0.000524258668627951,1,24,5.74962326702833,13.0147306722175,2.17691664488022,0.47979233751725,0.048104094105277,0.357462049024118,0.0266642570808964,0.0573536176644542,0.0306236446080042,3357,14,345,1,801,1,2,535,211,0,0,0,71,65,3313,0,0,0,0,1,248,0,0,0,407,0,18,0,109,0,205,0,25,0,132,0,0,0.52687,0.04702,0.02783,0.00096,0.02783,0.09981
SAT09referencesolverclasp_1.2.0.SAT09.32,1,8.27404844291,11956,12844.9148936,603711,47,1.99498327759,2386,1.63628762542,1957,3626711,3800732,1,14039,2.09596629011796,67.291132652033,1.36470196202657,0.000144629385588833,0,0.5,0.00217600504560528,0.000343032448279646,1,36,6.63967610073484,9.87209820305565,2.40475801009825,0.528366978771158,0.0548174865976237,0.338285092161835,0.00887244549813904,0.0477646804258433,0.0218933165454,3666,19,517,0,526,0,23,702,208,0,0,0,98,109,2962,0,0,0,0,0,87,0,0,0,326,0,10,0,83,0,149,0,14,0,69,0,0,0.27139,0.20206,0.00737,0.00147,0.00295,0.10029
