@RELATION SAT11-INDU-FeatureRuntime

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE ls_saps NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,931.76,2.03,2.0,2.09,60.84,23.28,60.28,8.8,1.73,8.69
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.0,1.99,2.0,0.23,0.07,0.02,0.06,2.53,0.0,2.19
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,1.98,2.01,2.03,2.02,60.06,1.64,4.26,2.72,0.11,2.73
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.7,1.99,2.0,2.01,60.01,0.74,2.28,2.31,0.01,2.12
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,6.03,1.15,2.03,2.02,60.03,5.54,2.65,2.25,0.04,2.22
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.57,1.99,2.0,2.01,60.01,0.66,2.05,2.33,0.01,2.11
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,2.96,2.0,2.01,2.02,60.08,3.01,2.94,2.36,0.04,2.26
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,14.8,2.01,2.02,2.02,60.06,5.66,3.39,2.3,0.06,2.3
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,319.34,2.03,2.12,2.11,60.43,14.49,34.07,5.67,1.22,5.85
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,15.97,2.01,2.01,2.01,60.04,3.02,3.57,2.42,0.07,2.38
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,0.22,2.0,2.0,2.01,60.04,0.19,1.06,2.28,0.01,2.09
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1,1.89,1.99,2.0,2.01,60.02,1.13,2.47,2.31,0.02,2.13
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,182.05,2.01,2.47,2.06,60.33,149.5,471.08,6.27,0.9,7.07
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,1.71,2.01,2.0,2.01,60.01,2.11,2.55,2.26,0.02,2.15
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,1.07,1.99,2.0,2.01,3.42,0.58,2.27,2.33,0.02,2.11
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,2.32,2.0,2.01,2.01,60.04,7.86,2.94,2.4,0.05,2.3
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,0.0,0.0,1.5,0.0,0.02,0.0,0.01,1.24,0.0,1.06
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,1.56,1.99,2.0,2.01,44.65,1.4,2.46,2.27,0.02,2.16
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0.16,2.0,2.0,2.01,60.07,341.2,2.54,2.2,0.01,2.12
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,9.01,2.0,2.01,2.01,60.04,2.13,3.51,2.36,0.05,2.27
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,97.95,2.01,2.26,2.2,62.84,24.6,33.74,5.63,0.76,5.6
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,78.18,2.01,2.0,2.06,155.34,27.69,22.11,4.69,0.55,4.75
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.0,2.0,2.0,0.02,0.04,0.0,0.02,2.45,0.0,2.22
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.25,2.0,2.0,2.03,60.33,0.9,3.47,2.25,0.04,2.26
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,19.8,1.99,2.0,2.02,13.68,3.18,3.19,2.35,0.07,2.31
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,2.22,1.99,2.0,2.02,60.04,1.24,2.51,2.28,0.03,2.14
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,0.01,2.0,2.0,2.01,60.01,0.1,0.44,2.1,0.01,2.08
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,5.43,2.0,2.17,2.03,60.3,13.28,3.82,2.63,0.11,2.63
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,0.0,0.02,1.64,0.01,0.01,0.0,0.0,1.86,0.0,1.37
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,16.0,2.0,2.02,2.01,7.66,3.55,3.02,2.33,0.06,2.31
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1,108.29,2.01,2.04,2.04,60.08,6.23,6.08,2.92,0.2,2.94
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,41.96,2.0,2.0,2.01,19.2,5.76,4.07,2.54,0.12,2.54
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1,1.71,2.0,2.0,2.02,60.02,1.17,2.47,2.32,0.02,2.14
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1,352.28,2.02,2.07,2.34,60.4,15.61,37.36,5.96,1.14,5.89
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.49,2.0,2.0,2.01,2.7,0.83,1.51,2.29,0.01,2.08
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,1,1.45,2.0,2.0,2.01,60.01,1.07,2.48,2.3,0.02,2.14
SAT_RACE08/cnf/velev-vliw-uns-4.0-9-i1.cnf,1,52.55,2.0,2.06,2.08,88.82,23.8,27.95,4.55,0.74,4.76
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,1,3.59,2.01,2.06,2.03,60.04,1.99,2.96,2.37,0.06,2.31
