@RELATION SAT11-RANDOM-FeatureRuntime

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE ls_saps NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,0.61,2.01,2.0,2.01,1.34,0.23,0.78,2.31,0.02,2.08
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,0.0,1.99,2.0,0.1,0.05,0.0,0.03,2.52,0.0,2.22
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,0.0,1.99,2.0,0.04,0.03,0.0,0.01,2.5,0.0,2.22
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,0.02,1.99,2.0,1.45,60.31,0.11,1.88,2.1,0.01,2.08
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,0.0,2.0,2.0,0.04,60.16,0.01,0.36,2.08,0.01,2.05
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,0.0,1.99,2.0,0.01,60.01,0.0,0.2,2.06,0.0,2.06
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,0.02,1.98,2.0,2.01,60.01,0.06,0.46,2.2,0.0,2.11
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,0.0,2.01,2.0,0.05,0.04,0.0,0.02,2.58,0.0,2.22
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,0.0,1.99,2.0,0.03,60.22,0.01,0.29,2.05,0.0,2.06
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,0.0,2.0,2.0,0.13,0.06,0.0,0.03,2.5,0.0,2.19
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,0.01,2.0,2.0,0.04,60.12,0.01,0.32,2.05,0.0,2.05
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,0.01,1.98,2.0,0.03,60.21,0.01,0.28,2.06,0.0,2.08
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,0.0,2.0,2.0,0.06,0.05,0.0,0.03,2.5,0.0,2.23
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,1.1,2.0,2.05,2.01,1.87,0.32,1.11,2.23,0.01,2.09
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,0.01,2.0,2.0,0.13,60.04,0.03,0.69,2.06,0.0,2.05
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,0.0,1.99,2.0,0.01,7.36,0.0,0.04,2.15,0.0,2.13
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,3.25,1.99,2.07,2.03,3.37,0.61,2.21,2.22,0.04,2.15
