@RELATION SAT12-ALL-FeatureRuntime

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE ls_saps NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.26,1.99,2.0,2.01,0.8,0.15,0.43,2.5,0.0,2.08
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,2.7,2.01,2.0,2.02,20.02,2.75,2.69,2.35,0.04,2.26
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0,2.0,2.0,0.01,7.39,0.0,0.03,2.1,0.0,2.08
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,18.6,2.02,2.03,2.08,21.93,12.99,12.46,3.6,0.39,3.51
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.77,2.01,2.02,2.01,1.41,0.28,0.7,2.36,0.01,2.09
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0,1.99,2.0,0.11,20.01,0.04,0.15,2.2,0.01,2.12
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.24,2.0,2.0,2.01,0.72,0.14,0.4,2.5,0.01,2.09
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,54.77,2.01,2.26,2.16,20.07,6.94,3.94,2.71,0.15,2.73
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.1,2.0,2.0,2.01,3.67,0.44,0.37,2.38,0.0,2.09
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,19.52,2.01,3.12,2.83,34.72,73.35,39.79,6.18,0.97,6.13
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.45,2.01,2.0,2.03,20.02,6.71,5.05,2.42,0.05,2.38
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.5,1.99,2.0,2.01,10.32,1.2,2.25,2.32,0.02,2.12
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,1.64,2.0,2.0,2.09,24.63,21.35,4.7,3.18,0.27,3.2
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.0,2.0,2.0,0.03,0.03,0.0,0.01,2.46,0.0,2.2
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.01,2.0,2.0,0.25,20.11,0.03,0.84,2.06,0.0,2.06
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0.01,2.0,2.0,0.02,20.04,0.01,0.24,2.07,0.0,2.05
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,6.09,2.01,2.1,2.3,45.09,16.59,14.23,3.76,0.37,3.71
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.03,1.99,2.0,2.01,1.95,0.04,0.25,2.19,0.0,2.09
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.0,2.0,2.0,0.05,0.03,0.0,0.01,2.42,0.0,2.2
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.0,1.99,1.25,0.0,0.0,0.0,0.0,0.42,0.0,0.28
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,2.19,2.01,2.11,2.01,2.51,0.49,1.54,2.26,0.03,2.12
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.0,2.0,2.0,0.01,0.07,0.0,0.01,1.32,0.0,0.91
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.01,2.0,2.0,1.07,20.01,0.03,0.32,2.17,0.01,2.1
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,1.27,2.0,2.0,2.01,20.02,1.85,2.59,2.28,0.03,2.19
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.01,2.01,2.0,0.15,20.02,0.03,0.67,2.06,0.0,2.06
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.0,1.99,2.0,0.01,8.82,0.0,0.04,2.16,0.0,2.1
