@RELATION FEATURE_VALUES-SAT12-ALL

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,10000.0,42000.0,9752.0,41709.0,0.0254,0.007,0.2338,0.4953,0.5867,0.0,1.0,0.719,0.0003,0.0658,0.0003,0.0006,0.1655,0.0,0.0,0.9626,0.0003,0.2908,0.0,0.0008,2.7143,0.2274,0.1707,0.0,1.0,3.3528,0.0002,0.4013,0.0,0.0006,2.3332,0.4938,0.0006,0.2943,0.0,0.0017,0.0005,0.2445,0.0001,0.0012,2.9653,0.1022,0.2433,0.0385,0.3333,2.2497,5.0606,0.0471,5.0,6.0,0.2285,18.264,0.3668,8.0,42.0,26.0,11.0,21.0,13.0,17.0,53.165,0.1804,32.318,84.0,64.9,40.813,59.8,47.405,52.0,0.3926,0.5822,0.0,1.0,0.7045,0.0826,0.5705,0.2019,0.3876,0.093,0.6458,0.0012,0.5855,0.1747,0.0283,0.1256,0.048,0.0802,479.19,1.7795,2014.6,0.2673,2150.0,2085.0,2183.0,0.7922,1.0194,1.0139,0.6589,148.32,0.096,2129.1,0.019,2130.0,2070.0,2165.0,0.0616,0.2218,0.8244,0.0083,0.237,0.3017
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,196000.0,583000.0,32750.0,248000.0,4.9941,1.3544,0.1323,0.3756,0.692,0.0,1.0,1.7696,0.0001,0.3744,0.0001,0.0015,1.6206,0.0,0.1194,0.468,0.0001,2.0163,0.0,0.0142,2.9961,0.1713,0.1497,0.0,0.9658,2.8827,0.0,2.377,0.0,0.0071,2.5155,0.4435,0.0001,1.7597,0.0,0.0083,?,?,?,?,?,?,?,?,?,?,7.4146,0.0664,7.0,8.0,0.6785,321.25,1.1031,89.0,1444.0,1294.0,138.0,241.0,190.0,210.0,13.605,0.3808,9.019,29.993,21.781,9.4949,16.067,10.592,11.688,0.5682,0.4113,0.0,1.0,0.8292,0.1894,0.7335,0.4453,0.6142,0.0797,0.7515,0.0,0.4444,0.1457,0.0006,0.1191,0.0282,0.0778,2819.5,1.04,4504.0,1.4142,4504.0,0.0,0.0,1.5408,0.8686,1.0704,0.2457,1307.2,0.0905,8947.8,0.018,8926.5,8785.0,9086.0,0.3739,0.9018,0.904,0.0088,0.0277,0.1491
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,110.0,2343.0,110.0,2343.0,0.0,0.0,0.0469,0.3774,0.64,0.2,1.0,0.8309,0.0455,0.0,0.0455,0.0455,0.0,0.0,0.0,0.0,0.0455,0.112,0.0341,0.0619,3.564,0.0788,0.0616,0.0,0.3171,2.8732,0.0088,0.1916,0.0051,0.0132,2.7114,0.1942,0.0457,0.0156,0.0431,0.0465,0.1099,0.0654,0.0824,0.1434,4.2136,0.1069,0.0564,0.0863,0.1276,1.0069,2.789,0.1463,2.0,3.0,0.5153,4278.3,0.0138,4227.0,4397.0,4397.0,4227.0,4356.0,4237.0,4256.0,24.93,0.0277,23.693,25.94,25.94,23.693,25.452,24.738,25.276,0.1651,0.6913,0.0056,0.5494,0.3115,0.0394,0.2539,0.0675,0.1454,0.0019,0.7341,0.0002,0.008,0.004,0.0006,0.0025,0.0009,0.0016,9.6703,0.2898,21.993,0.1619,22.0,18.0,27.0,1.5591,0.2572,0.8699,0.0843,8.7044,0.3018,21.993,0.162,22.0,18.0,27.0,1.1521,0.433,0.8575,0.0781,0.5591,0.6975
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,96177.0,1810000.0,84942.0,1790000.0,0.1323,0.014,0.0475,0.529,0.7766,0.0,1.0,1.3557,0.0,2.5312,0.0,0.0261,0.9825,0.0,0.6199,0.9501,0.0,6.6383,0.0,0.0199,4.3618,0.4428,0.2523,0.0,1.0,4.0721,0.0,4.6846,0.0,0.0099,4.1956,0.9423,0.0003,1.3191,0.0,0.0171,?,?,?,?,?,?,?,?,?,?,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8546,0.2835,0.0,1.0,1.0,0.4754,0.9999,0.7945,0.9963,0.0924,1.7067,0.0,0.5,0.3595,0.0,0.1174,0.0,0.0032,58347.0,0.0,0.0,0.0,0.0,0.0,0.0,38.197,0.0,1.2045,0.0,16446.0,0.0,0.0,0.0,0.0,0.0,0.0,13.413,0.0,1.0494,0.0,0.4145,0.584
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,18000.0,75600.0,17527.0,75031.0,0.027,0.0076,0.2336,0.4949,0.5883,0.0,1.0,0.7172,0.0002,0.0653,0.0002,0.0003,0.1632,0.0,0.0,0.9632,0.0002,0.2896,0.0,0.0005,2.7118,0.2303,0.1724,0.0,1.0,3.3695,0.0001,0.3998,0.0,0.0003,2.3317,0.4938,0.0004,0.2932,0.0001,0.001,0.0003,0.2472,0.0001,0.0007,2.9758,0.1023,0.2464,0.037,0.3571,2.2611,5.2043,0.0775,5.0,6.0,0.5063,8.2292,0.3854,4.0,21.0,12.0,5.0,10.0,6.0,8.0,68.129,0.2632,29.667,154.5,92.615,46.182,77.833,57.6,66.583,0.3951,0.5781,0.0,1.0,0.7084,0.0862,0.5731,0.206,0.3897,0.0934,0.6504,0.0017,0.7541,0.1772,0.0288,0.1258,0.048,0.0799,1371.4,1.7805,3309.4,0.441,3863.0,0.0,3874.0,1.0179,1.2631,1.3289,0.965,308.07,0.1088,3808.6,0.0089,3804.0,3760.0,3840.0,0.0955,0.2478,0.8285,0.0057,0.2391,0.3044
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,526.0,12647.0,420.0,10373.0,0.2524,0.2192,0.0405,0.8204,0.3529,0.3333,1.0,0.7312,0.0097,0.4074,0.0071,0.0286,0.8565,0.0,0.0,0.6785,0.0097,0.4576,0.0038,0.0258,4.6596,0.5681,0.3643,0.0,0.954,3.8317,0.0011,0.8917,0.0002,0.0055,3.1969,0.0646,0.0132,0.1936,0.0077,0.0193,?,?,?,?,?,?,?,?,?,?,3.0,0.0,3.0,3.0,0.0,4132.0,0.0356,3790.0,4236.0,4236.0,3790.0,4230.0,4115.0,4214.0,22.525,0.0217,21.6,23.067,23.067,21.6,22.946,22.151,22.665,0.6752,0.4123,0.0016,0.9902,0.9387,0.2068,0.9033,0.4881,0.8077,0.018,1.2079,0.0001,0.1319,0.0451,0.0016,0.0222,0.0043,0.011,16.839,1.419,122.94,0.0785,123.0,111.0,135.0,4.0415,0.2226,0.971,0.0273,14.05,0.2744,122.9,0.0785,123.0,111.0,134.0,2.024,0.3962,0.9689,0.0091,0.3481,0.5562
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,10000.0,42000.0,9769.0,41760.0,0.0236,0.0057,0.2339,0.4961,0.5878,0.0,1.0,0.7103,0.0003,0.0639,0.0003,0.0007,0.1537,0.0,0.0,0.9663,0.0003,0.2911,0.0,0.0009,2.7124,0.2274,0.1686,0.0,1.0,3.3526,0.0002,0.3977,0.0,0.0005,2.3261,0.4949,0.0006,0.2948,0.0,0.002,0.0005,0.2467,0.0001,0.0012,2.969,0.1024,0.244,0.0385,0.4,2.2567,5.0265,0.032,5.0,6.0,0.1225,18.144,0.3096,8.0,36.0,26.0,12.0,22.0,14.0,17.0,54.161,0.1878,30.211,86.0,69.286,43.478,59.476,47.053,52.5,0.3936,0.577,0.0001,1.0,0.7046,0.0864,0.5701,0.2058,0.3832,0.0925,0.6544,0.0026,0.9025,0.1773,0.0281,0.1249,0.0472,0.0791,347.76,0.9824,2022.1,0.2581,2159.0,2091.0,2175.0,0.6462,0.6729,0.8819,0.173,158.52,0.1056,2127.9,0.0186,2130.0,2081.0,2163.0,0.0652,0.2662,0.8223,0.0076,0.2396,0.3052
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,299000.0,1410000.0,150000.0,868000.0,0.9868,0.6234,0.1733,0.3881,0.9831,0.0,1.0,1.3791,0.0,0.4804,0.0,0.0001,1.0373,0.0,0.585,0.8731,0.0,0.5454,0.0,0.0,2.569,0.2625,0.1638,0.0,0.8182,2.8426,0.0,0.5361,0.0,0.0,2.3141,0.732,0.0,0.5132,0.0,0.0,?,?,?,?,?,?,?,?,?,?,17.091,0.0168,17.0,18.0,0.3046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5835,0.5482,0.0,0.9626,0.8866,0.0713,0.8447,0.2751,0.7644,0.0156,0.7992,0.0,0.1345,0.0292,0.0,0.022,0.0072,0.0156,128000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9166,0.0,4.9778,0.0,18164.0,0.0,53520.0,0.0,53520.0,53520.0,53520.0,2.6354,0.0,0.9973,0.0,0.2523,0.6779
SAT_RACE2008/fuhs-aprove-15.cnf,1,21104.0,74257.0,6232.0,34035.0,2.3864,1.1818,0.1831,0.3356,0.6554,0.0,1.0,1.2995,0.0005,0.3027,0.0003,0.0059,1.2175,0.0,0.2219,0.6128,0.0005,0.7131,0.0002,0.0112,2.357,0.0735,0.1129,0.0,0.7143,1.9442,0.0003,1.0258,0.0,0.0079,2.0457,0.6119,0.0003,1.2355,0.0001,0.0074,0.0011,1.343,0.0001,0.0233,3.834,0.2817,0.4965,0.0044,0.5632,3.6444,8.5016,0.0968,6.0,10.0,1.2168,781.73,0.1903,495.0,1028.0,1008.0,568.0,931.0,716.0,768.0,23.789,0.4546,9.2949,41.653,40.713,10.311,35.4,14.214,21.112,0.263,0.8312,0.0,0.9697,0.6048,0.0373,0.3782,0.0674,0.2087,0.0377,1.0459,0.0,0.2875,0.074,0.0082,0.0442,0.0221,0.025,327.25,0.5526,1224.8,0.183,1263.0,1246.0,1278.0,0.7321,0.6515,0.848,0.1189,447.85,0.0473,1263.9,0.0184,1264.0,1227.0,1292.0,0.3265,0.2227,0.8613,0.0086,0.0786,0.4262
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,89315.0,5580000.0,79604.0,5550000.0,0.122,0.0064,0.0143,0.9393,0.2426,0.0,1.0,0.416,0.0,2.9707,0.0,0.0037,0.2542,0.0,0.9679,0.9717,0.0,6.6361,0.0,0.0078,5.2325,0.57,0.2828,0.0,1.0,4.2266,0.0,6.4636,0.0,0.005,4.9541,0.9716,0.0001,4.0607,0.0,0.0064,?,?,?,?,?,?,?,?,?,?,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9277,0.2263,0.0,1.0,1.0,0.7873,1.0,0.9965,1.0,0.0511,2.5087,0.0,1.0,0.2505,0.0,0.0047,0.0,0.0,217000.0,0.0,0.0,0.0,0.0,0.0,0.0,1749.4,0.0,1.2059,0.0,24308.0,0.0,0.0,0.0,0.0,0.0,0.0,153.49,0.0,1.0181,0.0,0.2533,0.4803
