@RELATION FEATURE_VALUES-SAT12-HAND

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,85.0,29282.0,85.0,29282.0,0.0,0.0,0.0029,0.2457,0.8047,0.0,1.0,1.3505,0.1176,0.017,0.0588,0.1176,0.009,0.0,0.0,0.0,0.1176,0.0569,0.1017,0.1301,1.318,0.0632,0.027,0.0163,0.0919,1.6542,0.0011,0.2366,0.0004,0.0018,2.3439,0.0097,0.0029,0.0,0.0029,0.0029,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,2935.75,0.0675,2729.0,3357.0,3357.0,2729.0,3028.0,2783.0,3004.0,20.5847,0.0545,18.2995,21.7036,21.7036,18.2995,21.4716,20.7031,20.9786,0.1227,0.3918,0.0429,0.1732,0.1729,0.0445,0.1593,0.0908,0.1459,0.4946,0.0005,0.4941,0.4952,0.4949,0.4944,0.4947,0.4944,0.4946,6.6817,0.1604,8.9986,0.2182,9.0,7.0,11.0,1.7953,0.3917,0.9263,0.0807,5.7878,0.1702,8.9155,0.2199,9.0,6.0,11.0,1.0475,0.6623,0.8826,0.0897,0.6075,0.7219
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,36304.0,1711065.0,32046.0,1666604.0,0.1329,0.0267,0.0192,0.467,1.0218,0.0,1.0,1.2297,0.0001,0.8254,0.0001,0.0006,0.6075,0.0,0.8587,0.859,0.0001,0.825,0.0,0.0013,5.5801,0.3403,0.2007,0.0,0.9729,4.2458,0.0,0.8502,0.0,0.0007,5.0412,0.6494,0.0001,0.7947,0.0,0.0009,?,?,?,?,?,?,?,?,?,?,6.6667,0.0707,6.0,7.0,0.6365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8362,0.2671,0.0,1.0,0.9988,0.4958,0.9864,0.7927,0.9295,0.1056,1.1702,0.0,0.5,0.2899,0.0001,0.1626,0.007,0.0576,912.0,0.0,13459.0,0.0,13459.0,13459.0,13459.0,19.355,0.0,0.9889,0.0,9705.0,0.8574,6812.5,1.4142,6812.5,0.0,0.0,21.4704,0.8469,1.0214,0.0336,0.0246,0.1027
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,1617.0,37237.0,1613.0,37237.0,0.0025,0.0,0.0433,0.7822,0.4072,0.0,1.0,0.9606,0.0015,0.5166,0.0012,0.0155,0.8609,0.0,0.6918,0.9214,0.0015,0.524,0.0002,0.0037,2.5799,0.6468,0.3454,0.069,0.9375,2.1501,0.0013,0.4567,0.0001,0.0023,2.2445,0.9093,0.0017,0.363,0.0002,0.0026,0.0015,1.3036,0.0001,0.0405,3.497,0.1971,1.0454,0.0019,0.5,2.1655,5.7407,0.0995,5.0,7.0,0.8497,2527.1667,0.2862,1487.0,3569.0,3569.0,1487.0,3031.0,1766.0,2885.0,33.7158,0.1804,25.887,45.3203,45.3203,25.887,35.3312,29.0986,34.2848,0.8375,0.2509,0.0146,0.9746,0.9746,0.6262,0.9738,0.7431,0.9373,0.0216,1.158,0.0,0.099,0.064,0.0,0.0334,0.0,0.0148,40.5581,0.1427,693.085,0.0294,692.0,668.0,718.0,8.6144,0.141,0.9959,0.001,66.1096,5.4871,690.391,0.0551,692.0,667.0,716.0,6.6262,0.2488,0.9948,0.0474,0.3204,0.693
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,1587.0,8013.0,1465.0,6565.0,0.0833,0.2206,0.2232,0.289,0.8986,0.0,1.0,2.9418,0.006,0.4259,0.0014,0.0109,2.5476,0.0,0.0905,0.0989,0.006,4.1837,0.0002,0.6034,3.3497,0.5352,0.2063,0.0,1.0,2.8671,0.0003,2.4873,0.0,0.012,1.3243,0.1152,0.0067,1.5263,0.0002,0.1796,?,?,?,?,?,?,?,?,?,?,4.444,0.113,4.0,6.0,0.7028,1294.5,0.5876,177.0,3067.0,2394.0,249.0,1740.0,581.0,1356.0,18.5832,0.2526,11.5542,26.4552,25.5443,11.8763,21.7327,13.8079,19.5186,0.6986,0.2306,0.0,1.0,0.8331,0.5308,0.7998,0.6647,0.748,0.4485,0.3429,0.0502,1.0,0.5,0.1345,0.4999,0.4909,0.4995,9.6772,0.2113,69.1405,0.0967,69.0,61.0,77.0,0.8134,0.4166,0.9138,0.0253,16.041,0.1764,69.142,0.1032,69.0,60.0,78.0,0.1889,1.2332,0.9464,0.0258,0.4289,0.8048
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,780.0,66810.0,754.0,66030.0,0.0345,0.0118,0.0114,0.4897,1.0161,0.0,1.0,0.8223,0.0037,1.9114,0.0027,0.0769,0.1369,0.0,0.9756,0.9756,0.0037,0.199,0.0021,0.0058,4.5707,0.3938,0.0811,0.1948,0.5629,3.1332,0.0019,0.4367,0.0007,0.0044,4.6273,0.7118,0.0114,0.0,0.0114,0.0114,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,581.8667,0.7694,111.0,2179.0,723.0,347.0,539.0,400.0,493.0,64.1928,0.1006,57.499,82.4975,72.0557,57.779,67.8378,59.4153,62.8876,0.8977,0.0212,0.8382,0.9397,0.9197,0.8685,0.9115,0.8879,0.8994,0.0,3.1726,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,69.6888,13.627,351.564,0.076,353.0,336.0,370.0,39.6578,0.1933,1.4306,4.6774,11.7438,0.3563,353.389,0.0815,355.0,335.0,373.0,40.4693,0.1637,0.9998,0.0004,0.8724,0.9528
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,93.0,196.0,93.0,196.0,0.0,0.0,0.4745,1.0,0.0,1.0,1.0,0.0,0.0323,0.0,0.0323,0.0323,0.0,0.0,0.0,1.0,0.0323,0.147,0.0306,0.0459,0.3413,0.0358,0.1033,0.0,0.3333,0.3413,0.0161,0.214,0.0153,0.0306,0.2095,0.5,0.0312,0.0507,0.0306,0.0357,0.0483,0.1142,0.0459,0.0612,0.428,0.1929,0.0861,0.1538,0.2,0.428,5.3913,0.0905,5.0,6.0,0.6693,4130.5556,0.0499,3750.0,4495.0,4495.0,3750.0,4179.0,4040.0,4121.0,15.8894,0.0449,15.0611,17.1695,17.1695,15.0611,15.924,15.5123,15.6226,0.0443,1.4096,0.0001,0.2149,0.2032,0.0016,0.0598,0.0047,0.0136,0.3124,0.0544,0.2636,0.3227,0.3213,0.2651,0.3207,0.3145,0.3197,2.4925,0.4991,13.8268,0.186,14.0,11.0,17.0,0.9011,0.3194,0.8643,0.0957,1.0687,0.2524,13.7887,0.1867,14.0,10.0,17.0,0.552,0.3795,0.8052,0.0864,0.8308,0.9576
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,945.0,61409.0,900.0,60200.0,0.05,0.0201,0.015,0.9939,0.0236,0.8,1.0,0.2431,0.0036,1.4631,0.0022,0.0433,0.2605,0.0,0.9349,0.9349,0.0036,0.1759,0.002,0.0057,4.8,0.1933,0.0451,0.083,0.3475,2.9075,0.0021,0.1696,0.0011,0.0033,4.3346,0.9349,0.0041,0.2047,0.0019,0.0071,?,?,?,?,?,?,?,?,?,?,3.0022,0.0157,3.0,4.0,0.0158,758.0769,0.5948,179.0,1779.0,1499.0,288.0,915.0,433.0,688.0,55.859,0.1457,43.7621,72.5273,63.5664,44.1493,60.5159,50.6621,58.1453,0.8092,0.0195,0.7637,0.8632,0.8289,0.7887,0.8206,0.7982,0.8088,0.0,8.7813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8986,0.3059,409.176,0.0689,411.0,392.0,429.0,27.0562,0.1245,0.9987,0.0006,27.3511,0.1784,409.26,0.036,409.0,391.0,428.0,32.0406,0.0926,0.9996,0.0003,0.7651,0.9258
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,3857.0,39932.0,3853.0,39932.0,0.001,0.0,0.0965,0.3999,0.4991,0.0,1.0,1.1159,0.0009,0.7612,0.0005,0.0127,1.0494,0.0,0.1147,0.7659,0.0009,1.5123,0.0001,0.0056,2.64,0.5862,0.2274,0.2,0.871,2.3734,0.0005,1.5038,0.0,0.0029,2.6832,0.6497,0.0023,0.275,0.0002,0.0028,?,?,?,?,?,?,?,?,?,?,5.7877,0.082,5.0,7.0,0.6754,354.9744,0.1701,250.0,519.0,456.0,285.0,390.0,313.0,345.0,23.5709,0.2041,18.4355,41.76,29.9693,18.8218,26.0561,19.3202,22.3709,0.7466,0.331,0.0004,0.9733,0.97,0.3654,0.9675,0.5653,0.7919,0.1115,1.1336,0.0001,0.3668,0.3099,0.0021,0.2564,0.0206,0.028,23.8952,0.5236,533.516,0.0773,523.0,493.0,593.0,1.3762,0.1661,0.7583,0.0137,130.764,1.9386,537.167,0.0735,526.0,502.0,594.0,0.1621,1.11,0.7794,0.0667,0.0738,0.2928
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,900.0,69990.0,870.0,69090.0,0.0345,0.013,0.0126,0.4874,1.0167,0.0,1.0,0.8872,0.0036,1.9953,0.0023,0.0667,0.187,0.0,0.9642,0.9642,0.0036,0.1973,0.0021,0.0059,4.8125,0.2393,0.0614,0.123,0.4048,3.096,0.0017,0.4081,0.0005,0.0039,4.6377,0.7267,0.0126,0.0,0.0126,0.0126,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,847.6364,1.0864,86.0,3630.0,1229.0,412.0,822.0,423.0,519.0,70.4394,0.1494,56.5472,89.4784,87.4131,58.1329,78.3837,59.7424,69.6165,0.8797,0.0202,0.8333,0.9292,0.9015,0.8555,0.8934,0.8659,0.8801,0.0,3.2712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0995,11.2054,405.995,0.0786,407.0,387.0,428.0,34.3686,0.136,1.0024,0.0432,12.2429,0.2016,410.599,0.0356,411.0,391.0,430.0,33.731,0.2029,0.9997,0.0002,0.7793,0.9276
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,526.0,12647.0,420.0,10373.0,0.2524,0.2192,0.0405,0.8204,0.3529,0.3333,1.0,0.7312,0.0097,0.4074,0.0071,0.0286,0.8565,0.0,0.0,0.6785,0.0097,0.4576,0.0038,0.0258,4.6596,0.5681,0.3643,0.0,0.954,3.8317,0.0011,0.8917,0.0002,0.0055,3.1969,0.0646,0.0132,0.1936,0.0077,0.0193,?,?,?,?,?,?,?,?,?,?,3.0,0.0,3.0,3.0,0.0,4132.0,0.0356,3790.0,4236.0,4236.0,3790.0,4230.0,4115.0,4214.0,22.5252,0.0217,21.5996,23.0673,23.0673,21.5996,22.9459,22.1514,22.6655,0.6752,0.4123,0.0016,0.9902,0.9387,0.2068,0.9033,0.4881,0.8077,0.018,1.2079,0.0001,0.1319,0.0451,0.0016,0.0222,0.0043,0.011,16.8391,1.419,122.94,0.0785,123.0,111.0,135.0,4.0415,0.2226,0.971,0.0273,14.0495,0.2744,122.903,0.0785,123.0,111.0,134.0,2.024,0.3961,0.9689,0.0091,0.3481,0.5562
