@RELATION SAT12-INDU-FeatureRuntime

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE ls_saps NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,21.17,2.0,2.05,2.1,20.05,6.9,3.74,2.47,0.1,2.52
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.01,2.0,2.0,1.53,10.74,0.12,0.24,2.35,0.0,2.16
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.01,2.0,2.0,1.54,20.01,0.05,0.46,2.37,0.0,2.15
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,4.31,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,573.76,2.03,2.22,2.54,281.13,134.5,149.34,13.12,2.11,13.39
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.0,0.23,2.0,0.4,20.03,0.03,0.24,2.14,0.01,2.12
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0.98,2.0,2.0,2.01,5.0,0.69,1.19,2.35,0.02,2.12
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,2.7,2.01,2.0,2.02,20.02,2.75,2.69,2.35,0.04,2.26
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,2.67,2.01,2.08,2.02,20.79,3.29,4.8,2.94,0.33,2.99
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,18.6,2.02,2.03,2.08,21.93,12.99,12.46,3.6,0.39,3.51
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.86,2.0,2.0,2.01,20.02,0.84,1.68,2.31,0.02,2.14
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,8.08,2.01,2.05,2.12,31.92,11.83,3.3,2.39,0.13,2.51
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,3.43,2.0,2.01,2.02,20.01,1.55,2.04,2.28,0.03,2.19
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,11.48,1.99,2.01,2.04,16.04,5.11,3.14,2.36,0.07,2.34
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.54,2.0,2.0,2.02,20.07,9.06,2.91,2.31,0.03,2.21
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.02,2.01,2.0,1.72,20.01,0.39,0.85,2.27,0.0,2.12
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,54.77,2.01,2.26,2.16,20.07,6.94,3.94,2.71,0.15,2.73
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,1.56,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.1,2.0,2.0,2.01,3.67,0.44,0.37,2.38,0.0,2.09
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.09,2.0,2.0,2.01,20.91,0.23,1.85,2.07,0.0,2.09
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,4.77,2.0,2.0,2.03,4.73,2.8,2.58,2.27,0.03,2.22
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,2.91,2.0,2.01,2.01,2.99,2.1,2.22,2.26,0.03,2.14
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,87.38,2.0,2.13,2.15,21.1,22.14,30.09,5.54,0.65,5.57
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,19.05,2.02,2.33,2.12,22.16,21.58,38.39,5.84,0.79,5.97
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,4.89,1.9,2.0,2.03,20.07,6.74,2.85,2.31,0.05,2.25
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,7.13,1.99,2.0,2.02,20.03,4.16,3.09,2.44,0.06,2.38
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,4.89,2.0,2.02,2.01,4.81,4.5,2.69,2.26,0.08,2.19
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,27.74,2.01,2.0,2.05,13.04,4.63,3.34,2.53,0.09,2.52
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,2.22,2.0,2.0,2.01,21.35,3.86,2.47,2.27,0.03,2.16
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,18.59,2.02,2.42,2.09,35.79,18.32,36.42,5.92,0.69,5.99
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0.0,2.0,2.0,0.04,0.1,0.0,0.03,2.95,0.0,2.39
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,8.2,2.0,2.02,2.02,9.78,2.21,2.75,2.29,0.04,2.26
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.0,2.0,2.0,0.07,0.09,0.0,0.04,2.75,0.0,2.29
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,746.55,2.03,2.06,2.2,20.67,21.85,52.22,8.29,1.82,8.64
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,38.39,2.0,2.06,2.19,17.93,7.64,4.12,2.7,0.25,2.7
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,495.37,2.01,2.18,2.67,20.27,11.75,15.65,6.84,0.75,6.9
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,41.62,2.0,2.06,2.05,20.06,6.06,4.15,2.63,0.16,2.64
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,2.89,1.99,2.01,2.02,3.12,2.23,2.36,2.26,0.03,2.16
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,11.3,2.0,2.01,2.08,20.21,23.46,5.16,2.48,0.09,2.46
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,101.88,2.02,2.01,2.85,50.42,26.45,32.61,8.93,1.27,8.97
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,1.74,2.0,2.0,2.03,8.01,0.96,1.77,2.25,0.02,2.17
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,0.52,2.0,2.0,2.01,20.01,2.49,1.63,2.36,0.01,2.17
SAT_RACE2008/post-c32s-ss-8.cnf,1,0.48,1.99,2.0,2.01,10.04,1.01,2.25,2.33,0.01,2.1
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,2.57,2.0,2.0,2.04,20.05,1.69,3.68,2.79,0.12,2.69
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,0.18,2.0,2.0,2.01,20.01,0.69,0.78,2.34,0.01,2.1
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,3.85,2.0,2.0,2.04,20.03,3.64,3.16,2.41,0.06,2.33
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,1.27,2.0,2.0,2.01,20.02,1.85,2.59,2.28,0.03,2.19
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0.01,1.99,2.0,1.22,20.39,0.09,0.35,2.1,0.01,2.08
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,0.02,2.0,2.0,1.53,10.27,0.17,0.25,2.18,0.01,2.09
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?,?,?,12.66,?,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.02,1.99,2.0,2.01,22.85,0.34,2.29,2.09,0.01,2.07
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,0.18,2.0,2.0,2.01,12.4,0.39,0.85,2.19,0.01,2.09
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,2.59,2.0,2.02,2.01,20.05,1.86,4.03,2.84,0.13,2.78
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,0.7,2.0,2.0,2.02,20.01,1.36,2.5,2.28,0.02,2.15
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,20.31,2.0,2.06,2.05,17.41,6.38,3.79,2.48,0.14,2.48
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,7.88,2.01,2.02,2.07,20.03,5.26,3.48,2.54,0.08,2.5
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,0.76,0.82,2.0,2.01,20.02,2.03,2.34,2.35,0.01,2.13
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,47.59,2.01,2.21,2.33,36.42,23.68,25.79,5.06,0.87,4.65
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,14.7,2.0,2.06,2.02,6.74,3.41,2.98,2.34,0.06,2.32
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,0.14,2.01,2.01,2.01,20.07,22.32,2.88,2.46,0.04,2.46
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,0.1,1.99,2.04,2.02,47.62,2.07,2.47,2.22,0.04,2.22
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.0,2.0,2.0,0.11,0.15,0.01,0.04,2.9,0.0,2.3
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,0.91,2.0,2.0,2.05,20.12,8.31,11.79,2.63,0.09,2.62
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.0,2.0,2.0,0.22,0.06,0.01,0.04,2.65,0.0,2.22
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-17-u.cnf,1,55.54,2.02,2.06,2.03,20.08,7.31,4.21,2.71,0.21,2.75
SAT_Competition2007/industrial/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,2.92,2.0,2.01,2.01,2.99,2.17,2.26,2.24,0.03,2.14
SAT_Competition2011/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.44,2.0,2.07,2.02,20.1,1.52,2.94,2.34,0.08,2.28
SAT_RACE2006/SAT-Race-Benchmarks/simon-s03-fifo8-400.cnf,1,2.3,2.0,2.0,2.01,4.03,3.71,2.47,2.26,0.02,2.14
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0.15,2.0,2.0,2.01,20.33,252.7,2.32,2.21,0.02,2.12
SAT_Competition2009/APPLICATION/SAT_RACE06/velev-pipe-o-uns-1.1-6.cnf,1,0.45,2.0,2.02,2.01,20.28,1.16,2.66,2.26,0.06,2.27
SAT_Competition2011/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k80.cnf,1,0.78,2.0,2.0,2.01,20.04,0.96,2.35,2.52,0.04,2.14
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,0.27,2.0,2.0,2.01,20.01,0.41,1.27,2.31,0.01,2.1
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,1.78,2.0,2.08,2.03,20.05,1.74,3.94,2.83,0.11,2.77
SAT_RACE2008/babic-dspam-vc973.cnf,1,?,?,?,?,?,3.37,?,?,?,?
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2002-26r-k45.cnf,1,19.33,2.0,2.0,2.04,20.36,6.41,4.61,2.81,0.14,2.77
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_12_UNKNOWN.cnf,1,0.04,2.0,2.0,2.01,20.64,0.63,2.51,2.12,0.03,2.11
SAT_RACE2008/ibm-2004-29-k25.cnf,1,0.16,2.0,2.0,2.01,9.29,0.3,0.81,2.17,0.0,2.07
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-03.cnf,1,0.06,0.05,2.0,2.01,20.12,0.93,0.9,2.19,0.0,2.79
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,9.02,2.0,2.07,2.07,10.35,4.72,3.08,2.36,0.1,2.31
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top22.cnf,1,1.03,2.0,2.0,2.01,20.01,0.86,1.75,2.25,0.01,2.11
SAT-Race-2010-CNF/software-verification/nec/hard-11-U-7061.cnf,1,?,?,?,?,?,16.4,?,?,?,?
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/hard/safe-50-h49-unsat.cnf,1,2.5,2.0,2.01,2.24,29.19,250.31,17.59,3.66,0.25,3.67
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,38.5,2.01,2.22,2.04,20.14,4.51,12.49,3.73,0.37,3.75
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-15.cnf,1,3.56,2.0,2.0,2.03,20.02,1.9,2.17,2.25,0.04,2.19
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c7_i.cnf,1,0.02,1.3,2.01,1.62,8.39,0.16,0.39,2.24,0.0,2.1
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-f6nid.cnf,1,1.16,2.0,2.0,2.01,20.01,2.0,2.52,2.38,0.03,2.27
SAT_Competition2007/industrial/industrial/fuhs/medium/AProVE07-15.cnf,1,0.1,2.0,2.0,2.01,3.63,0.37,0.38,2.19,0.0,2.07
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bioinfo/q_query_3_L100_coli.sat.cnf,1,5.81,2.0,2.0,2.06,20.05,14.98,3.68,2.57,0.08,2.52
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.025-NOTKNOWN.cnf,1,2.23,2.0,2.0,2.01,20.01,1.22,2.37,2.38,0.04,2.15
