@RELATION FEATURE_VALUES-SAT12-INDU

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,331202.0,1571183.0,93490.0,616629.0,2.5426,1.548,0.1516,0.3441,1.0345,0.0,1.0,1.2873,0.0,0.3695,0.0,0.0001,0.967,0.0,0.5464,0.9325,0.0,0.5964,0.0,0.0001,2.8918,0.2387,0.1604,0.0,0.8261,3.1176,0.0,0.5311,0.0,0.0,2.6137,0.7382,0.0,0.5959,0.0,0.0001,?,?,?,?,?,?,?,?,?,?,15.1905,0.0259,15.0,16.0,0.4869,42.0,0.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,3.2619,0.0,3.2619,3.2619,3.2619,3.2619,3.2619,3.2619,3.2619,0.5018,0.618,0.0,0.9564,0.8496,0.0359,0.7857,0.1798,0.617,0.0134,0.9322,0.0,0.2114,0.0301,0.0,0.0236,0.0001,0.0118,64019.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6653,0.0,2.2466,0.0,20786.0,1.1792,15635.0,1.4142,15635.0,0.0,0.0,2.854,0.8569,1.2044,0.3424,0.25,0.6862
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,2424.0,14812.0,2106.0,14230.0,0.151,0.0409,0.148,0.4568,1.0135,0.0,1.0,1.3838,0.0015,1.0215,0.0009,0.0114,0.9593,0.0,0.7723,0.8207,0.0015,1.5385,0.0006,0.0162,2.7096,0.135,0.1209,0.0,0.7037,2.4849,0.0006,1.5995,0.0001,0.0073,2.2387,0.6219,0.0022,0.5504,0.0013,0.01,0.0073,0.8627,0.0006,0.0364,4.8548,0.1848,0.3274,0.0476,0.3974,3.1226,5.8542,0.0603,5.0,6.0,0.4154,554.1364,0.3664,368.0,1089.0,903.0,391.0,572.0,423.0,492.0,37.2931,0.129,29.1735,46.5894,44.1886,29.9283,40.4066,33.9899,37.7169,0.7935,0.315,0.0,0.9738,0.9382,0.6151,0.9171,0.8083,0.8864,0.0163,0.5785,0.0,0.0732,0.0241,0.0036,0.021,0.0124,0.0144,36.5183,1.6277,909.824,0.0627,912.0,884.0,944.0,2.0919,0.1477,0.9816,0.0369,60.47,0.1098,910.163,0.0458,912.0,884.0,939.0,2.2371,0.1783,0.9891,0.0035,0.5231,0.8937
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,2000.0,20544.0,1600.0,19440.0,0.25,0.0568,0.0823,0.3526,0.7312,0.0,1.0,2.1902,0.0035,0.2662,0.0013,0.005,1.6459,0.0,0.0263,0.158,0.0035,0.9107,0.0005,0.0092,2.9039,0.0097,0.018,0.0,0.1,0.9857,0.0004,0.7779,0.0001,0.0011,2.4556,0.1326,0.0006,0.6498,0.0003,0.0016,?,?,?,?,?,?,?,?,?,?,7.2846,0.0649,6.0,8.0,0.6587,670.7674,0.1417,493.0,928.0,781.0,541.0,729.0,597.0,683.0,18.9544,0.166,12.0163,24.5778,23.9314,15.9075,20.8901,16.5813,18.6975,0.0233,1.6378,0.0,0.1875,0.0909,0.0,0.0363,0.0,0.0021,0.0684,0.8108,0.0002,0.1504,0.1391,0.0026,0.1293,0.0151,0.0372,105.388,0.162,218.334,0.0672,219.0,207.0,231.0,0.676,0.2461,0.7431,0.0988,94.0605,0.0761,219.736,0.0439,220.0,208.0,232.0,0.2242,0.3175,0.7291,0.0277,0.2734,0.4492
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,520721.0,13348117.0,483003.0,13262068.0,0.0781,0.0065,0.0364,0.5825,0.6963,0.0,1.0,1.285,0.0,3.7972,0.0,0.0138,0.9339,0.0,0.6348,0.9588,0.0,13.386,0.0,0.0165,4.354,0.4831,0.2696,0.0,1.0,4.1231,0.0,9.197,0.0,0.0083,4.23,0.9568,0.0001,1.3035,0.0,0.0089,?,?,?,?,?,?,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9129,0.2159,0.0,1.0,1.0,0.5,1.0,0.9749,0.9987,0.0571,2.2464,0.0,0.5,0.2415,0.0,0.0231,0.0,0.0012,1858990.0,0.0,0.0,0.0,0.0,0.0,0.0,5556.51,0.0,3.1725,0.0,1500390.0,0.0,0.0,0.0,0.0,0.0,0.0,2354.85,0.0,2.1357,0.0,0.3152,0.5612
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,1453.0,12531.0,1047.0,11329.0,0.3878,0.1061,0.0924,0.5953,0.7682,0.0,1.0,1.4683,0.0031,1.1314,0.0019,0.0248,0.9607,0.0,0.8161,0.8665,0.0031,1.3945,0.0006,0.0792,3.8663,0.2206,0.1792,0.0,0.75,3.6748,0.0017,1.178,0.0,0.0357,3.4516,0.8538,0.0042,1.0757,0.0007,0.0718,?,?,?,?,?,?,?,?,?,?,4.0325,0.0558,3.0,5.0,0.228,2186.0,0.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,27.2045,0.0,27.2045,27.2045,27.2045,27.2045,27.2045,27.2045,27.2045,0.7493,0.3009,0.0,0.9965,0.9203,0.4013,0.897,0.6619,0.851,0.0287,2.1092,0.0,0.4564,0.0896,0.0004,0.0226,0.0015,0.0046,2.3203,3.68,417.965,0.0586,419.0,398.0,437.0,3.3412,0.1314,0.972,0.0066,50.7781,0.2017,417.812,0.0535,419.0,398.0,436.0,4.3022,0.171,0.9918,0.0054,0.4057,0.9745
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,48689.0,204055.0,19903.0,115706.0,1.4463,0.7636,0.172,0.4086,0.4375,0.0,1.0,1.0399,0.0002,0.1873,0.0001,0.0003,0.921,0.0,0.0827,0.5338,0.0002,0.5099,0.0001,0.0005,2.571,0.0194,0.0385,0.0,0.4,0.8461,0.0001,0.4984,0.0,0.0002,2.3046,0.5302,0.0001,0.5185,0.0,0.0002,0.0003,0.4279,0.0001,0.0007,3.7433,0.2563,0.2805,0.0887,0.5714,3.2888,13.1873,0.0296,13.0,14.0,0.4823,271.541,0.3582,81.0,580.0,392.0,190.0,327.0,210.0,238.0,8.1339,0.2023,5.5325,12.9532,10.3822,6.1429,8.6286,7.1392,7.8971,0.0777,1.8557,0.0,0.7622,0.3661,0.0,0.0665,0.0002,0.006,0.0308,0.7222,0.0,0.2106,0.0447,0.0008,0.041,0.0225,0.0265,1106.0,0.0814,3806.67,0.0195,3769.0,3759.0,3769.0,0.4969,0.1634,0.7946,0.0048,1727.41,0.0138,3824.82,0.0113,3830.0,3754.0,3868.0,0.169,0.2588,0.8423,0.0049,0.0347,0.1094
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,196306.0,582994.0,32750.0,247614.0,4.9941,1.3544,0.1323,0.3756,0.692,0.0,1.0,1.7696,0.0001,0.3744,0.0001,0.0015,1.6206,0.0,0.1194,0.468,0.0001,2.0163,0.0,0.0142,2.9961,0.1713,0.1496,0.0,0.9658,2.8827,0.0,2.377,0.0,0.0071,2.5155,0.4435,0.0001,1.7597,0.0,0.0083,?,?,?,?,?,?,?,?,?,?,7.4146,0.0664,7.0,8.0,0.6785,321.25,1.1031,89.0,1444.0,1294.0,138.0,241.0,190.0,210.0,13.6047,0.3808,9.019,29.9928,21.7805,9.4949,16.0674,10.5924,11.6884,0.5682,0.4113,0.0,1.0,0.8292,0.1894,0.7335,0.4453,0.6142,0.0797,0.7515,0.0,0.4444,0.1457,0.0006,0.1191,0.0282,0.0778,2819.5,1.04,4504.0,1.4142,4504.0,0.0,0.0,1.5408,0.8686,1.0704,0.2458,1307.17,0.0905,8947.83,0.018,8926.5,8785.0,9086.0,0.3739,0.9018,0.904,0.0088,0.0277,0.1491
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,35854.0,1012275.0,30713.0,998052.0,0.1674,0.0143,0.0308,0.5889,0.6168,0.0,1.0,1.0885,0.0001,1.714,0.0001,0.0046,0.8854,0.0,0.4972,0.9743,0.0001,1.1802,0.0,0.0022,5.004,0.3855,0.297,0.0,0.9394,3.9796,0.0001,1.2443,0.0,0.0012,4.8088,0.9764,0.0002,1.8786,0.0,0.0107,?,?,?,?,?,?,?,?,?,?,4.08,0.0665,4.0,5.0,0.2788,6.8125,0.5761,2.0,15.0,14.0,2.0,9.0,3.0,7.0,75.5558,0.2414,45.6667,116.1111,97.0,47.8333,92.6667,63.4286,73.1111,0.7709,0.2889,0.0014,1.0,1.0,0.4527,0.9971,0.594,0.808,0.1745,1.0206,0.0,0.5,0.4959,0.0,0.2772,0.0006,0.1744,4935.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5852,0.0,1.0277,0.0,6414.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4492,0.0,1.0363,0.0,0.2022,0.4217
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,96177.0,1814189.0,84942.0,1789068.0,0.1323,0.014,0.0475,0.529,0.7766,0.0,1.0,1.3557,0.0,2.5312,0.0,0.0261,0.9825,0.0,0.6199,0.9501,0.0,6.6383,0.0,0.0199,4.3618,0.4428,0.2523,0.0,1.0,4.0721,0.0,4.6846,0.0,0.0099,4.1956,0.9423,0.0003,1.3191,0.0,0.0171,?,?,?,?,?,?,?,?,?,?,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8546,0.2835,0.0,1.0,1.0,0.4754,0.9999,0.7945,0.9963,0.0924,1.7067,0.0,0.5,0.3595,0.0,0.1174,0.0,0.0032,58347.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1973,0.0,1.2045,0.0,16446.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4129,0.0,1.0494,0.0,0.4145,0.584
