@RELATION FEATURE_VALUES-SAT12-RAND

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,10000.0,42000.0,9752.0,41709.0,0.0254,0.007,0.2338,0.4953,0.5867,0.0,1.0,0.719,0.0003,0.0658,0.0003,0.0006,0.1655,0.0,0.0,0.9626,0.0003,0.2908,0.0,0.0008,2.7143,0.2274,0.1707,0.0,1.0,3.3528,0.0002,0.4013,0.0,0.0006,2.3332,0.4938,0.0006,0.2943,0.0,0.0017,0.0005,0.2445,0.0001,0.0012,2.9653,0.1022,0.2433,0.0385,0.3333,2.2497,5.0606,0.0471,5.0,6.0,0.2285,18.2639,0.3668,8.0,42.0,26.0,11.0,21.0,13.0,17.0,53.1653,0.1804,32.3182,84.0,64.9,40.8125,59.8,47.4048,52.0,0.3926,0.5822,0.0,1.0,0.7045,0.0826,0.5705,0.2019,0.3876,0.093,0.6458,0.0012,0.5855,0.1747,0.0283,0.1256,0.048,0.0802,479.188,1.7795,2014.62,0.2673,2150.0,2085.0,2183.0,0.7922,1.0194,1.0139,0.6589,148.318,0.096,2129.09,0.019,2130.0,2070.0,2165.0,0.0616,0.2219,0.8244,0.0083,0.237,0.3017
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,10000.0,42000.0,9769.0,41760.0,0.0236,0.0057,0.2339,0.4961,0.5878,0.0,1.0,0.7103,0.0003,0.0639,0.0003,0.0007,0.1537,0.0,0.0,0.9663,0.0003,0.2911,0.0,0.0009,2.7124,0.2274,0.1686,0.0,1.0,3.3526,0.0002,0.3977,0.0,0.0005,2.3261,0.4949,0.0006,0.2948,0.0,0.002,0.0005,0.2467,0.0001,0.0012,2.969,0.1024,0.244,0.0385,0.4,2.2567,5.0265,0.032,5.0,6.0,0.1225,18.1437,0.3096,8.0,36.0,26.0,12.0,22.0,14.0,17.0,54.1613,0.1878,30.2105,86.0,69.2857,43.4783,59.4762,47.0526,52.5,0.3935,0.577,0.0001,1.0,0.7046,0.0864,0.5701,0.2058,0.3832,0.0925,0.6544,0.0026,0.9025,0.1773,0.0281,0.1249,0.0472,0.0791,347.765,0.9824,2022.12,0.2581,2159.0,2091.0,2175.0,0.6462,0.6729,0.8819,0.173,158.52,0.1056,2127.88,0.0186,2130.0,2081.0,2163.0,0.0652,0.2662,0.8223,0.0076,0.2396,0.3052
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,80.0,7120.0,80.0,7120.0,0.0,0.0,0.0112,0.3129,0.6799,0.1429,1.0,1.004,0.0875,0.0,0.0875,0.0875,0.0,0.0,0.0,0.0,0.0875,0.0415,0.0781,0.0958,3.8445,0.0304,0.0268,0.0,0.1059,2.0649,0.0055,0.1545,0.0032,0.0074,3.0116,0.0629,0.0111,0.0,0.0111,0.0111,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,4416.4,0.0171,4338.0,4545.0,4545.0,4338.0,4456.0,4358.0,4385.0,28.5736,0.0138,28.2105,29.3166,29.3166,28.2105,28.6203,28.3487,28.372,0.0611,0.856,0.0002,0.2041,0.1384,0.0088,0.1017,0.0198,0.043,0.0001,0.4497,0.0,0.0002,0.0001,0.0,0.0001,0.0,0.0001,9.7683,0.2677,13.7424,0.1992,14.0,10.0,17.0,1.9698,0.2981,0.8769,0.0963,9.6097,0.2547,13.7119,0.1938,14.0,10.0,17.0,1.7242,0.4144,0.8734,0.0926,0.6687,0.7503
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,6500.0,17354.0,4798.0,15027.0,0.3547,0.1549,0.3193,0.4794,0.7575,0.0,1.0,1.3757,0.0006,0.2741,0.0004,0.0021,1.1269,0.0,0.2525,0.8121,0.0006,0.4218,0.0001,0.0025,2.6233,0.2923,0.2098,0.0,1.0,3.0474,0.0003,0.5013,0.0,0.0013,2.1556,0.5188,0.0013,0.4603,0.0001,0.0056,0.0009,0.4475,0.0001,0.0041,3.1513,0.1561,0.4289,0.0323,0.6667,2.8551,5.9545,0.0421,5.0,7.0,0.2671,499.84,0.3086,338.0,924.0,751.0,380.0,535.0,398.0,435.0,29.8539,0.1233,25.5307,36.8853,36.3352,25.9674,30.6136,27.439,28.5176,0.4281,0.5938,0.0003,1.0,0.7791,0.0958,0.619,0.2159,0.4138,0.1802,0.6072,0.0015,1.0,0.3089,0.058,0.2418,0.1024,0.1668,82.7872,0.9419,994.926,0.1066,1005.0,978.0,1032.0,0.5312,0.3959,0.8463,0.091,61.6392,0.1631,1004.05,0.0235,1001.0,975.0,1038.0,0.0869,0.293,0.8325,0.0105,0.1882,0.3942
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,200.0,17000.0,200.0,17000.0,0.0,0.0,0.0118,0.3126,0.6789,0.1429,1.0,1.0024,0.035,0.0,0.035,0.035,0.0,0.0,0.0,0.0,0.035,0.0429,0.0307,0.04,4.3154,0.0341,0.0259,0.0016,0.116,2.1585,0.0021,0.1577,0.0011,0.0031,3.0585,0.0608,0.0117,0.0,0.0117,0.0117,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,3854.75,0.0726,3514.0,4287.0,4287.0,3514.0,4287.0,3754.0,3864.0,57.5305,0.025,55.1866,59.0669,59.0669,55.1866,59.0669,57.6995,58.1688,0.0693,0.7308,0.0025,0.2223,0.1474,0.0131,0.1066,0.0271,0.0575,0.0001,0.4111,0.0,0.0003,0.0002,0.0001,0.0001,0.0001,0.0001,17.7512,0.2009,32.9107,0.1421,33.0,27.0,39.0,1.5963,0.2618,0.8661,0.0629,18.056,0.2024,33.4572,0.1342,33.0,28.0,39.0,1.2586,0.4318,0.8701,0.0609,0.6302,0.7266
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,90.0,8010.0,90.0,8010.0,0.0,0.0,0.0112,0.3137,0.6786,0.1429,1.0,1.0058,0.0778,0.0,0.0778,0.0778,0.0,0.0,0.0,0.0,0.0778,0.039,0.071,0.0849,3.8942,0.0317,0.0243,0.0,0.105,2.0381,0.0049,0.157,0.0032,0.007,3.1112,0.0624,0.0111,0.0,0.0111,0.0111,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,4362.0,0.0242,4236.0,4543.0,4543.0,4236.0,4404.0,4298.0,4329.0,31.4722,0.0173,30.9457,32.4942,32.4942,30.9457,31.4809,31.09,31.3501,0.0641,0.7353,0.0001,0.201,0.1352,0.0152,0.0903,0.0261,0.051,0.0001,0.3793,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,10.5497,0.2423,15.365,0.1855,15.0,12.0,19.0,1.9129,0.2876,0.877,0.088,10.4131,0.2547,15.3671,0.1921,15.0,12.0,19.0,1.7176,0.413,0.8726,0.0999,0.6625,0.7487
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,110.0,2343.0,110.0,2343.0,0.0,0.0,0.0469,0.3774,0.64,0.2,1.0,0.8309,0.0455,0.0,0.0455,0.0455,0.0,0.0,0.0,0.0,0.0455,0.112,0.0341,0.0619,3.564,0.0788,0.0616,0.0,0.3171,2.8732,0.0088,0.1916,0.0051,0.0132,2.7114,0.1942,0.0457,0.0156,0.0431,0.0465,0.1099,0.0654,0.0824,0.1434,4.2136,0.1069,0.0564,0.0863,0.1276,1.0069,2.789,0.1463,2.0,3.0,0.5153,4278.25,0.0138,4227.0,4397.0,4397.0,4227.0,4356.0,4237.0,4256.0,24.9297,0.0277,23.6932,25.9397,25.9397,23.6932,25.4522,24.7383,25.2758,0.1651,0.6913,0.0056,0.5494,0.3115,0.0394,0.2539,0.0675,0.1454,0.0019,0.7341,0.0002,0.008,0.004,0.0006,0.0025,0.0009,0.0016,9.6703,0.2899,21.9929,0.1619,22.0,18.0,27.0,1.5591,0.2572,0.8699,0.0843,8.7044,0.3018,21.9929,0.162,22.0,18.0,27.0,1.1521,0.433,0.8575,0.0781,0.5591,0.6975
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,110.0,2343.0,110.0,2343.0,0.0,0.0,0.0469,0.3743,0.6414,0.2,1.0,0.8241,0.0455,0.0,0.0455,0.0455,0.0,0.0,0.0,0.0,0.0455,0.0992,0.0359,0.0568,3.4926,0.0792,0.0526,0.0,0.215,2.8748,0.0082,0.2339,0.003,0.0137,2.7746,0.1797,0.0456,0.0149,0.0431,0.0465,0.1096,0.0599,0.0918,0.1332,4.1285,0.1065,0.0591,0.0855,0.1299,1.0598,2.8624,0.1204,2.0,3.0,0.4006,4277.375,0.0179,4192.0,4419.0,4419.0,4192.0,4385.0,4227.0,4266.0,25.2032,0.0257,24.3634,26.2152,26.2152,24.3634,26.0166,24.6846,25.4038,0.1646,0.6087,0.0064,0.3916,0.3114,0.0486,0.2289,0.0817,0.1543,0.0018,0.645,0.0003,0.0062,0.0033,0.0006,0.0024,0.0009,0.0014,10.0267,0.272,21.9015,0.1617,22.0,17.0,27.0,1.563,0.2559,0.8713,0.0775,9.0747,0.2777,21.9697,0.1625,22.0,18.0,26.0,1.1488,0.4281,0.8598,0.0766,0.5605,0.704
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,13000.0,54600.0,12681.0,54263.0,0.0252,0.0062,0.2337,0.4948,0.5866,0.0,1.0,0.7093,0.0002,0.0638,0.0002,0.0005,0.1559,0.0,0.0,0.9655,0.0002,0.2919,0.0,0.0008,2.7188,0.225,0.17,0.0,1.0,3.3507,0.0001,0.4003,0.0,0.0004,2.339,0.4963,0.0005,0.2953,0.0001,0.0017,0.0004,0.2446,0.0001,0.0011,2.9648,0.102,0.2424,0.037,0.3333,2.2428,5.038,0.0379,5.0,6.0,0.1615,12.4356,0.3721,5.0,31.0,18.0,7.0,15.0,9.0,11.0,59.369,0.2051,34.0,104.1667,76.5,43.8235,66.7,50.8182,59.1429,0.391,0.5823,0.0,1.0,0.7054,0.0842,0.5636,0.2021,0.3845,0.0919,0.665,0.0021,0.6795,0.1762,0.0274,0.1228,0.0461,0.0788,580.0,1.1822,2508.18,0.3321,2759.0,2674.0,2809.0,0.7619,0.8199,0.9193,0.268,541.35,2.6904,2632.0,0.2359,2779.0,2694.0,2824.0,0.0645,0.2496,0.7851,0.2354,0.2293,0.3014
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,50.0,4450.0,50.0,4450.0,0.0,0.0,0.0112,0.3065,0.687,0.1429,1.0,0.9873,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.0366,0.1245,0.1492,3.5029,0.0348,0.0259,0.0031,0.1131,1.964,0.0088,0.1453,0.0061,0.0119,2.9188,0.0627,0.011,0.0,0.011,0.011,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,4584.0,0.0074,4553.0,4646.0,4646.0,4553.0,4587.0,4555.0,4579.0,19.7719,0.0114,19.5669,20.2036,20.2036,19.5669,19.758,19.6194,19.7117,0.0698,0.7119,0.0062,0.2125,0.1438,0.0135,0.1167,0.034,0.0508,0.0001,0.4123,0.0,0.0002,0.0001,0.0,0.0001,0.0,0.0001,6.8891,0.2888,8.9002,0.231,9.0,6.0,12.0,2.2224,0.3386,0.8944,0.1144,6.3715,0.301,8.835,0.2278,9.0,6.0,11.0,1.9675,0.4304,0.8759,0.117,0.7049,0.7737
