@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
003-80-8.cnf,1,1
009-80-4.cnf,1,1
46bits_11.dimacs.cnf,1,1
46bits_12.dimacs.cnf,1,1
50bits_13.dimacs.cnf,1,1
6s17-opt.cnf,1,1
AProVE07-03.cnf,1,1
atco_enc2_opt2_10_21.cnf,1,1
atco_enc2_opt2_20_11.cnf,1,1
atco_enc3_opt2_18_44.cnf,1,1
dated-10-13-u.cnf,1,1
jgiraldezlevy.2200.9086.08.40.108.cnf,1,1
manthey_DimacsSorter_31_0.cnf,1,1
manthey_DimacsSorterHalf_36_0.cnf,1,1
manthey_DimacsSorterHalf_37_3.cnf,1,1
manthey_DimacsSorterHalf_37_6.cnf,1,1
manthey_single-ordered-initialized-w14-b7.cnf,1,1
manthey_single-ordered-initialized-w18-b8.cnf,1,1
manthey_single-ordered-initialized-w20-b8.cnf,1,1
manthey_single-ordered-initialized-w26-b8.cnf,1,1
manthey_single-ordered-initialized-w28-b8.cnf,1,1
manthey_single-ordered-initialized-w48-b7.cnf,1,1
mrpp_4x4#10_20.cnf,1,1
mrpp_6x6#20_10.cnf,1,1
mrpp_8x8#22_10.cnf,1,1
mrpp_8x8#22_24.cnf,1,1
partial-10-11-s.cnf,1,1
partial-5-17-s.cnf,1,1
transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-NOTKNOWN.cnf,1,1
UTI-20-10p1.cnf,1,1
008-80-4.cnf,1,2
010-23-80.cnf,1,2
46bits_14.dimacs.cnf,1,2
50bits_10.dimacs.cnf,1,2
6s11-opt.cnf,1,2
6s16.cnf,1,2
6s167-opt.cnf,1,2
9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,1,2
atco_enc1_opt2_10_16.cnf,1,2
bjrb07amba10andenv.cnf,1,2
complete-400-0.1-16-98765432140016.cnf,1,2
itox_vc1130.cnf,1,2
jgiraldezlevy.2200.9086.08.40.158.cnf,1,2
jgiraldezlevy.2200.9086.08.40.83.cnf,1,2
