@RELATION FEATURES_RUNSTATUS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ALL {ok, timeout, memout, not_applicable, crash, other}

@DATA
partial-10-11-s.cnf,1,ok
jgiraldezlevy.2200.9086.08.40.149.cnf,1,ok
manthey_single-ordered-initialized-w26-b8.cnf,1,ok
38bits_10.dimacs.cnf,1,ok
jgiraldezlevy.2200.9086.08.40.117.cnf,1,ok
beempgsol5b1.cnf,1,ok
aes_id.cnf,1,ok
UCG-20-5p0.cnf,1,ok
58bits_13.dimacs.cnf,1,ok
q_query_3_L150_coli.sat.cnf,1,ok
mrpp_8x8#18_20.cnf,1,ok
minxorminand064.cnf,1,ok
MD5-28-1.cnf,1,ok
UTI-20-5p1.cnf,1,ok
jgiraldezlevy.2200.9086.08.40.28.cnf,1,ok
manthey_DimacsSorterHalf_30_0.cnf,1,ok
62bits_10.dimacs.cnf,1,ok
jgiraldezlevy.2200.9086.08.40.8.cnf,1,ok
010-23-80.cnf,1,ok
jgiraldezlevy.2200.9086.08.40.158.cnf,1,ok
mrpp_4x4#12_12.cnf,1,ok
dated-10-13-u.cnf,1,ok
mrpp_8x8#18_13.cnf,1,ok
hwmcc10-timeframe-expansion-k45-pdtvisns3p02-tseitin.cnf,1,ok
jgiraldezlevy.2200.9086.08.40.33.cnf,1,ok
11pipe_k.cnf,1,ok
manthey_DimacsSorter_31_4.cnf,1,ok
64bits_11.dimacs.cnf,1,ok
6s168-opt.cnf,1,ok
manthey_DimacsSorter_37_6.cnf,1,ok
manthey_single-ordered-initialized-w20-b7.cnf,1,ok
manthey_single-ordered-initialized-w46-b8.cnf,1,ok
E02F22.cnf,1,ok
ACG-15-10p0.cnf,1,ok
gss-19-s100.cnf,1,ok
atco_enc1_opt2_10_16.cnf,1,ok
group_mulr.cnf,1,timeout
bob12s02.cnf,1,ok
manthey_DimacsSorter_31_6.cnf,1,ok
jgiraldezlevy.2200.9086.08.40.180.cnf,1,ok
48bits_14.dimacs.cnf,1,ok
54bits_13.dimacs.cnf,1,ok
manthey_single-ordered-initialized-w18-b7.cnf,1,ok
countbitssrl032.cnf,1,ok
manthey_DimacsSorter_28_3.cnf,1,ok
002-80-8.cnf,1,ok
atco_enc2_opt2_05_9.cnf,1,ok
complete-500-0.1-1-9876543215001.cnf,1,ok
manthey_single-ordered-initialized-w42-b8.cnf,1,ok
manthey_DimacsSorterHalf_32_1.cnf,1,ok
66bit.dimacs.cnf,1,ok
hwmcc10-timeframe-expansion-k50-pdtvisns3p00-tseitin.cnf,1,ok
grieu-vmpc-31.cnf,1,ok
manthey_single-ordered-initialized-w22-b6.cnf,1,ok
post-c32s-ss-8.cnf,1,ok
SAT_dat.k70-24_1_rule_3.cnf,1,timeout
mrpp_6x6#16_9.cnf,1,ok
hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,ok
manthey_single-ordered-initialized-w44-b8.cnf,1,ok
AProVE09-06.cnf,1,ok
