@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE Pre-featuretime NUMERIC
@ATTRIBUTE vars-clauses-ratio NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE VCG-CLAUSE-min NUMERIC
@ATTRIBUTE VCG-CLAUSE-max NUMERIC
@ATTRIBUTE VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY+ NUMERIC
@ATTRIBUTE TRINARY+ NUMERIC
@ATTRIBUTE Basic-featuretime NUMERIC
@ATTRIBUTE VCG-VAR-mean NUMERIC
@ATTRIBUTE VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE VCG-VAR-min NUMERIC
@ATTRIBUTE VCG-VAR-max NUMERIC
@ATTRIBUTE VCG-VAR-entropy NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE HORNY-VAR-mean NUMERIC
@ATTRIBUTE HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE HORNY-VAR-min NUMERIC
@ATTRIBUTE HORNY-VAR-max NUMERIC
@ATTRIBUTE HORNY-VAR-entropy NUMERIC
@ATTRIBUTE horn-clauses-fraction NUMERIC
@ATTRIBUTE VG-mean NUMERIC
@ATTRIBUTE VG-coeff-variation NUMERIC
@ATTRIBUTE VG-min NUMERIC
@ATTRIBUTE VG-max NUMERIC
@ATTRIBUTE KLB-featuretime NUMERIC
@ATTRIBUTE CG-mean NUMERIC
@ATTRIBUTE CG-coeff-variation NUMERIC
@ATTRIBUTE CG-min NUMERIC
@ATTRIBUTE CG-max NUMERIC
@ATTRIBUTE CG-entropy NUMERIC
@ATTRIBUTE cluster-coeff-mean NUMERIC
@ATTRIBUTE cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE cluster-coeff-min NUMERIC
@ATTRIBUTE cluster-coeff-max NUMERIC
@ATTRIBUTE cluster-coeff-entropy NUMERIC
@ATTRIBUTE CG-featuretime NUMERIC

@DATA
13pipe_q0_k.cnf,1,176066.000000000,5761591.000000000,100858.000000000,5603534.000000000,0.745682048,0.028206664,13.420000000,0.017998998,0.897948825,0.312084569,0.000000000,1.000000000,0.656807955,0.000032032,3.110022771,0.000019830,0.003975887,0.479769889,0.000000000,0.925305709,0.936539334,0.400000000,0.000032032,3.888349649,0.000001249,0.004109906,5.079426949,0.509768561,0.350061134,0.000000000,0.987500000,3.825304396,0.000018666,2.999946572,0.000000000,0.001113761,4.928799990,0.935851554,0.000052956,2.535993458,0.000001249,0.003298454,14.800000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,21.780000000
ACG-20-10p1.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
complete-400-0.1-3-9876543214003.cnf,1,800.000000000,47369.000000000,800.000000000,47369.000000000,0.000000000,0.000000000,0.200000000,0.016888682,0.638886303,0.726710607,0.000000000,1.000000000,1.481220415,0.017936282,1.283081040,0.002500000,0.076250000,1.638678657,0.000000000,0.681838333,0.681838333,-0.000000000,0.017936282,0.925031558,0.001203319,0.050771602,5.304646584,0.444543932,0.362947794,0.000000000,0.858666667,3.251034246,0.002136023,0.224326660,0.001182208,0.003525512,4.344540963,0.690282674,0.009224862,0.017797829,0.008127678,0.009732103,0.080000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.260000000
atco_enc1_opt1_10_15.cnf,1,46759.000000000,261059.000000000,22282.000000000,202936.000000000,1.098510008,0.286410494,0.840000000,0.109798163,0.547749562,0.598413983,0.000000000,1.000000000,1.968093590,0.000176932,0.517409334,0.000089759,0.000987344,1.836488773,0.000000000,0.260027792,0.528871171,0.020000000,0.000176932,2.814027116,0.000009855,0.005144479,3.240879759,0.306218892,0.198859855,0.000000000,1.000000000,3.207026860,0.000103691,3.235982442,0.000004928,0.002897465,2.989338212,0.593285568,0.000118084,1.025682763,0.000009855,0.000675090,0.600000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.020000000
jgiraldezlevy.2200.9086.08.40.188.cnf,1,2200.000000000,9086.000000000,2139.000000000,9010.000000000,0.028517999,0.008435072,0.000000000,0.237402886,0.495009249,0.587570145,0.000000000,1.000000000,0.719047383,0.001420841,0.065694854,0.001402525,0.002337541,0.166774520,0.000000000,0.000000000,0.961931188,0.000000000,0.001420841,0.289776670,0.000554939,0.003440622,2.692650354,0.229856589,0.171857892,0.000000000,1.000000000,3.321773958,0.000697319,0.403775936,0.000000000,0.001997780,2.323952121,0.493451720,0.002461345,0.259736084,0.000776915,0.006215316,0.000000000,0.002123328,0.247070406,0.000554939,0.004661487,2.946326474,0.141375723,0.273210251,0.056478405,0.392857143,2.685304605,0.120000000
50bit.dimacs.cnf,1,1652.000000000,33258.000000000,1212.000000000,33258.000000000,0.363036304,0.000000000,0.060000000,0.036442360,0.340111385,0.665505977,0.000000000,1.000000000,2.596431127,0.005869627,0.289620860,0.001650165,0.026402640,2.086788200,0.000000000,0.005833183,0.045162066,0.000000000,0.005869627,1.043461226,0.000270612,0.029707138,5.275058921,0.082705494,0.100903041,0.000000000,0.785714286,2.986444923,0.000455733,0.570555406,0.000030068,0.001503398,3.310147696,0.103223285,0.001132609,0.418194831,0.000120272,0.003307475,0.020000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.020000000
manthey_DimacsSorterHalf_31_2.cnf,1,5408.000000000,18446.000000000,3325.000000000,16597.000000000,0.626466165,0.111405676,0.040000000,0.200337410,0.291718513,1.183871400,0.000000000,1.000000000,1.371360891,0.000806704,0.475561926,0.000601504,0.010526316,1.084648601,0.000000000,0.590046394,0.864071820,-0.000000000,0.000806704,0.577754413,0.000482015,0.005904682,2.278585805,0.204181731,0.166051092,0.000000000,0.767441860,2.846451679,0.000515665,0.729388189,0.000060252,0.004277882,2.374717511,0.754112189,0.000659672,0.563261314,0.000361511,0.004579141,0.020000000,0.001075763,1.136955723,0.000301259,0.046755438,3.334457747,0.183665771,0.498670063,0.002577320,0.666666667,3.431354588,0.240000000
manthey_DimacsSorter_28_7.cnf,1,3507.000000000,11386.000000000,1934.000000000,9560.000000000,0.813340228,0.191004184,0.020000000,0.202301255,0.284172146,1.179535000,0.000000000,1.000000000,1.393070797,0.001399045,0.417356902,0.001034126,0.012926577,1.139412626,0.000000000,0.569769874,0.842573222,-0.000000000,0.001399045,0.552908934,0.000732218,0.018828452,2.505238039,0.191080680,0.157514084,0.000000000,0.741935484,2.916123727,0.000881387,0.676888542,0.000104603,0.013912134,2.239214556,0.744351464,0.001194546,0.503242009,0.000523013,0.012133891,-0.000000000,0.001907398,0.978915202,0.000523013,0.043410042,3.385022875,0.180560713,0.462952838,0.004830862,0.571428571,3.391862701,0.140000000
manol-pipe-c10nid_i.cnf,1,252516.000000000,750877.000000000,41437.000000000,320735.000000000,5.093973985,1.341113380,2.180000000,0.129193883,0.378182019,0.695412263,0.000000000,1.000000000,1.768869107,0.000094236,0.378914472,0.000048266,0.001037720,1.618890056,0.000000000,0.120997085,0.469736699,0.020000000,0.000094236,2.060377199,0.000021825,0.012839260,2.877037430,0.169209956,0.147332625,0.000000000,0.970149254,2.766499788,0.000033174,2.417154549,0.000000000,0.006466397,2.519492024,0.453963552,0.000076477,1.801415630,0.000015589,0.007270800,2.100000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.020000000
aaai10-planning-ipc5-pathways-13-step17.cnf,1,25631.000000000,142227.000000000,19609.000000000,125436.000000000,0.307103881,0.133861093,0.320000000,0.156326732,0.492501641,0.971825608,0.000000000,1.000000000,1.063923398,0.000115817,0.870155665,0.000101994,0.002498853,0.451639991,0.000000000,0.900546892,0.964372270,0.020000000,0.000115817,0.643262268,0.000015944,0.000502248,2.558747946,0.388239479,0.294708420,0.000000000,1.000000000,2.829980806,0.000092742,0.846492059,0.000000000,0.000454415,2.634664388,0.906366593,0.000285871,0.778945828,0.000015944,0.000597914,0.460000000,0.000139360,1.387792175,0.000015944,0.006186422,2.770122457,0.237121714,0.543022170,0.009900990,0.714285714,2.989128206,1.880000000
