@RELATION ALGORITHM_FEATURES

@ATTRIBUTE algorithm STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Lines..Average. NUMERIC
@ATTRIBUTE Lines..Total. NUMERIC
@ATTRIBUTE Size..Average. NUMERIC
@ATTRIBUTE Size..Total. NUMERIC
@ATTRIBUTE Number.of.files NUMERIC
@ATTRIBUTE Cyclomatic..Average. NUMERIC
@ATTRIBUTE Cyclomatic..Total. NUMERIC
@ATTRIBUTE Max.Indent..Average. NUMERIC
@ATTRIBUTE Max.Indent..Total. NUMERIC
@ATTRIBUTE nb_nodes NUMERIC
@ATTRIBUTE nb_edges NUMERIC
@ATTRIBUTE degree_min NUMERIC
@ATTRIBUTE degree_max NUMERIC
@ATTRIBUTE degree_mean NUMERIC
@ATTRIBUTE degree_variance NUMERIC
@ATTRIBUTE degree_entropy NUMERIC
@ATTRIBUTE transitivity NUMERIC
@ATTRIBUTE clustering_min NUMERIC
@ATTRIBUTE clustering_max NUMERIC
@ATTRIBUTE clustering_mean NUMERIC
@ATTRIBUTE clustering_variance NUMERIC
@ATTRIBUTE path_min NUMERIC
@ATTRIBUTE paths_max NUMERIC
@ATTRIBUTE path_mean NUMERIC
@ATTRIBUTE path_variance NUMERIC
@ATTRIBUTE path_entropy NUMERIC
@ATTRIBUTE Stmt NUMERIC
@ATTRIBUTE Type NUMERIC
@ATTRIBUTE Decl NUMERIC
@ATTRIBUTE Attribute NUMERIC
@ATTRIBUTE Operator NUMERIC
@ATTRIBUTE Literal NUMERIC
@ATTRIBUTE edge_ss NUMERIC
@ATTRIBUTE edge_st NUMERIC
@ATTRIBUTE edge_sd NUMERIC
@ATTRIBUTE edge_sa NUMERIC
@ATTRIBUTE edge_so NUMERIC
@ATTRIBUTE edge_sl NUMERIC
@ATTRIBUTE edge_ts NUMERIC
@ATTRIBUTE edge_tt NUMERIC
@ATTRIBUTE edge_td NUMERIC
@ATTRIBUTE edge_ta NUMERIC
@ATTRIBUTE edge_to NUMERIC
@ATTRIBUTE edge_tl NUMERIC
@ATTRIBUTE edge_ds NUMERIC
@ATTRIBUTE edge_dt NUMERIC
@ATTRIBUTE edge_dd NUMERIC
@ATTRIBUTE edge_da NUMERIC
@ATTRIBUTE edge_do NUMERIC
@ATTRIBUTE edge_dl NUMERIC
@ATTRIBUTE edge_as NUMERIC
@ATTRIBUTE edge_at NUMERIC
@ATTRIBUTE edge_ad NUMERIC
@ATTRIBUTE edge_aa NUMERIC
@ATTRIBUTE edge_ao NUMERIC
@ATTRIBUTE edge_al NUMERIC
@ATTRIBUTE edge_os NUMERIC
@ATTRIBUTE edge_ot NUMERIC
@ATTRIBUTE edge_od NUMERIC
@ATTRIBUTE edge_oa NUMERIC
@ATTRIBUTE edge_oo NUMERIC
@ATTRIBUTE edge_ol NUMERIC
@ATTRIBUTE edge_ls NUMERIC
@ATTRIBUTE edge_lt NUMERIC
@ATTRIBUTE edge_ld NUMERIC
@ATTRIBUTE edge_la NUMERIC
@ATTRIBUTE edge_lo NUMERIC
@ATTRIBUTE edge_ll NUMERIC
@ATTRIBUTE op_short NUMERIC
@ATTRIBUTE op_int NUMERIC
@ATTRIBUTE op_long NUMERIC
@ATTRIBUTE op_long_long NUMERIC
@ATTRIBUTE op_float NUMERIC
@ATTRIBUTE op_double NUMERIC
@ATTRIBUTE op_bit NUMERIC

@DATA
'abcdsat_r18',1,13.9952662722,11826,17924.9259259,483973,27,4.37215528782,3266,1.89156626506,1413,237105,244104,1,5323,2.05903713544632,176.303966184366,1.29303525570245,5.09016365378938e-05,0,0.5,0.00212135537739512,0.000359166548354465,1,26,6.06289363447286,14.8374367942619,2.30134310872484,0.523617254995101,0.0262362107209656,0.328372515172978,0.0278351521114933,0.0609421454654955,0.0329967215339658,3856,14,360,0,798,0,7,333,110,0,0,0,120,39,3013,0,0,0,0,0,282,0,0,0,462,0,11,0,115,0,176,0,28,0,155,0,0,0.65543,0.03745,0.01498,0.00187,0.02341,0.07397
'CaDiCaL',1,9.99241274659,6585,4247.27380952,356771,84,3.1425389755,1411,1.40979955457,633,3482394,3664714,1,14274,2.10470957622831,73.9449133685153,1.36959427294763,0.000174149147860576,0,0.5,0.00318044527431634,0.000511149997553411,1,94,6.4004112919006,12.3627800102947,2.36949146892286,0.494599777206918,0.0641389670408152,0.363779509843681,0.0121232434565349,0.043204089885644,0.0221544125664067,3442,21,496,0,536,0,27,902,232,0,0,0,96,94,3221,0,0,0,0,0,103,0,0,0,299,0,8,0,79,0,136,0,24,0,71,0,0,0.2172,0.20408,0.02041,0.00583,0.00875,0.04227
'Candy',1,7.31808390604,71344,14042.9936508,4423543,315,0.4408742032,3389,1.2474307272,9589,4198769,4436784,1,23419,2.11337370548368,152.970621076225,1.36237336841452,6.52523292495936e-05,0,0.5,0.00253271093179545,0.000410584217559295,1,33,6.50838150695986,10.4327081433773,2.41578027476884,0.507769180407785,0.062921376887477,0.361310011757709,0.0106793393707646,0.0397818886177171,0.0175382029585477,3610,12,526,0,504,0,17,865,214,0,0,0,101,138,3154,0,0,0,0,0,79,0,0,0,265,0,19,0,67,0,92,0,29,0,42,0,0.00163,0.17781,0.21207,0.01631,0.00163,0.00816,0.05546
'cms55.main.all4fixed',1,17.1789751319,45593,10185.0406091,2006453,197,3.17973406694,6935,1.95414947272,4262,7763712,8157622,1,57265,2.10147465542256,443.039877223272,1.34628282668061,2.34401294290473e-05,0,0.5,0.00246627812779491,0.000390185393700562,1,36,6.67783119864346,12.2901926022832,2.4990268663968,0.528651687297609,0.0541174056353725,0.330578209625467,0.0160732570779826,0.0471419627717369,0.0234374775918314,3702,15,487,1,538,0,22,786,193,0,0,0,112,121,2911,0,0,0,0,0,143,0,0,0,340,0,8,0,87,0,155,0,16,0,70,0,0.00432,0.24892,0.21007,0.03165,0.00719,0.01295,0.06763
'COMiniSatPS_Pulsar_drup',1,7.58139534884,3912,10664.1818182,234612,22,2.2180974478,956,1.36890951276,590,702360,714722,1,34074,2.03520132125975,1671.13975286503,1.30499022302601,2.76815463245421e-06,0,0.5,0.00122948255286082,0.000205443883371201,1,34,5.96572802175671,19.3258602927093,2.43948312746684,0.501876599677514,0.0209052442777033,0.236488101672876,0.0836940617230002,0.0951957525659551,0.061840240082951,3368,2,273,2,946,0,1,253,102,0,0,0,87,38,2055,0,0,0,0,1,782,0,0,0,535,0,10,0,287,0,351,0,11,0,212,0,0.00277,0.39031,0.25813,0.06367,0.009,0.01038,0.22353
'expGlucose',1,7.92939244663,4829,11463.2222222,309507,27,1.8813229572,967,1.38715953307,713,470391,490143,1,4033,2.08398119861987,60.768337776589,1.34139469735249,0.000156408463332933,0,0.5,0.0021147076982871,0.000343457118812465,1,33,6.58406503908321,11.1238383145381,2.44406954744729,0.529673961609092,0.0456338305181853,0.335145489100343,0.0121919673683693,0.050309235153399,0.0270455162506119,3810,15,539,0,652,0,16,559,194,0,0,0,146,68,2973,0,0,0,0,0,99,0,0,0,336,0,15,0,96,0,195,0,21,0,87,0,0,0.33653,0.12455,0.00958,0.0024,0.04192,0.05749
'expMC_LRB_VSIDS_Switch',1,7.81640625,4002,11089.5,243969,22,2.05361305361,881,1.42657342657,612,340440,356799,1,3938,2.09610504053578,78.996441756919,1.34521254604931,0.000137002924327045,0,0.5,0.0024488352553465,0.000400415305155147,1,24,6.18490261020424,10.9528385517391,2.37163336120821,0.491881374326159,0.048924662820509,0.370419873851549,0.01846983644466,0.0468428881075662,0.0234613644495569,3465,7,500,0,559,0,10,604,179,0,0,0,105,95,3422,0,0,0,0,0,182,0,0,0,360,0,9,0,83,0,154,0,16,0,99,0,0.0027,0.34953,0.14845,0.01754,0.00405,0.01484,0.08232
'expMC_LRB_VSIDS_Switch_2500',1,7.50396825397,3782,10623.7727273,233723,22,1.91232227488,807,1.41706161137,598,338008,354339,1,3934,2.09663084897399,79.4177334883917,1.34577085744149,0.000136844322641615,0,0.5,0.00246833568286841,0.000403958562360716,1,24,6.15138695477135,10.7638134481148,2.36203998559657,0.488929389307294,0.0494015765383459,0.373279848957263,0.018654016241859,0.0465516573902841,0.023183511564954,3419,18,518,1,589,0,11,687,192,0,0,0,100,84,3259,0,0,0,0,1,175,0,0,0,350,0,7,0,101,0,171,0,19,0,93,0,0,0.37165,0.13155,0.00766,0.00128,0.0166,0.07024
'expMC_VSIDS_LRB_Switch_2500',1,7.48611111111,3773,10649.3636364,234286,22,1.90758293839,805,1.41706161137,598,337956,354285,1,3934,2.09663388133366,79.4175737323117,1.34579049188195,0.000136865789189457,0,0.5,0.00246871547626019,0.000404019780502423,1,24,6.15134193190669,10.7635796892694,2.36204194759604,0.488902324971854,0.0494093749441542,0.373326860185974,0.0186569609168836,0.0465292214948205,0.0231752574863141,3469,20,458,1,611,0,15,657,191,0,0,0,106,95,3307,0,0,0,0,0,181,0,0,0,318,0,5,0,83,0,159,0,18,0,95,0,0,0.3815,0.12167,0.02155,0.00507,0.01394,0.08365
'GHackCOMSPS_drup',1,7.08906882591,7004,8996.08333333,431812,48,1.90435835351,1573,1.34745762712,1113,260357,271034,1,6620,2.08201815199899,235.819941097506,1.30698345535099,5.12820111572443e-05,0,0.5,0.00281738619491829,0.000478272006216975,1,26,5.52703090936745,12.6425960380323,2.10154321657716,0.454599827899564,0.0361025039455761,0.393673958425783,0.034126821814309,0.0502101091641553,0.0312867787506126,3214,4,409,0,657,0,6,451,175,0,0,0,63,48,3729,0,0,0,0,1,292,0,0,0,372,0,1,0,120,0,220,0,14,0,109,0,0,0.51467,0.0474,0.01919,0.00226,0.04515,0.07788
