@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
009-80-8.cnf,1,CTSat+default,599.774,ok
009-80-8.cnf,1,CTSat_noproof+default,586.031,ok
009-80-8.cnf,1,CaDiCaL-sc2020+default,2597.58,ok
009-80-8.cnf,1,DurianSat+default,411.037,ok
009-80-8.cnf,1,ExMapleLCMDistChronoBT+PADC_DL,643.21,ok
009-80-8.cnf,1,ExMapleLCMDistChronoBT+PADC_DL_OVAU_Exp,297.273,ok
009-80-8.cnf,1,ExMapleLCMDistChronoBT+PADC_DL_OVAU_Lin,998.299,ok
009-80-8.cnf,1,ExMapleLCMDistChronoBT+PSIDS_DL,402.925,ok
009-80-8.cnf,1,GlucoseEsbpSel+default,801.6,ok
009-80-8.cnf,1,Kissat-sc2020-default+default,365.578,ok
009-80-8.cnf,1,Kissat-sc2020-sat+default,1823.14,ok
009-80-8.cnf,1,Kissat-sc2020-unsat+default,957.231,ok
009-80-8.cnf,1,MLCMDCHRONOBT-DL-V2.2SCAVELRFV+default,800.903,ok
009-80-8.cnf,1,MLCMDChronoBT-DL-Scavel+default,387.634,ok
009-80-8.cnf,1,Maple-LCM-Dist-alluip-trail+default,663.579,ok
009-80-8.cnf,1,MapleCOMSPS_LRB_VSIDS_2+LRB_VSIDS_2_init,234.733,ok
009-80-8.cnf,1,MapleCOMSPS_LRB_VSIDS_2+default_drup,55.0479,ok
009-80-8.cnf,1,MapleLCMDistChronoBT-DL-Scavel01+default,953.268,ok
009-80-8.cnf,1,MapleLCMDistChronoBT-DL-Scavel02+default,105.971,ok
009-80-8.cnf,1,MapleLCMDistChronoBT-DL-f2trc+default,650.115,ok
009-80-8.cnf,1,MapleLCMDistChronoBT-DL-v3+default,754.827,ok
009-80-8.cnf,1,MapleLCMDistChronoBT-f2trc+default,883.452,ok
009-80-8.cnf,1,MapleLCMDistChronoBT-f2trc-s+default,622.263,ok
009-80-8.cnf,1,Maple_CM+dist+default,311.493,ok
009-80-8.cnf,1,Maple_CM+dist+sattime2s+-+default,725.008,ok
009-80-8.cnf,1,Maple_CM+dist+simp2--+default,605.158,ok
009-80-8.cnf,1,Maple_CMused+dist+default,640.075,ok
009-80-8.cnf,1,Maple_mix+default,859.203,ok
009-80-8.cnf,1,Maple_simp+default,596.955,ok
009-80-8.cnf,1,ParaFROST+default,3420.18,ok
009-80-8.cnf,1,ParaFROST_ALL+default,5003.39,other
009-80-8.cnf,1,ParaFROST_CBT+default,1642.15,ok
009-80-8.cnf,1,ParaFROST_HRE+default,5003.39,other
009-80-8.cnf,1,PauSat+default,5000.02,timeout
009-80-8.cnf,1,PauSat_noproof+default,5000.02,timeout
009-80-8.cnf,1,PauSat_noproof+noproof,5000.01,timeout
009-80-8.cnf,1,Relaxed_LCMDCBDL+default,781.582,ok
009-80-8.cnf,1,Relaxed_LCMDCBDL_newTech+default,633.404,ok
009-80-8.cnf,1,Relaxed_LCMDCBDL_noTimePara+default,754.726,ok
009-80-8.cnf,1,Riss+NOUNSAT_proof-fixed,1020.82,ok
009-80-8.cnf,1,Riss+default_proof,1307.65,ok
009-80-8.cnf,1,Riss-nolimit+NOLIMIT,1013.94,ok
009-80-8.cnf,1,SLIME+default,361.515,ok
009-80-8.cnf,1,SLIME+default-no-drup,448.431,ok
009-80-8.cnf,1,Top16-Undominated-LC-MapleLCMDiscChronoBT-DL+default,1752.01,ok
009-80-8.cnf,1,Top24-Undominated-LC-MapleLCMDiscChronoBT-DL+default,1756.85,ok
009-80-8.cnf,1,Top36-Undominated-LC-MapleLCMDiscChronoBT-DL+default,1758.38,ok
009-80-8.cnf,1,Undominated-LC-MapleLCMDiscChronoBT-DL+default,666.358,ok
009-80-8.cnf,1,abcdsat_n20+default,521.294,ok
009-80-8.cnf,1,cadical-alluip+default,1197.24,ok
009-80-8.cnf,1,cadical-alluip-trail+default,1198.07,ok
009-80-8.cnf,1,cadical-trail+default,1333.1,ok
009-80-8.cnf,1,cryptominisat-ccnr+default,238.386,ok
009-80-8.cnf,1,cryptominisat-ccnr-lsids+default,2227.49,ok
009-80-8.cnf,1,cryptominisat-ccnr-lsids-nolimits+default,1213.3,ok
009-80-8.cnf,1,cryptominisat-ccnr-nolimits+default,986.383,ok
009-80-8.cnf,1,cryptominisat-walksat+default,1558.64,ok
009-80-8.cnf,1,cryptominisat-walksat-nolimits+default,3032.7,ok
009-80-8.cnf,1,exp_L_MLD_CBT_DL+default,710.866,ok
009-80-8.cnf,1,exp_V_LGB_MLD_CBT_DL+default,675.969,ok
009-80-8.cnf,1,exp_V_L_MLD_CBT_DL+default,711.937,ok
009-80-8.cnf,1,exp_V_MLD_CBT_DL+default,386.214,ok
009-80-8.cnf,1,glucose-3.0-inprocess+default,842.147,ok
009-80-8.cnf,1,glucose3.0+proofs,1018.85,ok
009-80-8.cnf,1,mergesat+default,339.623,ok
009-80-8.cnf,1,optsat_m20+default,614.444,ok
009-80-8.cnf,1,upGlucose-3.0_PADC+default,572.259,ok
01-integer-programming-20-30-40.cnf,1,CTSat+default,5000.08,timeout
01-integer-programming-20-30-40.cnf,1,CTSat_noproof+default,5000.03,timeout
01-integer-programming-20-30-40.cnf,1,CaDiCaL-sc2020+default,1732.65,ok
01-integer-programming-20-30-40.cnf,1,DurianSat+default,5000.02,timeout
01-integer-programming-20-30-40.cnf,1,ExMapleLCMDistChronoBT+PADC_DL,5000.04,timeout
01-integer-programming-20-30-40.cnf,1,ExMapleLCMDistChronoBT+PADC_DL_OVAU_Exp,5000.05,timeout
01-integer-programming-20-30-40.cnf,1,ExMapleLCMDistChronoBT+PADC_DL_OVAU_Lin,5000.02,timeout
01-integer-programming-20-30-40.cnf,1,ExMapleLCMDistChronoBT+PSIDS_DL,5000.02,timeout
01-integer-programming-20-30-40.cnf,1,GlucoseEsbpSel+default,5000.02,timeout
01-integer-programming-20-30-40.cnf,1,Kissat-sc2020-default+default,2455.28,ok
01-integer-programming-20-30-40.cnf,1,Kissat-sc2020-sat+default,1446.7,ok
01-integer-programming-20-30-40.cnf,1,Kissat-sc2020-unsat+default,3882.07,ok
01-integer-programming-20-30-40.cnf,1,MLCMDCHRONOBT-DL-V2.2SCAVELRFV+default,4833.23,ok
01-integer-programming-20-30-40.cnf,1,MLCMDChronoBT-DL-Scavel+default,5000.11,timeout
01-integer-programming-20-30-40.cnf,1,Maple-LCM-Dist-alluip-trail+default,5000.02,timeout
01-integer-programming-20-30-40.cnf,1,MapleCOMSPS_LRB_VSIDS_2+LRB_VSIDS_2_init,1156.87,ok
01-integer-programming-20-30-40.cnf,1,MapleCOMSPS_LRB_VSIDS_2+default_drup,5000.09,timeout
01-integer-programming-20-30-40.cnf,1,MapleLCMDistChronoBT-DL-Scavel01+default,5000.02,timeout
01-integer-programming-20-30-40.cnf,1,MapleLCMDistChronoBT-DL-Scavel02+default,5000.02,timeout
01-integer-programming-20-30-40.cnf,1,MapleLCMDistChronoBT-DL-f2trc+default,1792.32,ok
01-integer-programming-20-30-40.cnf,1,MapleLCMDistChronoBT-DL-v3+default,5000.07,timeout
01-integer-programming-20-30-40.cnf,1,MapleLCMDistChronoBT-f2trc+default,2714.89,ok
01-integer-programming-20-30-40.cnf,1,MapleLCMDistChronoBT-f2trc-s+default,4584.79,ok
01-integer-programming-20-30-40.cnf,1,Maple_CM+dist+default,5000.03,timeout
01-integer-programming-20-30-40.cnf,1,Maple_CM+dist+sattime2s+-+default,5000.02,timeout
01-integer-programming-20-30-40.cnf,1,Maple_CM+dist+simp2--+default,4999.97,timeout
01-integer-programming-20-30-40.cnf,1,Maple_CMused+dist+default,5000.07,timeout
01-integer-programming-20-30-40.cnf,1,Maple_mix+default,5000.07,timeout
01-integer-programming-20-30-40.cnf,1,Maple_simp+default,5000.05,timeout
01-integer-programming-20-30-40.cnf,1,ParaFROST+default,5000.08,timeout
01-integer-programming-20-30-40.cnf,1,ParaFROST_ALL+default,5000.02,timeout
01-integer-programming-20-30-40.cnf,1,ParaFROST_CBT+default,5000.02,timeout
01-integer-programming-20-30-40.cnf,1,ParaFROST_HRE+default,5000.03,timeout
01-integer-programming-20-30-40.cnf,1,PauSat+default,5000.07,timeout
01-integer-programming-20-30-40.cnf,1,PauSat_noproof+default,5000.02,timeout
