@RELATION FEATURE_COSTS
@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@attribute DIA NUMERIC
@attribute LOBJOIS NUMERIC
@attribute BASE NUMERIC
@attribute UNIT NUMERIC
@attribute SP NUMERIC
@attribute LS NUMERIC
@attribute LP NUMERIC
@DATA
size_5_5_5_i019_r12.cnf,1,0.410000000,2.000000000,2.81,0.010000000,0.190000000,5.14,?
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,1,0.080000000,2.000000000,1.4,0.030000000,0.070000000,5.51,?
170058440.cnf,1,0.010000000,2.000000000,0.01,0.000000000,0.000000000,6.27,?
w19-5.1.cnf,1,6.440000000,2.000000000,26.08,0.060000000,4.770000000,4.46,?
vlsat2_32480_4362044.dimacs.cnf,1,?,4.070000000,?,?,?,?,?
g2-hwmcc15deep-6s33-k34.cnf,1,10.010000000,2.000000000,1.26,0.030000000,0.690000000,5.09,?
vlsat2_30195_3855554.dimacs.cnf,1,10.030000000,3.500000000,?,?,?,9.58,?
grain-53-80-0s0-seed-125-8-init-35.cnf,1,1.210000000,2.000000000,20.18,0.250000000,0.850000000,4.43,?
6g_6color_366_040_04.cnf,1,10.150000000,2.520000000,48.05,9.710000000,17.460000000,10.65,?
fclqcolor-20-15-12.cnf.gz.CP3-cnfmiter.cnf,1,10.010000000,2.000000000,44.94,4.460000000,?,4.3100000000000005,?
ex051_9-sc2018.cnf,1,10.020000000,2.000000000,22.189999999999998,0.270000000,6.100000000,4.66,?
size_4_5_5_i037_w31_r9.cnf,1,0.140000000,2.000000000,1.27,0.000000000,0.100000000,5.3100000000000005,?
4g_5color_170_050_05.cnf,1,10.010000000,2.120000000,28.72,8.840000000,10.720000000,6.49,?
DLTM_twitter454_70_12.cnf,1,10.010000000,2.000000000,2.6,0.010000000,0.440000000,4.92,?
TT7F-34-25.cnf,1,10.140000000,2.120000000,44.56999999999999,3.830000000,?,9.68,?
TT7F-33-24B.cnf,1,10.110000000,2.030000000,50.15,3.300000000,48.810000000,8.84,?
course0.2_2018_3_5.cnf,1,10.030000000,2.010000000,?,6.290000000,9.460000000,5.07,?
Timetable_C_241_E_34_Cl_16_S_12.cnf,1,10.010000000,2.020000000,31.0,0.050000000,7.010000000,4.84,?
DLTM_twitter845_79_18.cnf,1,10.010000000,2.000000000,8.55,0.030000000,1.340000000,4.62,?
ctl_4291_567_11_unsat.cnf,1,10.010000000,2.010000000,20.650000000000002,0.270000000,5.380000000,4.8100000000000005,?
logistics-unsat-logistics-rotate-11t5.sat05-1141.reshuffled-07.cnf,1,10.020000000,2.020000000,22.31,4.150000000,4.220000000,4.6,?
size_5_5_5_i059_r12.cnf,1,0.420000000,2.000000000,2.81,0.010000000,0.180000000,5.21,?
newpol6-8.cnf,1,10.010000000,2.000000000,22.53,6.050000000,2.410000000,4.43,?
