@RELATION FEATURE_RUNSTATUS
@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@attribute DIA {ok,timeout,memout,crash,other,unknown}
@attribute LOBJOIS {ok,timeout,memout,crash,other,unknown}
@attribute BASE {ok,timeout,memout,crash,other,unknown}
@attribute UNIT {ok,timeout,memout,crash,other,unknown}
@attribute SP {ok,timeout,memout,crash,other,unknown}
@attribute LS {ok,timeout,memout,crash,other,unknown}
@attribute LP {ok,timeout,memout,crash,other,unknown}
@DATA
size_5_5_5_i019_r12.cnf,1,ok,ok,ok,ok,ok,ok,timeout
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,1,ok,ok,ok,ok,ok,ok,timeout
170058440.cnf,1,ok,ok,ok,ok,ok,ok,timeout
w19-5.1.cnf,1,ok,ok,ok,ok,ok,ok,timeout
vlsat2_32480_4362044.dimacs.cnf,1,timeout,ok,timeout,timeout,timeout,timeout,timeout
g2-hwmcc15deep-6s33-k34.cnf,1,ok,ok,ok,ok,ok,ok,timeout
vlsat2_30195_3855554.dimacs.cnf,1,ok,ok,timeout,timeout,timeout,ok,timeout
grain-53-80-0s0-seed-125-8-init-35.cnf,1,ok,ok,ok,ok,ok,ok,timeout
6g_6color_366_040_04.cnf,1,ok,ok,ok,ok,ok,ok,timeout
fclqcolor-20-15-12.cnf.gz.CP3-cnfmiter.cnf,1,ok,ok,ok,ok,timeout,ok,timeout
ex051_9-sc2018.cnf,1,ok,ok,ok,ok,ok,ok,timeout
size_4_5_5_i037_w31_r9.cnf,1,ok,ok,ok,ok,ok,ok,timeout
4g_5color_170_050_05.cnf,1,ok,ok,ok,ok,ok,ok,timeout
DLTM_twitter454_70_12.cnf,1,ok,ok,ok,ok,ok,ok,timeout
TT7F-34-25.cnf,1,ok,ok,ok,ok,timeout,ok,timeout
TT7F-33-24B.cnf,1,ok,ok,ok,ok,ok,ok,timeout
course0.2_2018_3_5.cnf,1,ok,ok,timeout,ok,ok,ok,timeout
Timetable_C_241_E_34_Cl_16_S_12.cnf,1,ok,ok,ok,ok,ok,ok,timeout
DLTM_twitter845_79_18.cnf,1,ok,ok,ok,ok,ok,ok,timeout
ctl_4291_567_11_unsat.cnf,1,ok,ok,ok,ok,ok,ok,timeout
logistics-unsat-logistics-rotate-11t5.sat05-1141.reshuffled-07.cnf,1,ok,ok,ok,ok,ok,ok,timeout
size_5_5_5_i059_r12.cnf,1,ok,ok,ok,ok,ok,ok,timeout
newpol6-8.cnf,1,ok,ok,ok,ok,ok,ok,timeout
PRESENT_round_1-32_faultAt_30_fault_injections_10_seed_1579630418.cnf,1,ok,ok,ok,ok,ok,ok,timeout
170055892.cnf,1,ok,ok,ok,ok,ok,ok,timeout
vlsat2_21114_2240429.dimacs.cnf,1,ok,ok,ok,timeout,ok,ok,timeout
schur-triples-7-60.cnf,1,ok,ok,ok,ok,ok,ok,timeout
6g_6color_366_050_04.cnf,1,ok,ok,ok,ok,ok,ok,timeout
combined-crypto1-wff-seed-18-wffvars-450-cryptocplx-40-overlap-2.cnf,1,ok,ok,ok,ok,ok,ok,timeout
gto_p60c241.cnf,1,ok,ok,ok,ok,ok,ok,timeout
53-131220.cnf,1,ok,ok,ok,ok,ok,ok,timeout
ctl_4291_567_6_unsat_pre.cnf,1,ok,ok,ok,ok,ok,ok,timeout
ncc_none_7047_6_3_3_0_0_420.cnf,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout
ncc_none_5047_6_3_3_3_0_435991723.cnf,1,ok,ok,timeout,ok,ok,ok,timeout
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,1,ok,ok,ok,ok,ok,ok,ok
combined-crypto1-wff-seed-12-wffvars-450-cryptocplx-40-overlap-2.cnf,1,ok,ok,ok,ok,ok,ok,timeout
4g_6color_182_100_02.cnf,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout
b2005-p2-14x14c17h9-Ser4-0.cnf,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout
170105432.cnf,1,ok,ok,ok,ok,ok,ok,timeout
baseballcover12with24_and2positions.cnf,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout
full-bf-ga-6-ce.cnf,1,ok,ok,ok,ok,ok,ok,timeout
LABS_n038_goal002.cnf,1,ok,ok,ok,ok,ok,ok,timeout
velev-dlx-uns-1.0-05.cnf,1,ok,ok,timeout,timeout,ok,ok,timeout
VanDerWaerden_pd_2-3-26_635.cnf,1,ok,ok,ok,ok,ok,ok,timeout
Kittell-k7.cnf,1,ok,ok,ok,ok,ok,ok,timeout
dislog_a11_x11_n21.cnf,1,ok,ok,ok,ok,ok,ok,timeout
w19-8.0.cnf,1,ok,ok,ok,ok,ok,ok,timeout
abw-Q-494_bus.mtx-w208.cnf,1,ok,ok,timeout,ok,ok,ok,timeout
sted3_0x1e3-147.cnf,1,ok,ok,ok,ok,ok,ok,timeout
bv-term-small-rw_848.smt2.cnf,1,ok,ok,ok,ok,ok,ok,timeout
170059722.cnf,1,ok,ok,ok,ok,ok,ok,timeout
fsf-300-354-2-2-3-2.23.opt.cnf,1,ok,ok,ok,ok,ok,ok,ok
size_4_5_5_i003_w31_r9.cnf,1,ok,ok,ok,ok,ok,ok,timeout
preimage_80r_490m_160h_seed_6.cnf,1,ok,ok,ok,ok,ok,ok,timeout
gto_p50c314.cnf,1,ok,ok,ok,ok,ok,ok,timeout
Steiner-27-10-bce.cnf,1,ok,ok,ok,ok,ok,ok,timeout
abw-V-nos6.mtx-w220.cnf,1,ok,ok,timeout,ok,ok,ok,timeout
bv-term-small-rw_503.smt2.cnf,1,ok,ok,ok,ok,ok,ok,timeout
mrpp_8x8#16_12.cnf,1,ok,ok,ok,ok,ok,ok,timeout
iffyInterleavedModMult-8.smt2.cnf,1,ok,ok,ok,ok,ok,ok,timeout
ps_300_312_20.cnf,1,ok,ok,timeout,ok,ok,ok,timeout
01-integer-programming-5-10-100.cnf,1,ok,ok,ok,ok,ok,ok,timeout
schup-l2s-bc56s-1-k391.cnf,1,ok,ok,ok,ok,ok,ok,timeout
Kakuro-easy-126-ext.xml.hg_7.cnf,1,ok,ok,timeout,ok,timeout,timeout,timeout
Timetable_C_466_E_50_Cl_31_S_28.cnf,1,ok,ok,ok,ok,ok,ok,timeout
TT7F-33-24A.cnf,1,ok,ok,ok,ok,ok,ok,timeout
lang28.cnf.gz.CP3-cnfmiter.cnf,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout
TT7F-34-27.cnf,1,ok,ok,ok,ok,ok,ok,timeout
bv-term-small-rw_1159.smt2.cnf,1,ok,ok,ok,ok,ok,ok,timeout
sted4_0x1e3-124.cnf,1,ok,ok,ok,ok,ok,ok,timeout
size_5_5_5_i260_r12.cnf,1,ok,ok,ok,ok,ok,ok,timeout
ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_31944661.cnf,1,ok,ok,ok,ok,ok,ok,timeout
combined-crypto1-wff-seed-108-wffvars-500-cryptocplx-31-overlap-2.cnf,1,ok,ok,ok,ok,ok,ok,timeout
60-129673.cnf,1,ok,ok,ok,ok,ok,ok,timeout
rbsat-v760c43649g8.cnf,1,ok,ok,ok,ok,ok,ok,timeout
w19-20.0.cnf,1,ok,ok,ok,ok,ok,ok,timeout
LABS_n071_goal001-sc2013.cnf,1,ok,ok,ok,ok,ok,ok,timeout
SAT_dat.k80.cnf,1,ok,ok,ok,ok,ok,ok,timeout
Timetable_C_392_E_62_Cl_26_S_28.cnf,1,ok,ok,ok,ok,ok,ok,timeout
vlsat2_34161_4607712.dimacs.cnf,1,timeout,ok,timeout,timeout,timeout,timeout,timeout
w15.cnf,1,ok,ok,ok,ok,ok,ok,timeout
ps_200_305_70.cnf,1,ok,ok,timeout,ok,ok,ok,timeout
mulhs16.smt2.cnf,1,ok,ok,ok,ok,ok,ok,timeout
TT7F-34-24D.cnf,1,ok,ok,ok,ok,timeout,ok,timeout
Steiner-45-16-bce.cnf,1,ok,ok,ok,ok,ok,ok,timeout
sv-comp19_prop-reachsafety.queue_longer_false-unreach-call.i-witness.cnf,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout
Kakuro-easy-132-ext.xml.hg_9.cnf,1,ok,ok,timeout,ok,timeout,ok,timeout
DLTM_twitter799_70_12.cnf,1,ok,ok,ok,ok,ok,ok,timeout
combined-crypto1-wff-seed-132-wffvars-500-cryptocplx-31-overlap-2.cnf,1,ok,ok,ok,ok,ok,ok,timeout
newpol6-6.cnf,1,ok,ok,ok,ok,ok,ok,timeout
preimage_80r_492m_160h_seed_136.cnf,1,ok,ok,ok,ok,ok,ok,timeout
abw-X-can__715.mtx-w103.cnf,1,ok,ok,timeout,ok,timeout,ok,timeout
sgen4-unsat-89-1.cnf,1,ok,ok,ok,ok,ok,ok,timeout
preimage_80r_495m_160h_seed_379.cnf,1,ok,ok,ok,ok,ok,ok,ok
vlsat2_35929_5082743.dimacs.cnf,1,timeout,timeout,timeout,timeout,timeout,timeout,timeout
size_5_5_5_i053_r12.cnf,1,ok,ok,ok,ok,ok,ok,timeout
sted1_0x0-649.cnf,1,ok,ok,ok,ok,ok,ok,timeout
preimage_80r_490m_160h_seed_150.cnf,1,ok,ok,ok,ok,ok,ok,timeout
newpol4-6.cnf,1,ok,ok,ok,ok,ok,ok,timeout
mm-2x3-8-8-sb.1.sat05-475.reshuffled-07.cnf,1,ok,ok,ok,ok,ok,ok,timeout
Timetable_C_181_E_34_Cl_12_S_6.cnf,1,ok,ok,ok,ok,ok,ok,timeout
combined-crypto1-wff-seed-133-wffvars-500-cryptocplx-31-overlap-2.cnf,1,ok,ok,ok,ok,ok,ok,timeout
full-bg-gb-7-ce.cnf,1,ok,ok,ok,ok,ok,ok,timeout
Timetable_C_437_E_62_Cl_29_S_28.cnf,1,ok,ok,timeout,ok,ok,ok,timeout
