@RELATION FEATURE_VALUES
@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE DIAMETER-mean NUMERIC
@ATTRIBUTE DIAMETER-coeff-variation NUMERIC
@ATTRIBUTE DIAMETER-min NUMERIC
@ATTRIBUTE DIAMETER-max NUMERIC
@ATTRIBUTE DIAMETER-entropy NUMERIC
@ATTRIBUTE LOBJOIS-lobjois-mean-depth-over-vars NUMERIC
@ATTRIBUTE LOBJOIS-lobjois-log-num-nodes-over-vars NUMERIC
@ATTRIBUTE BASE-nvarsOrig NUMERIC
@ATTRIBUTE BASE-nclausesOrig NUMERIC
@ATTRIBUTE BASE-nvars NUMERIC
@ATTRIBUTE BASE-nclauses NUMERIC
@ATTRIBUTE BASE-reducedVars NUMERIC
@ATTRIBUTE BASE-reducedClauses NUMERIC
@ATTRIBUTE BASE-vars-clauses-ratio NUMERIC
@ATTRIBUTE BASE-POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE BASE-POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE BASE-POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE BASE-POSNEG-RATIO-CLAUSE-max NUMERIC
@ATTRIBUTE BASE-POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE BASE-VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE BASE-VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE BASE-VCG-CLAUSE-min NUMERIC
@ATTRIBUTE BASE-VCG-CLAUSE-max NUMERIC
@ATTRIBUTE BASE-VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE BASE-UNARY NUMERIC
@ATTRIBUTE BASE-BINARY+ NUMERIC
@ATTRIBUTE BASE-TRINARY+ NUMERIC
@ATTRIBUTE BASE-VCG-VAR-mean NUMERIC
@ATTRIBUTE BASE-VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE BASE-VCG-VAR-min NUMERIC
@ATTRIBUTE BASE-VCG-VAR-max NUMERIC
@ATTRIBUTE BASE-VCG-VAR-entropy NUMERIC
@ATTRIBUTE BASE-POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE BASE-POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE BASE-POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE BASE-POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE BASE-POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE BASE-HORNY-VAR-mean NUMERIC
@ATTRIBUTE BASE-HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE BASE-HORNY-VAR-min NUMERIC
@ATTRIBUTE BASE-HORNY-VAR-max NUMERIC
@ATTRIBUTE BASE-HORNY-VAR-entropy NUMERIC
@ATTRIBUTE BASE-horn-clauses-fraction NUMERIC
@ATTRIBUTE BASE-VG-mean NUMERIC
@ATTRIBUTE BASE-VG-coeff-variation NUMERIC
@ATTRIBUTE BASE-VG-min NUMERIC
@ATTRIBUTE BASE-VG-max NUMERIC
@ATTRIBUTE BASE-CG-mean NUMERIC
@ATTRIBUTE BASE-CG-coeff-variation NUMERIC
@ATTRIBUTE BASE-CG-min NUMERIC
@ATTRIBUTE BASE-CG-max NUMERIC
@ATTRIBUTE BASE-CG-entropy NUMERIC
@ATTRIBUTE BASE-cluster-coeff-mean NUMERIC
@ATTRIBUTE BASE-cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE BASE-cluster-coeff-min NUMERIC
@ATTRIBUTE BASE-cluster-coeff-max NUMERIC
@ATTRIBUTE BASE-cluster-coeff-entropy NUMERIC
@ATTRIBUTE UNIT-vars-reduced-depth-1 NUMERIC
@ATTRIBUTE UNIT-vars-reduced-depth-4 NUMERIC
@ATTRIBUTE UNIT-vars-reduced-depth-16 NUMERIC
@ATTRIBUTE UNIT-vars-reduced-depth-64 NUMERIC
@ATTRIBUTE UNIT-vars-reduced-depth-256 NUMERIC
@ATTRIBUTE SP-bias-mean NUMERIC
@ATTRIBUTE SP-bias-coeff-variation NUMERIC
@ATTRIBUTE SP-bias-min NUMERIC
@ATTRIBUTE SP-bias-max NUMERIC
@ATTRIBUTE SP-bias-q90 NUMERIC
@ATTRIBUTE SP-bias-q10 NUMERIC
@ATTRIBUTE SP-bias-q75 NUMERIC
@ATTRIBUTE SP-bias-q25 NUMERIC
@ATTRIBUTE SP-bias-q50 NUMERIC
@ATTRIBUTE SP-unconstraint-mean NUMERIC
@ATTRIBUTE SP-unconstraint-coeff-variation NUMERIC
@ATTRIBUTE SP-unconstraint-min NUMERIC
@ATTRIBUTE SP-unconstraint-max NUMERIC
@ATTRIBUTE SP-unconstraint-q90 NUMERIC
@ATTRIBUTE SP-unconstraint-q10 NUMERIC
@ATTRIBUTE SP-unconstraint-q75 NUMERIC
@ATTRIBUTE SP-unconstraint-q25 NUMERIC
@ATTRIBUTE SP-unconstraint-q50 NUMERIC
@ATTRIBUTE LS-saps_BestSolution_Mean NUMERIC
@ATTRIBUTE LS-saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE LS-saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE LS-saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE LS-saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE LS-saps_FirstLocalMinStep_Q.10 NUMERIC
@ATTRIBUTE LS-saps_FirstLocalMinStep_Q.90 NUMERIC
@ATTRIBUTE LS-saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE LS-saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE LS-saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE LS-saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE LS-gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE LS-gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE LS-gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE LS-gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE LS-gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE LS-gsat_FirstLocalMinStep_Q.10 NUMERIC
@ATTRIBUTE LS-gsat_FirstLocalMinStep_Q.90 NUMERIC
@ATTRIBUTE LS-gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE LS-gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE LS-gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE LS-gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE LP_OBJ NUMERIC
@ATTRIBUTE LPSLack-mean NUMERIC
@ATTRIBUTE LPSLack-coeff-variation NUMERIC
@ATTRIBUTE LPSLack-min NUMERIC
@ATTRIBUTE LPSLack-max NUMERIC
@ATTRIBUTE LP-lpIntRatio NUMERIC
@DATA
size_5_5_5_i019_r12.cnf,1,10.773428233,0.149666740,8.000000000,14.000000000,1.787010043,0.207979397,0.692879990,3220.000000000,12439.000000000,1687.000000000,11726.000000000,0.908713693,0.060805049,0.143868327,0.380638467,0.658379202,0.000000000,1.000000000,1.098232724,0.002003563,0.268513300,0.001185536,0.002963841,0.876948331,0.000000000,0.077093638,0.759849906,0.002003563,1.123481159,0.000596964,0.009210302,1.181506854,0.046355586,0.093931214,0.000000000,0.636363636,0.747892622,0.000569717,1.621449649,0.000170561,0.005372676,1.335140381,0.262664165,0.001148533,1.265975572,0.000426403,0.005969640,0.007230449,0.536806497,0.000426403,0.018250043,2.279929616,0.072014206,0.455319748,0.014803557,0.333333333,1.286529962,0.000000000,0.000000000,0.165382336,0.165382336,0.165382336,0.226454344,1.271863963,0.000036905,0.998360355,0.628357367,0.009517262,0.267194374,0.031758259,0.094545841,0.023328997,0.450389098,0.000000002,0.048305971,0.030066560,0.000002847,0.029755054,0.018930282,0.029193640,86.353159851,0.732180094,268.029739777,0.072282111,269.000000000,255.000000000,282.000000000,0.730287425,1.137112807,0.835066675,0.345409820,101.588235294,0.125944944,269.372549020,0.039568075,270.000000000,255.000000000,283.000000000,0.260801406,0.266527739,0.830487218,0.020172038,?,?,?,?,?,?
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,1,5.635111876,0.085428433,5.000000000,6.000000000,0.656178895,0.379773606,0.616020435,978.000000000,5514.000000000,582.000000000,5111.000000000,0.680412371,0.078849540,0.113872041,0.355703385,0.808170152,0.000000000,1.000000000,1.692510649,0.007280638,0.216141082,0.003436426,0.008591065,1.139467080,0.000000000,0.077871258,0.173155938,0.007280638,0.579598671,0.002152221,0.023087458,2.859419771,0.019763326,0.030190736,0.000000000,0.090909091,0.813391989,0.001630470,0.572251837,0.000391313,0.005674036,2.576202314,0.283701820,0.002323672,0.532686072,0.000978282,0.007043631,0.017164401,0.304518199,0.002152221,0.027783213,4.506620500,0.225510503,0.214340906,0.089308176,0.467836257,2.888749170,0.000000000,0.000000000,0.000000000,0.000000000,0.001718213,0.161291196,1.434464152,0.000000000,0.516305733,0.499336055,0.000000000,0.493407785,0.000000012,0.001003410,0.045182159,0.942057506,0.000004354,0.157924843,0.075320216,0.000733955,0.067652501,0.001323314,0.056043462,61.851712811,0.135999374,97.350539653,0.080806799,97.000000000,88.000000000,107.000000000,1.000009108,0.227116030,0.806360187,0.211177293,61.255165786,0.083601307,97.382508409,0.074950739,97.000000000,88.000000000,107.000000000,0.473416981,0.327206363,0.801427748,0.040761398,?,?,?,?,?,?
170058440.cnf,1,4.000000000,0.000000000,4.000000000,4.000000000,-0.000000000,0.409820829,0.655551628,320.000000000,1120.000000000,320.000000000,1120.000000000,0.000000000,0.000000000,0.285714286,0.490476190,0.576914739,0.333333333,1.000000000,0.546089317,0.009375000,0.000000000,0.009375000,0.009375000,-0.000000000,0.000000000,0.000000000,1.000000000,0.009375000,0.062087642,0.008928571,0.010714286,0.890916406,0.029545455,0.042579532,0.000000000,0.090909091,0.630581028,0.004779576,0.261924661,0.000892857,0.008035714,1.752266576,0.509821429,0.018750000,0.062087642,0.017857143,0.021428571,0.014075255,0.047188097,0.013392857,0.016071429,1.067465235,0.119530981,0.043365616,0.105263158,0.125000000,0.740427811,0.000000000,0.000000000,0.003125000,0.268750000,0.268750000,0.091621945,0.888263155,0.000724090,0.288900246,0.216214288,0.010082072,0.170702902,0.024749376,0.055593649,0.076139832,0.134604688,0.048792772,0.097196306,0.088203012,0.061891208,0.084092390,0.068937217,0.077552055,14.216025138,0.253991598,63.325608798,0.088868475,63.000000000,56.000000000,71.000000000,0.813450762,0.206925899,0.823315544,0.051888794,10.841575297,0.317456985,63.339002014,0.090871076,63.000000000,56.000000000,71.000000000,0.340027409,0.388105573,0.801233635,0.052460975,?,?,?,?,?,?
w19-5.1.cnf,1,4.337177748,0.108998563,4.000000000,5.000000000,0.639145723,0.079457253,0.411594835,11949.000000000,1281557.000000000,1475.000000000,158801.000000000,7.101016949,7.070207366,0.009288355,0.992871342,0.076603376,0.000000000,1.000000000,0.064213262,0.002643530,0.131799864,0.001355932,0.012203390,0.292886395,0.000000000,0.055830883,0.060799365,0.002643530,0.523864704,0.000050378,0.004955888,5.647277579,0.877380511,0.260188954,0.000000000,0.994917408,1.978623340,0.002608223,0.536406427,0.000012594,0.004943294,5.704906398,0.990365300,0.002911795,0.524570004,0.000031486,0.005346314,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,0.005423729,0.025762712,0.073898305,0.073898305,0.073898305,0.846302554,0.139922015,0.007280909,0.999204338,0.930218697,0.790017120,0.891370491,0.843174431,0.864023500,0.021157660,0.599093053,0.000000088,0.063877409,0.035973081,0.000402740,0.030712213,0.012471569,0.022813022,170.540322581,6.587353366,504.250000000,0.096975116,510.000000000,486.000000000,526.000000000,11.894569814,0.191923851,0.983806765,0.090540397,153.818181818,6.343448929,502.148760331,0.100048449,507.000000000,481.000000000,531.000000000,6.614493009,0.292214121,0.983222629,0.091677728,?,?,?,?,?,?
vlsat2_32480_4362044.dimacs.cnf,1,?,?,?,?,?,0.614638476,0.614638476,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
g2-hwmcc15deep-6s33-k34.cnf,1,11.278080533,0.096731212,8.000000000,14.000000000,1.479488974,0.058157756,0.279937002,24952.000000000,72572.000000000,9506.000000000,42691.000000000,1.624868504,0.699936755,0.222669884,0.477711074,0.758402855,0.000000000,1.000000000,1.348654175,0.000314511,0.284808736,0.000210393,0.003366295,1.095577089,0.000000000,0.246187721,0.820875594,0.000314511,0.423223418,0.000117121,0.001522569,2.649973619,0.097715580,0.107842978,0.000000000,0.814814815,2.360100945,0.000142450,0.454967170,0.000023424,0.000726148,2.231581574,0.521397953,0.000287565,0.447828872,0.000117121,0.003560469,0.000472100,0.452380315,0.000117121,0.003138835,3.389536055,0.178336145,0.410471841,0.021890547,0.666666667,3.244199421,0.000000000,0.000000000,0.001683147,0.003050705,0.003050705,0.306104750,0.665632895,0.000299360,0.945317470,0.608711102,0.059446180,0.470224888,0.138360733,0.264833914,0.044662278,0.920960593,0.000000000,0.398542411,0.089549132,0.003602069,0.065354603,0.014670880,0.035017877,463.500000000,1.577173990,2149.125000000,0.183296202,2213.000000000,2174.000000000,2256.000000000,0.722349639,0.942089482,0.938669499,0.593129432,528.140350877,0.039175696,2215.631578950,0.012786747,2214.000000000,2182.000000000,2251.000000000,0.286456682,0.280083457,0.868377011,0.008125201,?,?,?,?,?,?
vlsat2_30195_3855554.dimacs.cnf,1,5.000000000,0.000000000,5.000000000,5.000000000,-0.000000000,0.610302658,0.610302658,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3990.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,104.136885985,0.000000000,1.004316692,0.000000000,1873.000000000,0.000000000,9549.000000000,0.000000000,9549.000000000,9549.000000000,9549.000000000,37.627823430,0.000000000,0.999570911,0.000000000,?,?,?,?,?,?
grain-53-80-0s0-seed-125-8-init-35.cnf,1,5.653088934,0.084953009,4.000000000,7.000000000,0.660595659,0.404609398,0.711150019,1849.000000000,27043.000000000,1474.000000000,26455.000000000,0.254409769,0.022226422,0.055717256,0.304973045,0.822167985,0.000000000,1.000000000,1.768743045,0.004110382,0.281117683,0.001356852,0.004748982,1.052404623,0.000000000,0.114723115,0.134076734,0.004110382,1.577589425,0.000302400,0.041126441,3.511881215,0.042959019,0.060635256,0.000000000,0.400000000,2.065232288,0.000437060,1.733790308,0.000037800,0.005065205,2.847825297,0.187601588,0.000610545,1.476871133,0.000189000,0.005329805,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,0.000000000,0.002713704,0.005427408,0.033242877,0.212347354,0.442007205,0.738773195,0.000000000,0.879062020,0.798549774,0.000000244,0.716733465,0.008643315,0.532018187,0.064970643,0.786067439,0.000000000,0.218356262,0.156201827,0.000190670,0.086050008,0.027668551,0.055415563,95.612903226,0.349874357,244.761290323,0.094943454,245.000000000,231.000000000,261.000000000,1.043294042,0.290894905,0.769513025,0.105117370,96.546762590,0.232930818,243.136690647,0.101878114,245.000000000,226.000000000,262.000000000,0.454303225,0.576521152,0.769220268,0.079423490,?,?,?,?,?,?
6g_6color_366_040_04.cnf,1,10.000000000,0.000000000,10.000000000,10.000000000,-0.000000000,0.257572936,0.261157666,77328.000000000,6377604.000000000,64440.000000000,5834337.000000000,0.200000000,0.093115465,0.011044957,1.000000000,0.000000000,1.000000000,1.000000000,-0.000000000,0.000042323,0.843277752,0.000031037,0.000155183,0.304641120,0.000000000,0.909088728,0.909088728,0.000042323,0.279601514,0.000009598,0.000055533,3.072734337,0.333299133,0.002941453,0.000000000,0.333333333,0.016303781,0.000028215,0.279621250,0.000004799,0.000037022,3.072734337,0.909088728,0.000071225,0.276873784,0.000024681,0.000093241,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.824959159,0.295354715,0.000000000,1.000000000,0.999945226,0.500000000,0.999272791,0.583911866,0.981564368,0.065177311,1.833006830,-0.000000000,0.500000000,0.278405999,0.000000000,0.064003243,0.000046917,0.002791173,259085.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,76.425726860,0.000000000,1.244572785,0.000000000,43308.000000000,0.000000000,25404.000000000,0.000000000,25404.000000000,25404.000000000,25404.000000000,33.263395537,0.000000000,0.994476209,0.000000000,?,?,?,?,?,?
fclqcolor-20-15-12.cnf.gz.CP3-cnfmiter.cnf,1,3.703076923,0.123384517,3.000000000,4.000000000,0.608234646,0.608937881,0.680601323,68056.000000000,326112.000000000,68054.000000000,326108.000000000,0.000029388,0.000012266,0.208685466,0.559503949,0.815105640,0.000000000,1.000000000,1.009397277,0.000041049,42.201070666,0.000029388,0.494651306,0.604911044,0.000000000,0.793540790,0.828498534,0.000041049,14.460983346,0.000018399,0.103235738,0.529075275,0.117955860,0.057799037,0.000000000,0.999821779,0.476932248,0.000022294,25.718209640,0.000006133,0.103226538,0.639645593,0.569820428,0.102146478,0.102653041,0.000367976,0.104750573,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,0.007023834,0.027919005,0.108854733,0.390278308,0.849472478,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,28162.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,10.026066351,0.000000000,1.665610967,0.000000000,27713.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.308446298,0.000000000,2.088748330,0.000000000,?,?,?,?,?,?
