@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC 
@ATTRIBUTE ALL NUMERIC

@DATA
sat/10pipe_k.cnf,1,80.55
sat/14pipe_q0_k.cnf,1,96.8
sat/16pipe_16_ooo.cnf,1,416.62
sat/1dlx_c_iq57_a.cnf,1,341.38
sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf,1,45.21
sat/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,1,252.56
sat/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf,1,418.32
sat/abb313GPIA-9-c.used-as.sat04-317.cnf,1,22.09
sat/ablmulub16x4o.cnf,1,0.26
sat/ablmulub2x32o.cnf,1,0.8
sat/ablmulub8x16o.cnf,1,0.78
sat/ACG-20-10p0.cnf,1,118.65
sat/ACG-20-5p1.cnf,1,100.35
sat/add_01_1000_4.smt2-cvc4.cnf,1,19.76
sat/aes_32_3_keyfind_2.cnf,1,0.07
sat/aes_32_5_keyfind_1.cnf,1,0.12
sat/aes_64_2_keyfind_1.cnf,1,0.34
sat/aes_64_3_keyfind_1.cnf,1,0.52
sat/ak016modbtsimpbisc.cnf,1,3.89
sat/ak032diagodiagoisc.cnf,1,1.65
sat/ak032modbtmodbtisc.cnf,1,20.27
sat/ak032modbtsimpbisc.cnf,1,20.29
sat/ak064boothboothisc.cnf,1,22.28
sat/ak064diagodiagoisc.cnf,1,16.96
sat/ak064modasbg2asisc.cnf,1,21.67
sat/ak064modbtmodbtisc.cnf,1,21.9
sat/ak064paralbg2btaig.cnf,1,22.46
sat/ak064paralparalisc.cnf,1,16.78
sat/ak064simpbbg2btaig.cnf,1,22.43
sat/ak128astepbg2msaig.cnf,1,35.03
sat/ak128boothbg2btisc.cnf,1,41.57
sat/ak128boothboothisc.cnf,1,41.6
sat/ak128diagobg2asaig.cnf,1,33.96
sat/ak128modasbg2asisc.cnf,1,34.29
sat/ak128modbtbg2msisc.cnf,1,33.32
sat/ak128paralbg2msisc.cnf,1,34.84
sat/ak128paralparalisc.cnf,1,39.52
sat/ak128simpbbg2msisc.cnf,1,35.49
sat/am_7_7.shuffled-as.sat03-363.cnf,1,0.24
sat/am_9_9.cnf,1,0.85
sat/AProVE07-25.cnf,1,13.42
sat/AProVE11-06.cnf,1,64.32
sat/arcfour_initialPermutation_5_32.cnf,1,20.77
sat/arcfour_initialPermutation_6_14.cnf,1,27.35
sat/barman-pfile06-022.sas.ex.7.cnf,1,585.25
sat/barman-pfile07-027.sas.cr.37.cnf,1,44.5
sat/barman-pfile08-030.sas.cr.27.cnf,1,58.92
sat/barman-pfile09-036.sas.cr.33.cnf,1,69.04
sat/barman-pfile10-038.sas.cr.25.cnf,1,50.97
sat/barman-pfile10-040.sas.cr.17.cnf,1,56.07
sat/barman-pfile10-040.sas.cr.21.cnf,1,60.82
sat/C168_FW_UT_518.cnf,1,0.07
sat/countbitsarray04_32.cnf,1,0.37
sat/countbitssrl128.cnf,1,44.3
sat/ctl_3791_556_unsat.cnf,1,20.6
sat/ctl_4291_567_8_unsat.cnf,1,20.98
sat/cube-11-h13-unsat.cnf,1,51.94
sat/custmulsb2x32o.cnf,1,0.51
sat/custmulun16x16o.cnf,1,0.21
sat/dated-10-19-u.cnf,1,26.83
sat/div2.c.20.smt2-stp212.cnf,1,38.65
sat/E00N23.cnf,1,78.06
sat/E02F22.cnf,1,40.11
sat/e2_1.c.smt2-stp212.cnf,1,20.95
sat/e2_2.c.smt2-cvc4.cnf,1,20.37
sat/e2a_2.c.smt2-cvc4.cnf,1,20.32
sat/eq.atree.braun.11.unsat.cnf,1,0.14
sat/eq.atree.braun.12.unsat.cnf,1,0.15
sat/eq.atree.braun.13.unsat.cnf,1,0.19
sat/f1000.cnf,1,0.16
sat/f600.cnf,1,0.09
sat/g250.29.cnf,1,23.35
sat/gaussian.c.75.smt2-cvc4.cnf,1,4272.3
sat/gripper14u.cnf,1,1.03
sat/gss-20-s100.cnf,1,3.21
sat/gss-24-s100.cnf,1,3.52
sat/gss-26-s100.cnf,1,3.55
sat/gss-27-s100.cnf,1,3.51
sat/gss-28-s100.cnf,1,3.3
sat/gss-29-s100.cnf,1,3.39
sat/gus-md5-10.cnf,1,11.07
sat/gus-md5-12.cnf,1,11.05
sat/hitag2-8-60-0-0xb2021557d918860-94.cnf,1,20.1
sat/homer17.cnf,1,0.24
sat/ibm-2002-23r-k90.cnf,1,32.72
sat/k_unsat.cnf,1,20.27
sat/k2mul.miter.cnf,1,20.44
sat/korf-18.cnf,1,20.94
sat/li-exam-61.cnf,1,5.03
sat/li-exam-61.shuffled-as.sat03-366.cnf,1,6.42
sat/li-exam-62.cnf,1,5.04
sat/li-exam-63.cnf,1,5.04
sat/li-test4-100.cnf,1,13.9
sat/li-test4-95.cnf,1,13.89
sat/li-test4-96.cnf,1,13.9
sat/li-test4-98.cnf,1,14.79
sat/li-test4-99.cnf,1,13.9
sat/maxor128.cnf,1,32.22
sat/maxxororand032.cnf,1,11.42
sat/minxorminand128.cnf,1,26.73
sat/mix034_rmo.opt_false-unreach-call.i-cbmc-u2.cnf,1,28.49
sat/miza-sr06-md5-48-01.cnf,1,8.74
sat/mizh-md5-47-3.cnf,1,8.43
sat/modgen-n200-m90860q08c40-1006.cnf,1,0.17
sat/modgen-n200-m90860q08c40-11953.cnf,1,0.17
sat/modgen-n200-m90860q08c40-12992.cnf,1,0.18
sat/modgen-n200-m90860q08c40-13845.cnf,1,0.17
sat/modgen-n200-m90860q08c40-1434.cnf,1,0.17
sat/modgen-n200-m90860q08c40-14424.cnf,1,0.18
sat/modgen-n200-m90860q08c40-14808.cnf,1,0.18
sat/modgen-n200-m90860q08c40-15163.cnf,1,0.17
sat/modgen-n200-m90860q08c40-15606.cnf,1,0.18
sat/modgen-n200-m90860q08c40-1585.cnf,1,0.17
sat/modgen-n200-m90860q08c40-16597.cnf,1,0.18
sat/modgen-n200-m90860q08c40-1876.cnf,1,0.17
sat/modgen-n200-m90860q08c40-18788.cnf,1,0.17
sat/modgen-n200-m90860q08c40-18972.cnf,1,0.17
sat/modgen-n200-m90860q08c40-19419.cnf,1,0.17
sat/modgen-n200-m90860q08c40-2087.cnf,1,0.3
sat/modgen-n200-m90860q08c40-21438.cnf,1,0.3
sat/modgen-n200-m90860q08c40-22556.cnf,1,0.29
sat/modgen-n200-m90860q08c40-25297.cnf,1,0.29
sat/modgen-n200-m90860q08c40-28046.cnf,1,0.29
sat/modgen-n200-m90860q08c40-29020.cnf,1,0.29
sat/modgen-n200-m90860q08c40-3230.cnf,1,0.28
sat/modgen-n200-m90860q08c40-3866.cnf,1,0.29
sat/modgen-n200-m90860q08c40-4208.cnf,1,0.28
sat/modgen-n200-m90860q08c40-5377.cnf,1,0.26
sat/modgen-n200-m90860q08c40-6295.cnf,1,0.28
sat/modgen-n200-m90860q08c40-6336.cnf,1,0.28
sat/modgen-n200-m90860q08c40-6967.cnf,1,0.3
sat/modgen-n200-m90860q08c40-9056.cnf,1,0.28
sat/mul_03_3000_1.smt2-cvc4.cnf,1,21.26
sat/mulhs016.cnf,1,0.3
sat/mulhs032.cnf,1,1.35
sat/mulhs064.cnf,1,10.8
sat/ndhf_xits_09_UNSAT.cnf,1,31.35
sat/ndhf_xits_17_UNKNOWN.cnf,1,34.69
sat/newton.2.2.i.smt2-cvc4.cnf,1,45.19
sat/newton.2.3.i.smt2-cvc4.cnf,1,79.1
sat/newton.2.3.i.smt2-stp212.cnf,1,38.31
sat/newton.3.3.i.smt2-stp212.cnf,1,38.32
sat/newton.4.3.i.smt2-stp212.cnf,1,38.3
sat/newton.5.1.i.smt2-cvc4.cnf,1,26.49
sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.035-NOTKNOWN.cnf,1,26.83
sat/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.045-NOTKNOWN.cnf,1,33.98
sat/par32-1-c.cnf,1,6.46
sat/par32-3-c.cnf,1,6.93
sat/partial-10-13-u.cnf,1,34.67
sat/partial-10-15-s.cnf,1,44.53
sat/partial-10-19-s.cnf,1,70.31
sat/partial-10-19-u.cnf,1,70.01
sat/partial-5-11-u.cnf,1,18.01
sat/partial-5-15-u.cnf,1,33.23
sat/partial-5-17-u.cnf,1,47.95
sat/partial-5-19-u.cnf,1,52.96
sat/pb_400_02_lb_15.cnf,1,80.44
sat/podwr001_power.opt_false-unreach-call.i-cbmc-u2.cnf,1,36.03
sat/q_query_3_L200_coli.sat.cnf,1,95.87
sat/rbcl_xits_09_UNKNOWN.cnf,1,24.46
sat/rbcl_xits_11_UNKNOWN.cnf,1,21.44
sat/rbcl_xits_13_UNKNOWN.cnf,1,29.83
sat/rpoc_xits_08_UNSAT.cnf,1,21.79
sat/rpoc_xits_09_UNSAT.cnf,1,25.99
