@RELATION algorithm_runs_TSP_ECJ2017

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
morphed_1000-10-1---1000-819,0,eax,4.84,ok
morphed_1000-10-1---1000-819,0,eax.restart,4.43,ok
morphed_1000-10-1---1000-819,0,lkh,9.73,ok
morphed_1000-10-1---1000-819,0,lkh.restart,8.85,ok
morphed_1000-10-1---1000-819,0,maos,8.7,ok
morphed_1000-10-1---1000-819,1,eax,6.47,ok
morphed_1000-10-1---1000-819,1,eax.restart,4.59,ok
morphed_1000-10-1---1000-819,1,lkh,3.65,ok
morphed_1000-10-1---1000-819,1,lkh.restart,4.44,ok
morphed_1000-10-1---1000-819,1,maos,8.94,ok
morphed_1000-10-1---1000-819,2,eax,4.24,ok
morphed_1000-10-1---1000-819,2,eax.restart,4.48,ok
morphed_1000-10-1---1000-819,2,lkh,21.15,ok
morphed_1000-10-1---1000-819,2,lkh.restart,2.53,ok
morphed_1000-10-1---1000-819,2,maos,3600,timeout
morphed_1000-10-1---1000-819,3,eax,4.34,ok
morphed_1000-10-1---1000-819,3,eax.restart,4.37,ok
morphed_1000-10-1---1000-819,3,lkh,34.94,ok
morphed_1000-10-1---1000-819,3,lkh.restart,24.63,ok
morphed_1000-10-1---1000-819,3,maos,9.29,ok
morphed_1000-10-1---1000-819,4,eax,5.21,ok
morphed_1000-10-1---1000-819,4,eax.restart,4.27,ok
morphed_1000-10-1---1000-819,4,lkh,21.54,ok
morphed_1000-10-1---1000-819,4,lkh.restart,15.49,ok
morphed_1000-10-1---1000-819,4,maos,9.08,ok
morphed_1000-10-1---1000-819,5,eax,4.34,ok
morphed_1000-10-1---1000-819,5,eax.restart,4.27,ok
morphed_1000-10-1---1000-819,5,lkh,3.66,ok
morphed_1000-10-1---1000-819,5,lkh.restart,22.04,ok
morphed_1000-10-1---1000-819,5,maos,9.6,ok
morphed_1000-10-1---1000-819,6,eax,4.33,ok
morphed_1000-10-1---1000-819,6,eax.restart,4.19,ok
morphed_1000-10-1---1000-819,6,lkh,7.56,ok
morphed_1000-10-1---1000-819,6,lkh.restart,5.09,ok
morphed_1000-10-1---1000-819,6,maos,9.22,ok
morphed_1000-10-1---1000-819,7,eax,4.35,ok
morphed_1000-10-1---1000-819,7,eax.restart,4.75,ok
morphed_1000-10-1---1000-819,7,lkh,5.44,ok
morphed_1000-10-1---1000-819,7,lkh.restart,2.95,ok
morphed_1000-10-1---1000-819,7,maos,8.81,ok
morphed_1000-10-1---1000-819,8,eax,4.71,ok
morphed_1000-10-1---1000-819,8,eax.restart,5,ok
morphed_1000-10-1---1000-819,8,lkh,10.86,ok
morphed_1000-10-1---1000-819,8,lkh.restart,13.13,ok
morphed_1000-10-1---1000-819,8,maos,8.8,ok
morphed_1000-10-1---1000-819,9,eax,4.39,ok
morphed_1000-10-1---1000-819,9,eax.restart,5.26,ok
morphed_1000-10-1---1000-819,9,lkh,12.12,ok
morphed_1000-10-1---1000-819,9,lkh.restart,5.72,ok
morphed_1000-10-1---1000-819,9,maos,8.81,ok
morphed_1000-10-10---1000-440,0,eax,4.35,ok
morphed_1000-10-10---1000-440,0,eax.restart,4.5,ok
morphed_1000-10-10---1000-440,0,lkh,11.42,ok
morphed_1000-10-10---1000-440,0,lkh.restart,4.14,ok
morphed_1000-10-10---1000-440,0,maos,3600,timeout
morphed_1000-10-10---1000-440,1,eax,4.27,ok
morphed_1000-10-10---1000-440,1,eax.restart,4.24,ok
morphed_1000-10-10---1000-440,1,lkh,10.4,ok
morphed_1000-10-10---1000-440,1,lkh.restart,6.89,ok
morphed_1000-10-10---1000-440,1,maos,8.8,ok
morphed_1000-10-10---1000-440,2,eax,3.98,ok
morphed_1000-10-10---1000-440,2,eax.restart,4.28,ok
morphed_1000-10-10---1000-440,2,lkh,9.36,ok
morphed_1000-10-10---1000-440,2,lkh.restart,3.96,ok
morphed_1000-10-10---1000-440,2,maos,10.42,ok
morphed_1000-10-10---1000-440,3,eax,4.42,ok
morphed_1000-10-10---1000-440,3,eax.restart,4.08,ok
morphed_1000-10-10---1000-440,3,lkh,12.3,ok
morphed_1000-10-10---1000-440,3,lkh.restart,5.39,ok
morphed_1000-10-10---1000-440,3,maos,3600,timeout
morphed_1000-10-10---1000-440,4,eax,4.91,ok
morphed_1000-10-10---1000-440,4,eax.restart,4.32,ok
morphed_1000-10-10---1000-440,4,lkh,10.55,ok
morphed_1000-10-10---1000-440,4,lkh.restart,11.36,ok
morphed_1000-10-10---1000-440,4,maos,3600,timeout
morphed_1000-10-10---1000-440,5,eax,4.57,ok
morphed_1000-10-10---1000-440,5,eax.restart,4.27,ok
morphed_1000-10-10---1000-440,5,lkh,11.74,ok
morphed_1000-10-10---1000-440,5,lkh.restart,10.64,ok
morphed_1000-10-10---1000-440,5,maos,8.91,ok
morphed_1000-10-10---1000-440,6,eax,4.33,ok
morphed_1000-10-10---1000-440,6,eax.restart,4.65,ok
morphed_1000-10-10---1000-440,6,lkh,33.63,ok
morphed_1000-10-10---1000-440,6,lkh.restart,9.45,ok
morphed_1000-10-10---1000-440,6,maos,3600,timeout
morphed_1000-10-10---1000-440,7,eax,5.01,ok
morphed_1000-10-10---1000-440,7,eax.restart,4.3,ok
morphed_1000-10-10---1000-440,7,lkh,16.86,ok
morphed_1000-10-10---1000-440,7,lkh.restart,26.33,ok
morphed_1000-10-10---1000-440,7,maos,9.71,ok
morphed_1000-10-10---1000-440,8,eax,4.17,ok
morphed_1000-10-10---1000-440,8,eax.restart,5.08,ok
morphed_1000-10-10---1000-440,8,lkh,9.96,ok
morphed_1000-10-10---1000-440,8,lkh.restart,4.6,ok
morphed_1000-10-10---1000-440,8,maos,3600,timeout
morphed_1000-10-10---1000-440,9,eax,4.43,ok
morphed_1000-10-10---1000-440,9,eax.restart,4.51,ok
morphed_1000-10-10---1000-440,9,lkh,28.66,ok
morphed_1000-10-10---1000-440,9,lkh.restart,9.93,ok
morphed_1000-10-10---1000-440,9,maos,9.06,ok
morphed_1000-10-11---1000-564,0,eax,4.31,ok
morphed_1000-10-11---1000-564,0,eax.restart,4.38,ok
morphed_1000-10-11---1000-564,0,lkh,3600,timeout
morphed_1000-10-11---1000-564,0,lkh.restart,509.42,ok
morphed_1000-10-11---1000-564,0,maos,10.39,ok
morphed_1000-10-11---1000-564,1,eax,5.58,ok
morphed_1000-10-11---1000-564,1,eax.restart,5.2,ok
morphed_1000-10-11---1000-564,1,lkh,3600,timeout
morphed_1000-10-11---1000-564,1,lkh.restart,820.08,ok
morphed_1000-10-11---1000-564,1,maos,3600,timeout
morphed_1000-10-11---1000-564,2,eax,4.05,ok
morphed_1000-10-11---1000-564,2,eax.restart,3.9,ok
morphed_1000-10-11---1000-564,2,lkh,3600,timeout
morphed_1000-10-11---1000-564,2,lkh.restart,226.58,ok
morphed_1000-10-11---1000-564,2,maos,8.79,ok
morphed_1000-10-11---1000-564,3,eax,4.64,ok
morphed_1000-10-11---1000-564,3,eax.restart,3.87,ok
morphed_1000-10-11---1000-564,3,lkh,3600,timeout
morphed_1000-10-11---1000-564,3,lkh.restart,93.57,ok
