@RELATION cv_TSP_ECJ2017

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC

@DATA
morphed_1000-10-1---1000-819,0,3
morphed_1000-10-1---1000-819,1,3
morphed_1000-10-1---1000-819,2,3
morphed_1000-10-1---1000-819,3,3
morphed_1000-10-1---1000-819,4,3
morphed_1000-10-1---1000-819,5,3
morphed_1000-10-1---1000-819,6,3
morphed_1000-10-1---1000-819,7,3
morphed_1000-10-1---1000-819,8,3
morphed_1000-10-1---1000-819,9,3
morphed_1000-10-10---1000-440,0,2
morphed_1000-10-10---1000-440,1,2
morphed_1000-10-10---1000-440,2,2
morphed_1000-10-10---1000-440,3,2
morphed_1000-10-10---1000-440,4,2
morphed_1000-10-10---1000-440,5,2
morphed_1000-10-10---1000-440,6,2
morphed_1000-10-10---1000-440,7,2
morphed_1000-10-10---1000-440,8,2
morphed_1000-10-10---1000-440,9,2
morphed_1000-10-11---1000-564,0,8
morphed_1000-10-11---1000-564,1,8
morphed_1000-10-11---1000-564,2,8
morphed_1000-10-11---1000-564,3,8
morphed_1000-10-11---1000-564,4,8
morphed_1000-10-11---1000-564,5,8
morphed_1000-10-11---1000-564,6,8
morphed_1000-10-11---1000-564,7,8
morphed_1000-10-11---1000-564,8,8
morphed_1000-10-11---1000-564,9,8
morphed_1000-10-12---1000-276,0,8
morphed_1000-10-12---1000-276,1,8
morphed_1000-10-12---1000-276,2,8
morphed_1000-10-12---1000-276,3,8
morphed_1000-10-12---1000-276,4,8
morphed_1000-10-12---1000-276,5,8
morphed_1000-10-12---1000-276,6,8
morphed_1000-10-12---1000-276,7,8
morphed_1000-10-12---1000-276,8,8
morphed_1000-10-12---1000-276,9,8
morphed_1000-10-13---1000-946,0,7
morphed_1000-10-13---1000-946,1,7
morphed_1000-10-13---1000-946,2,7
morphed_1000-10-13---1000-946,3,7
morphed_1000-10-13---1000-946,4,7
morphed_1000-10-13---1000-946,5,7
morphed_1000-10-13---1000-946,6,7
morphed_1000-10-13---1000-946,7,7
morphed_1000-10-13---1000-946,8,7
morphed_1000-10-13---1000-946,9,7
morphed_1000-10-14---1000-326,0,8
morphed_1000-10-14---1000-326,1,8
morphed_1000-10-14---1000-326,2,8
morphed_1000-10-14---1000-326,3,8
morphed_1000-10-14---1000-326,4,8
morphed_1000-10-14---1000-326,5,8
morphed_1000-10-14---1000-326,6,8
morphed_1000-10-14---1000-326,7,8
morphed_1000-10-14---1000-326,8,8
morphed_1000-10-14---1000-326,9,8
morphed_1000-10-15---1000-520,0,7
morphed_1000-10-15---1000-520,1,7
morphed_1000-10-15---1000-520,2,7
morphed_1000-10-15---1000-520,3,7
morphed_1000-10-15---1000-520,4,7
morphed_1000-10-15---1000-520,5,7
morphed_1000-10-15---1000-520,6,7
morphed_1000-10-15---1000-520,7,7
morphed_1000-10-15---1000-520,8,7
morphed_1000-10-15---1000-520,9,7
morphed_1000-10-16---1000-824,0,7
morphed_1000-10-16---1000-824,1,7
morphed_1000-10-16---1000-824,2,7
morphed_1000-10-16---1000-824,3,7
morphed_1000-10-16---1000-824,4,7
morphed_1000-10-16---1000-824,5,7
morphed_1000-10-16---1000-824,6,7
morphed_1000-10-16---1000-824,7,7
morphed_1000-10-16---1000-824,8,7
morphed_1000-10-16---1000-824,9,7
morphed_1000-10-17---1000-461,0,6
morphed_1000-10-17---1000-461,1,6
morphed_1000-10-17---1000-461,2,6
morphed_1000-10-17---1000-461,3,6
morphed_1000-10-17---1000-461,4,6
morphed_1000-10-17---1000-461,5,6
morphed_1000-10-17---1000-461,6,6
morphed_1000-10-17---1000-461,7,6
morphed_1000-10-17---1000-461,8,6
morphed_1000-10-17---1000-461,9,6
morphed_1000-10-18---1000-625,0,1
morphed_1000-10-18---1000-625,1,1
morphed_1000-10-18---1000-625,2,1
morphed_1000-10-18---1000-625,3,1
morphed_1000-10-18---1000-625,4,1
morphed_1000-10-18---1000-625,5,1
morphed_1000-10-18---1000-625,6,1
morphed_1000-10-18---1000-625,7,1
morphed_1000-10-18---1000-625,8,1
morphed_1000-10-18---1000-625,9,1
morphed_1000-10-19---1000-833,0,4
morphed_1000-10-19---1000-833,1,4
morphed_1000-10-19---1000-833,2,4
morphed_1000-10-19---1000-833,3,4
morphed_1000-10-19---1000-833,4,4
morphed_1000-10-19---1000-833,5,4
morphed_1000-10-19---1000-833,6,4
morphed_1000-10-19---1000-833,7,4
morphed_1000-10-19---1000-833,8,4
morphed_1000-10-19---1000-833,9,4
morphed_1000-10-2---1000-659,0,1
morphed_1000-10-2---1000-659,1,1
morphed_1000-10-2---1000-659,2,1
morphed_1000-10-2---1000-659,3,1
morphed_1000-10-2---1000-659,4,1
morphed_1000-10-2---1000-659,5,1
morphed_1000-10-2---1000-659,6,1
morphed_1000-10-2---1000-659,7,1
morphed_1000-10-2---1000-659,8,1
morphed_1000-10-2---1000-659,9,1
morphed_1000-10-20---1000-827,0,4
morphed_1000-10-20---1000-827,1,4
morphed_1000-10-20---1000-827,2,4
morphed_1000-10-20---1000-827,3,4
morphed_1000-10-20---1000-827,4,4
morphed_1000-10-20---1000-827,5,4
morphed_1000-10-20---1000-827,6,4
morphed_1000-10-20---1000-827,7,4
morphed_1000-10-20---1000-827,8,4
morphed_1000-10-20---1000-827,9,4
morphed_1000-10-21---1000-762,0,10
morphed_1000-10-21---1000-762,1,10
morphed_1000-10-21---1000-762,2,10
morphed_1000-10-21---1000-762,3,10
morphed_1000-10-21---1000-762,4,10
morphed_1000-10-21---1000-762,5,10
morphed_1000-10-21---1000-762,6,10
morphed_1000-10-21---1000-762,7,10
morphed_1000-10-21---1000-762,8,10
morphed_1000-10-21---1000-762,9,10
morphed_1000-10-22---1000-184,0,2
morphed_1000-10-22---1000-184,1,2
morphed_1000-10-22---1000-184,2,2
morphed_1000-10-22---1000-184,3,2
morphed_1000-10-22---1000-184,4,2
morphed_1000-10-22---1000-184,5,2
morphed_1000-10-22---1000-184,6,2
morphed_1000-10-22---1000-184,7,2
morphed_1000-10-22---1000-184,8,2
morphed_1000-10-22---1000-184,9,2
morphed_1000-10-23---1000-247,0,4
morphed_1000-10-23---1000-247,1,4
morphed_1000-10-23---1000-247,2,4
morphed_1000-10-23---1000-247,3,4
morphed_1000-10-23---1000-247,4,4
morphed_1000-10-23---1000-247,5,4
