@RELATION feature_costs_TSP_ECJ2017

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ubc_cheap NUMERIC
@ATTRIBUTE ubc_all NUMERIC
@ATTRIBUTE tspmeta NUMERIC
@ATTRIBUTE pihera NUMERIC

@DATA
morphed_1000-10-1---1000-819,0,0.18,5.77,7.52,0.19
morphed_1000-10-1---1000-819,1,0.18,5.77,7.52,0.19
morphed_1000-10-1---1000-819,2,0.18,5.77,7.52,0.19
morphed_1000-10-1---1000-819,3,0.18,5.77,7.52,0.19
morphed_1000-10-1---1000-819,4,0.18,5.77,7.52,0.19
morphed_1000-10-1---1000-819,5,0.18,5.77,7.52,0.19
morphed_1000-10-1---1000-819,6,0.18,5.77,7.52,0.19
morphed_1000-10-1---1000-819,7,0.18,5.77,7.52,0.19
morphed_1000-10-1---1000-819,8,0.18,5.77,7.52,0.19
morphed_1000-10-1---1000-819,9,0.18,5.77,7.52,0.19
morphed_1000-10-10---1000-440,0,0.22,6.34,7.21,0.2
morphed_1000-10-10---1000-440,1,0.22,6.34,7.21,0.2
morphed_1000-10-10---1000-440,2,0.22,6.34,7.21,0.2
morphed_1000-10-10---1000-440,3,0.22,6.34,7.21,0.2
morphed_1000-10-10---1000-440,4,0.22,6.34,7.21,0.2
morphed_1000-10-10---1000-440,5,0.22,6.34,7.21,0.2
morphed_1000-10-10---1000-440,6,0.22,6.34,7.21,0.2
morphed_1000-10-10---1000-440,7,0.22,6.34,7.21,0.2
morphed_1000-10-10---1000-440,8,0.22,6.34,7.21,0.2
morphed_1000-10-10---1000-440,9,0.22,6.34,7.21,0.2
morphed_1000-10-11---1000-564,0,0.23,6.91,7.43,0.19
morphed_1000-10-11---1000-564,1,0.23,6.91,7.43,0.19
morphed_1000-10-11---1000-564,2,0.23,6.91,7.43,0.19
morphed_1000-10-11---1000-564,3,0.23,6.91,7.43,0.19
morphed_1000-10-11---1000-564,4,0.23,6.91,7.43,0.19
morphed_1000-10-11---1000-564,5,0.23,6.91,7.43,0.19
morphed_1000-10-11---1000-564,6,0.23,6.91,7.43,0.19
morphed_1000-10-11---1000-564,7,0.23,6.91,7.43,0.19
morphed_1000-10-11---1000-564,8,0.23,6.91,7.43,0.19
morphed_1000-10-11---1000-564,9,0.23,6.91,7.43,0.19
morphed_1000-10-12---1000-276,0,0.24,5.62,6.9,0.18
morphed_1000-10-12---1000-276,1,0.24,5.62,6.9,0.18
morphed_1000-10-12---1000-276,2,0.24,5.62,6.9,0.18
morphed_1000-10-12---1000-276,3,0.24,5.62,6.9,0.18
morphed_1000-10-12---1000-276,4,0.24,5.62,6.9,0.18
morphed_1000-10-12---1000-276,5,0.24,5.62,6.9,0.18
morphed_1000-10-12---1000-276,6,0.24,5.62,6.9,0.18
morphed_1000-10-12---1000-276,7,0.24,5.62,6.9,0.18
morphed_1000-10-12---1000-276,8,0.24,5.62,6.9,0.18
morphed_1000-10-12---1000-276,9,0.24,5.62,6.9,0.18
morphed_1000-10-13---1000-946,0,0.23,6.55,7.15,0.19
morphed_1000-10-13---1000-946,1,0.23,6.55,7.15,0.19
morphed_1000-10-13---1000-946,2,0.23,6.55,7.15,0.19
morphed_1000-10-13---1000-946,3,0.23,6.55,7.15,0.19
