@RELATION feature_runstatus_TSP_ECJ2017

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ubc_cheap {ok, timeout, memout, presolved, crash, other}
@ATTRIBUTE ubc_all {ok, timeout, memout, presolved, crash, other}
@ATTRIBUTE tspmeta {ok, timeout, memout, presolved, crash, other}
@ATTRIBUTE pihera {ok, timeout, memout, presolved, crash, other}

@DATA
morphed_1000-10-1---1000-819,0,ok,ok,ok,ok
morphed_1000-10-1---1000-819,1,ok,ok,ok,ok
morphed_1000-10-1---1000-819,2,ok,ok,ok,ok
morphed_1000-10-1---1000-819,3,ok,ok,ok,ok
morphed_1000-10-1---1000-819,4,ok,ok,ok,ok
morphed_1000-10-1---1000-819,5,ok,ok,ok,ok
morphed_1000-10-1---1000-819,6,ok,ok,ok,ok
morphed_1000-10-1---1000-819,7,ok,ok,ok,ok
morphed_1000-10-1---1000-819,8,ok,ok,ok,ok
morphed_1000-10-1---1000-819,9,ok,ok,ok,ok
morphed_1000-10-10---1000-440,0,ok,ok,ok,ok
morphed_1000-10-10---1000-440,1,ok,ok,ok,ok
morphed_1000-10-10---1000-440,2,ok,ok,ok,ok
morphed_1000-10-10---1000-440,3,ok,ok,ok,ok
morphed_1000-10-10---1000-440,4,ok,ok,ok,ok
morphed_1000-10-10---1000-440,5,ok,ok,ok,ok
morphed_1000-10-10---1000-440,6,ok,ok,ok,ok
morphed_1000-10-10---1000-440,7,ok,ok,ok,ok
morphed_1000-10-10---1000-440,8,ok,ok,ok,ok
morphed_1000-10-10---1000-440,9,ok,ok,ok,ok
morphed_1000-10-11---1000-564,0,ok,ok,ok,ok
morphed_1000-10-11---1000-564,1,ok,ok,ok,ok
morphed_1000-10-11---1000-564,2,ok,ok,ok,ok
morphed_1000-10-11---1000-564,3,ok,ok,ok,ok
morphed_1000-10-11---1000-564,4,ok,ok,ok,ok
morphed_1000-10-11---1000-564,5,ok,ok,ok,ok
morphed_1000-10-11---1000-564,6,ok,ok,ok,ok
morphed_1000-10-11---1000-564,7,ok,ok,ok,ok
morphed_1000-10-11---1000-564,8,ok,ok,ok,ok
morphed_1000-10-11---1000-564,9,ok,ok,ok,ok
morphed_1000-10-12---1000-276,0,ok,ok,ok,ok
morphed_1000-10-12---1000-276,1,ok,ok,ok,ok
morphed_1000-10-12---1000-276,2,ok,ok,ok,ok
morphed_1000-10-12---1000-276,3,ok,ok,ok,ok
morphed_1000-10-12---1000-276,4,ok,ok,ok,ok
morphed_1000-10-12---1000-276,5,ok,ok,ok,ok
morphed_1000-10-12---1000-276,6,ok,ok,ok,ok
morphed_1000-10-12---1000-276,7,ok,ok,ok,ok
morphed_1000-10-12---1000-276,8,ok,ok,ok,ok
morphed_1000-10-12---1000-276,9,ok,ok,ok,ok
morphed_1000-10-13---1000-946,0,ok,ok,ok,ok
morphed_1000-10-13---1000-946,1,ok,ok,ok,ok
morphed_1000-10-13---1000-946,2,ok,ok,ok,ok
morphed_1000-10-13---1000-946,3,ok,ok,ok,ok
morphed_1000-10-13---1000-946,4,ok,ok,ok,ok
morphed_1000-10-13---1000-946,5,ok,ok,ok,ok
morphed_1000-10-13---1000-946,6,ok,ok,ok,ok
morphed_1000-10-13---1000-946,7,ok,ok,ok,ok
morphed_1000-10-13---1000-946,8,ok,ok,ok,ok
morphed_1000-10-13---1000-946,9,ok,ok,ok,ok
morphed_1000-10-14---1000-326,0,ok,ok,ok,ok
morphed_1000-10-14---1000-326,1,ok,ok,ok,ok
morphed_1000-10-14---1000-326,2,ok,ok,ok,ok
morphed_1000-10-14---1000-326,3,ok,ok,ok,ok
morphed_1000-10-14---1000-326,4,ok,ok,ok,ok
morphed_1000-10-14---1000-326,5,ok,ok,ok,ok
morphed_1000-10-14---1000-326,6,ok,ok,ok,ok
morphed_1000-10-14---1000-326,7,ok,ok,ok,ok
morphed_1000-10-14---1000-326,8,ok,ok,ok,ok
morphed_1000-10-14---1000-326,9,ok,ok,ok,ok
