@RELATION algorithm_runs_TSP_LION2015

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
national_ca4663,1,eax,3600,timeout
national_ca4663,1,eax.restart,1219.72,ok
national_ca4663,1,lkh,3600,timeout
national_ca4663,1,lkh.restart,3600,timeout
national_ca4663,10,eax,3600,timeout
national_ca4663,10,eax.restart,241.07,ok
national_ca4663,10,lkh,3600,timeout
national_ca4663,10,lkh.restart,3600,timeout
national_ca4663,2,eax,3600,timeout
national_ca4663,2,eax.restart,221.49,ok
national_ca4663,2,lkh,3600,timeout
national_ca4663,2,lkh.restart,3600,timeout
national_ca4663,3,eax,3600,timeout
national_ca4663,3,eax.restart,289.29,ok
national_ca4663,3,lkh,3600,timeout
national_ca4663,3,lkh.restart,3600,timeout
national_ca4663,4,eax,3600,timeout
national_ca4663,4,eax.restart,250.84,ok
national_ca4663,4,lkh,3600,timeout
national_ca4663,4,lkh.restart,3600,timeout
national_ca4663,5,eax,3600,timeout
national_ca4663,5,eax.restart,113.37,ok
national_ca4663,5,lkh,3600,timeout
national_ca4663,5,lkh.restart,3600,timeout
national_ca4663,6,eax,3600,timeout
national_ca4663,6,eax.restart,580.63,ok
national_ca4663,6,lkh,3600,timeout
national_ca4663,6,lkh.restart,3600,timeout
national_ca4663,7,eax,3600,timeout
national_ca4663,7,eax.restart,449.12,ok
national_ca4663,7,lkh,3600,timeout
national_ca4663,7,lkh.restart,3600,timeout
national_ca4663,8,eax,3600,timeout
national_ca4663,8,eax.restart,123.31,ok
national_ca4663,8,lkh,3600,timeout
national_ca4663,8,lkh.restart,3600,timeout
national_ca4663,9,eax,3600,timeout
national_ca4663,9,eax.restart,226.21,ok
national_ca4663,9,lkh,3600,timeout
national_ca4663,9,lkh.restart,3600,timeout
national_gr9882,1,eax,3600,timeout
national_gr9882,1,eax.restart,3600,timeout
national_gr9882,1,lkh,355.52,ok
national_gr9882,1,lkh.restart,3600,timeout
national_gr9882,10,eax,3600,timeout
national_gr9882,10,eax.restart,3600,timeout
national_gr9882,10,lkh,380.13,ok
national_gr9882,10,lkh.restart,3600,timeout
national_gr9882,2,eax,3600,timeout
national_gr9882,2,eax.restart,1812.36,ok
national_gr9882,2,lkh,365.87,ok
national_gr9882,2,lkh.restart,3600,timeout
national_gr9882,3,eax,3600,timeout
national_gr9882,3,eax.restart,3600,timeout
national_gr9882,3,lkh,367.69,ok
national_gr9882,3,lkh.restart,3600,timeout
national_gr9882,4,eax,3600,timeout
national_gr9882,4,eax.restart,3600,timeout
national_gr9882,4,lkh,373.16,ok
national_gr9882,4,lkh.restart,3600,timeout
national_gr9882,5,eax,3600,timeout
national_gr9882,5,eax.restart,3600,timeout
national_gr9882,5,lkh,371.53,ok
national_gr9882,5,lkh.restart,1536.14,ok
national_gr9882,6,eax,3600,timeout
national_gr9882,6,eax.restart,3600,timeout
national_gr9882,6,lkh,375.81,ok
national_gr9882,6,lkh.restart,3600,timeout
national_gr9882,7,eax,3600,timeout
national_gr9882,7,eax.restart,3600,timeout
national_gr9882,7,lkh,365.57,ok
national_gr9882,7,lkh.restart,3600,timeout
national_gr9882,8,eax,3600,timeout
national_gr9882,8,eax.restart,3600,timeout
national_gr9882,8,lkh,357.93,ok
national_gr9882,8,lkh.restart,3600,timeout
national_gr9882,9,eax,3600,timeout
national_gr9882,9,eax.restart,3600,timeout
national_gr9882,9,lkh,358.35,ok
national_gr9882,9,lkh.restart,3199.22,ok
national_lu980,1,eax,3600,timeout
national_lu980,1,eax.restart,4.74,ok
national_lu980,1,lkh,3600,timeout
national_lu980,1,lkh.restart,3.63,ok
national_lu980,10,eax,3600,timeout
national_lu980,10,eax.restart,4.57,ok
national_lu980,10,lkh,3600,timeout
national_lu980,10,lkh.restart,0.88,ok
national_lu980,2,eax,3600,timeout
national_lu980,2,eax.restart,4.21,ok
national_lu980,2,lkh,3600,timeout
national_lu980,2,lkh.restart,3.28,ok
national_lu980,3,eax,3600,timeout
national_lu980,3,eax.restart,4.56,ok
national_lu980,3,lkh,3600,timeout
national_lu980,3,lkh.restart,2.4,ok
national_lu980,4,eax,3600,timeout
national_lu980,4,eax.restart,4.96,ok
national_lu980,4,lkh,3600,timeout
national_lu980,4,lkh.restart,4.61,ok
national_lu980,5,eax,3600,timeout
national_lu980,5,eax.restart,4.47,ok
national_lu980,5,lkh,3600,timeout
national_lu980,5,lkh.restart,2.44,ok
national_lu980,6,eax,3600,timeout
national_lu980,6,eax.restart,4.16,ok
national_lu980,6,lkh,3600,timeout
national_lu980,6,lkh.restart,0.82,ok
national_lu980,7,eax,3600,timeout
national_lu980,7,eax.restart,14.12,ok
national_lu980,7,lkh,3600,timeout
national_lu980,7,lkh.restart,1.07,ok
national_lu980,8,eax,3600,timeout
national_lu980,8,eax.restart,5.36,ok
national_lu980,8,lkh,3600,timeout
national_lu980,8,lkh.restart,1.29,ok
national_lu980,9,eax,3600,timeout
national_lu980,9,eax.restart,4.82,ok
national_lu980,9,lkh,3600,timeout
national_lu980,9,lkh.restart,9.84,ok
national_mu1979,1,eax,14.16,ok
national_mu1979,1,eax.restart,15.63,ok
national_mu1979,1,lkh,216.52,ok
national_mu1979,1,lkh.restart,313.4,ok
national_mu1979,10,eax,14.97,ok
national_mu1979,10,eax.restart,16.79,ok
national_mu1979,10,lkh,219.04,ok
national_mu1979,10,lkh.restart,25.28,ok
national_mu1979,2,eax,14.37,ok
national_mu1979,2,eax.restart,15.31,ok
national_mu1979,2,lkh,218.96,ok
national_mu1979,2,lkh.restart,145.85,ok
national_mu1979,3,eax,14.41,ok
national_mu1979,3,eax.restart,17.4,ok
national_mu1979,3,lkh,216.44,ok
national_mu1979,3,lkh.restart,199.5,ok
national_mu1979,4,eax,14.34,ok
national_mu1979,4,eax.restart,15.37,ok
national_mu1979,4,lkh,219.97,ok
national_mu1979,4,lkh.restart,1294.3,ok
national_mu1979,5,eax,14.48,ok
national_mu1979,5,eax.restart,17.09,ok
national_mu1979,5,lkh,219.24,ok
national_mu1979,5,lkh.restart,427.48,ok
national_mu1979,6,eax,14.59,ok
national_mu1979,6,eax.restart,16.54,ok
national_mu1979,6,lkh,219.56,ok
national_mu1979,6,lkh.restart,1666.23,ok
national_mu1979,7,eax,14.6,ok
national_mu1979,7,eax.restart,16.95,ok
national_mu1979,7,lkh,219.64,ok
national_mu1979,7,lkh.restart,401.53,ok
national_mu1979,8,eax,14.59,ok
national_mu1979,8,eax.restart,16.23,ok
national_mu1979,8,lkh,221.23,ok
national_mu1979,8,lkh.restart,1449.19,ok
national_mu1979,9,eax,14.59,ok
national_mu1979,9,eax.restart,16.89,ok
national_mu1979,9,lkh,216.01,ok
national_mu1979,9,lkh.restart,611.28,ok
national_nu3496,1,eax,3600,timeout
national_nu3496,1,eax.restart,98.2,ok
national_nu3496,1,lkh,3600,timeout
national_nu3496,1,lkh.restart,39.97,ok
national_nu3496,10,eax,3600,timeout
national_nu3496,10,eax.restart,150.02,ok
national_nu3496,10,lkh,3600,timeout
national_nu3496,10,lkh.restart,297.96,ok
national_nu3496,2,eax,3600,timeout
national_nu3496,2,eax.restart,41.49,ok
national_nu3496,2,lkh,3600,timeout
national_nu3496,2,lkh.restart,81.16,ok
national_nu3496,3,eax,3600,timeout
national_nu3496,3,eax.restart,45.56,ok
national_nu3496,3,lkh,3600,timeout
national_nu3496,3,lkh.restart,1318.28,ok
national_nu3496,4,eax,3600,timeout
national_nu3496,4,eax.restart,44.97,ok
national_nu3496,4,lkh,3600,timeout
national_nu3496,4,lkh.restart,330.68,ok
national_nu3496,5,eax,3600,timeout
national_nu3496,5,eax.restart,46.37,ok
national_nu3496,5,lkh,3600,timeout
national_nu3496,5,lkh.restart,45.75,ok
national_nu3496,6,eax,3600,timeout
national_nu3496,6,eax.restart,46.02,ok
national_nu3496,6,lkh,3600,timeout
national_nu3496,6,lkh.restart,257.55,ok
national_nu3496,7,eax,3600,timeout
national_nu3496,7,eax.restart,42.94,ok
national_nu3496,7,lkh,3600,timeout
national_nu3496,7,lkh.restart,64.25,ok
national_nu3496,8,eax,3600,timeout
national_nu3496,8,eax.restart,43.31,ok
national_nu3496,8,lkh,3600,timeout
national_nu3496,8,lkh.restart,57.52,ok
national_nu3496,9,eax,3600,timeout
national_nu3496,9,eax.restart,93.6,ok
national_nu3496,9,lkh,3600,timeout
national_nu3496,9,lkh.restart,221.91,ok
national_rw1621,1,eax,3600,timeout
national_rw1621,1,eax.restart,7.79,ok
national_rw1621,1,lkh,3600,timeout
national_rw1621,1,lkh.restart,5.27,ok
national_rw1621,10,eax,3600,timeout
national_rw1621,10,eax.restart,6.69,ok
national_rw1621,10,lkh,3600,timeout
national_rw1621,10,lkh.restart,16.87,ok
national_rw1621,2,eax,3600,timeout
national_rw1621,2,eax.restart,18.28,ok
national_rw1621,2,lkh,3600,timeout
national_rw1621,2,lkh.restart,9.79,ok
national_rw1621,3,eax,3600,timeout
national_rw1621,3,eax.restart,5.99,ok
national_rw1621,3,lkh,3600,timeout
national_rw1621,3,lkh.restart,26.39,ok
national_rw1621,4,eax,3600,timeout
national_rw1621,4,eax.restart,43.18,ok
national_rw1621,4,lkh,3600,timeout
national_rw1621,4,lkh.restart,9.32,ok
national_rw1621,5,eax,3600,timeout
national_rw1621,5,eax.restart,6.84,ok
national_rw1621,5,lkh,3600,timeout
national_rw1621,5,lkh.restart,17.72,ok
national_rw1621,6,eax,3600,timeout
national_rw1621,6,eax.restart,6.73,ok
national_rw1621,6,lkh,3600,timeout
national_rw1621,6,lkh.restart,126.18,ok
national_rw1621,7,eax,3600,timeout
national_rw1621,7,eax.restart,6.51,ok
national_rw1621,7,lkh,3600,timeout
