@RELATION cv_TSP_LION2015

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC

@DATA
national_ca4663,1,9
national_ca4663,2,9
national_ca4663,3,9
national_ca4663,4,9
national_ca4663,5,9
national_ca4663,6,9
national_ca4663,7,9
national_ca4663,8,9
national_ca4663,9,9
national_ca4663,10,9
national_gr9882,1,6
national_gr9882,2,6
national_gr9882,3,6
national_gr9882,4,6
national_gr9882,5,6
national_gr9882,6,6
national_gr9882,7,6
national_gr9882,8,6
national_gr9882,9,6
national_gr9882,10,6
national_lu980,1,5
national_lu980,2,5
national_lu980,3,5
national_lu980,4,5
national_lu980,5,5
national_lu980,6,5
national_lu980,7,5
national_lu980,8,5
national_lu980,9,5
national_lu980,10,5
national_mu1979,1,2
national_mu1979,2,2
national_mu1979,3,2
national_mu1979,4,2
national_mu1979,5,2
national_mu1979,6,2
national_mu1979,7,2
national_mu1979,8,2
national_mu1979,9,2
national_mu1979,10,2
national_nu3496,1,8
national_nu3496,2,8
national_nu3496,3,8
national_nu3496,4,8
national_nu3496,5,8
national_nu3496,6,8
national_nu3496,7,8
national_nu3496,8,8
national_nu3496,9,8
national_nu3496,10,8
national_rw1621,1,3
national_rw1621,2,3
national_rw1621,3,3
national_rw1621,4,3
national_rw1621,5,3
national_rw1621,6,3
national_rw1621,7,3
national_rw1621,8,3
national_rw1621,9,3
national_rw1621,10,3
national_uy734,1,7
national_uy734,2,7
national_uy734,3,7
national_uy734,4,7
national_uy734,5,7
national_uy734,6,7
national_uy734,7,7
national_uy734,8,7
national_uy734,9,7
national_uy734,10,7
national_zi929,1,9
national_zi929,2,9
national_zi929,3,9
national_zi929,4,9
national_zi929,5,9
national_zi929,6,9
national_zi929,7,9
national_zi929,8,9
national_zi929,9,9
national_zi929,10,9
rue_1000-1,1,1
rue_1000-1,2,1
rue_1000-1,3,1
rue_1000-1,4,1
rue_1000-1,5,1
rue_1000-1,6,1
rue_1000-1,7,1
rue_1000-1,8,1
rue_1000-1,9,1
rue_1000-1,10,1
rue_1000-10,1,9
rue_1000-10,2,9
rue_1000-10,3,9
rue_1000-10,4,9
rue_1000-10,5,9
rue_1000-10,6,9
rue_1000-10,7,9
rue_1000-10,8,9
rue_1000-10,9,9
rue_1000-10,10,9
rue_1000-1000,1,10
rue_1000-1000,2,10
rue_1000-1000,3,10
rue_1000-1000,4,10
rue_1000-1000,5,10
rue_1000-1000,6,10
rue_1000-1000,7,10
rue_1000-1000,8,10
rue_1000-1000,9,10
rue_1000-1000,10,10
rue_1000-101,1,10
rue_1000-101,2,10
rue_1000-101,3,10
rue_1000-101,4,10
rue_1000-101,5,10
rue_1000-101,6,10
rue_1000-101,7,10
rue_1000-101,8,10
rue_1000-101,9,10
rue_1000-101,10,10
rue_1000-102,1,3
rue_1000-102,2,3
rue_1000-102,3,3
rue_1000-102,4,3
rue_1000-102,5,3
rue_1000-102,6,3
rue_1000-102,7,3
rue_1000-102,8,3
rue_1000-102,9,3
rue_1000-102,10,3
rue_1000-103,1,1
rue_1000-103,2,1
rue_1000-103,3,1
rue_1000-103,4,1
rue_1000-103,5,1
rue_1000-103,6,1
rue_1000-103,7,1
rue_1000-103,8,1
rue_1000-103,9,1
rue_1000-103,10,1
rue_1000-104,1,5
rue_1000-104,2,5
rue_1000-104,3,5
rue_1000-104,4,5
rue_1000-104,5,5
rue_1000-104,6,5
rue_1000-104,7,5
rue_1000-104,8,5
rue_1000-104,9,5
rue_1000-104,10,5
rue_1000-105,1,5
rue_1000-105,2,5
rue_1000-105,3,5
rue_1000-105,4,5
rue_1000-105,5,5
rue_1000-105,6,5
rue_1000-105,7,5
rue_1000-105,8,5
rue_1000-105,9,5
rue_1000-105,10,5
rue_1000-106,1,6
rue_1000-106,2,6
rue_1000-106,3,6
rue_1000-106,4,6
rue_1000-106,5,6
rue_1000-106,6,6
rue_1000-106,7,6
rue_1000-106,8,6
rue_1000-106,9,6
rue_1000-106,10,6
rue_1000-107,1,3
rue_1000-107,2,3
rue_1000-107,3,3
rue_1000-107,4,3
rue_1000-107,5,3
rue_1000-107,6,3
rue_1000-107,7,3
rue_1000-107,8,3
rue_1000-107,9,3
rue_1000-107,10,3
rue_1000-108,1,10
rue_1000-108,2,10
rue_1000-108,3,10
rue_1000-108,4,10
rue_1000-108,5,10
rue_1000-108,6,10
rue_1000-108,7,10
rue_1000-108,8,10
rue_1000-108,9,10
rue_1000-108,10,10
