@RELATION feature_costs_TSP_LION2015

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ubc_cheap NUMERIC
@ATTRIBUTE ubc_all NUMERIC
@ATTRIBUTE tspmeta NUMERIC
@ATTRIBUTE eax_probing NUMERIC

@DATA
national_ca4663,1,2.42,408.63,7.4,11.48
national_ca4663,2,2.42,408.63,7.4,12.02
national_ca4663,3,2.42,408.63,7.4,11.63
national_ca4663,4,2.42,408.63,7.4,12.67
national_ca4663,5,2.42,408.63,7.4,12.1
national_ca4663,6,2.42,408.63,7.4,11.23
national_ca4663,7,2.42,408.63,7.4,11.64
national_ca4663,8,2.42,408.63,7.4,12.64
national_ca4663,9,2.42,408.63,7.4,12.15
national_ca4663,10,2.42,408.63,7.4,11.97
national_gr9882,1,10.43,1933.77,22.9,27.68
national_gr9882,2,10.43,1933.77,22.9,31.15
national_gr9882,3,10.43,1933.77,22.9,26.23
national_gr9882,4,10.43,1933.77,22.9,30.83
national_gr9882,5,10.43,1933.77,22.9,27.82
national_gr9882,6,10.43,1933.77,22.9,30.23
national_gr9882,7,10.43,1933.77,22.9,30.64
national_gr9882,8,10.43,1933.77,22.9,28.31
national_gr9882,9,10.43,1933.77,22.9,29.17
national_gr9882,10,10.43,1933.77,22.9,28.47
national_lu980,1,0.22,3.06,2.33,1.09
national_lu980,2,0.22,3.06,2.33,1.01
national_lu980,3,0.22,3.06,2.33,1.04
national_lu980,4,0.22,3.06,2.33,1.12
national_lu980,5,0.22,3.06,2.33,0.98
national_lu980,6,0.22,3.06,2.33,1
national_lu980,7,0.22,3.06,2.33,1.19
national_lu980,8,0.22,3.06,2.33,1.08
national_lu980,9,0.22,3.06,2.33,1.08
national_lu980,10,0.22,3.06,2.33,1.09
national_mu1979,1,0.68,21.32,3.55,2.93
national_mu1979,2,0.68,21.32,3.55,2.73
national_mu1979,3,0.68,21.32,3.55,2.92
national_mu1979,4,0.68,21.32,3.55,2.7
national_mu1979,5,0.68,21.32,3.55,3
national_mu1979,6,0.68,21.32,3.55,3.06
national_mu1979,7,0.68,21.32,3.55,3.03
national_mu1979,8,0.68,21.32,3.55,2.7
national_mu1979,9,0.68,21.32,3.55,2.84
national_mu1979,10,0.68,21.32,3.55,2.96
national_nu3496,1,0.87,90.71,4.36,5.06
national_nu3496,2,0.87,90.71,4.36,4.72
national_nu3496,3,0.87,90.71,4.36,4.76
national_nu3496,4,0.87,90.71,4.36,5.14
national_nu3496,5,0.87,90.71,4.36,5.21
national_nu3496,6,0.87,90.71,4.36,5.04
national_nu3496,7,0.87,90.71,4.36,4.41
national_nu3496,8,0.87,90.71,4.36,4.89
national_nu3496,9,0.87,90.71,4.36,5.1
national_nu3496,10,0.87,90.71,4.36,4.62
national_rw1621,1,0.34,4.9,2.95,1.52
national_rw1621,2,0.34,4.9,2.95,1.36
national_rw1621,3,0.34,4.9,2.95,1.32
national_rw1621,4,0.34,4.9,2.95,1.42
national_rw1621,5,0.34,4.9,2.95,1.45
national_rw1621,6,0.34,4.9,2.95,1.4
national_rw1621,7,0.34,4.9,2.95,1.39
national_rw1621,8,0.34,4.9,2.95,1.36
national_rw1621,9,0.34,4.9,2.95,1.51
national_rw1621,10,0.34,4.9,2.95,1.45
national_uy734,1,0.33,4.05,3.63,1.02
national_uy734,2,0.33,4.05,3.63,1.14
national_uy734,3,0.33,4.05,3.63,1.06
national_uy734,4,0.33,4.05,3.63,1.07
national_uy734,5,0.33,4.05,3.63,1.01
national_uy734,6,0.33,4.05,3.63,1.12
national_uy734,7,0.33,4.05,3.63,1.05
national_uy734,8,0.33,4.05,3.63,1.08
national_uy734,9,0.33,4.05,3.63,1.04
national_uy734,10,0.33,4.05,3.63,0.97
national_zi929,1,0.34,6.82,3.6,1.23
national_zi929,2,0.34,6.82,3.6,1.27
national_zi929,3,0.34,6.82,3.6,1.44
national_zi929,4,0.34,6.82,3.6,1.37
national_zi929,5,0.34,6.82,3.6,1.45
national_zi929,6,0.34,6.82,3.6,1.28
national_zi929,7,0.34,6.82,3.6,1.38
national_zi929,8,0.34,6.82,3.6,1.28
national_zi929,9,0.34,6.82,3.6,1.29
national_zi929,10,0.34,6.82,3.6,1.31
rue_1000-1,1,0.66,7.55,3.69,1.93
rue_1000-1,2,0.66,7.55,3.69,1.89
rue_1000-1,3,0.66,7.55,3.69,1.79
rue_1000-1,4,0.66,7.55,3.69,1.84
rue_1000-1,5,0.66,7.55,3.69,1.91
rue_1000-1,6,0.66,7.55,3.69,1.79
rue_1000-1,7,0.66,7.55,3.69,1.64
rue_1000-1,8,0.66,7.55,3.69,2.06
rue_1000-1,9,0.66,7.55,3.69,1.52
rue_1000-1,10,0.66,7.55,3.69,1.91
rue_1000-10,1,0.55,10.08,3.54,1.8
rue_1000-10,2,0.55,10.08,3.54,1.89
rue_1000-10,3,0.55,10.08,3.54,1.85
rue_1000-10,4,0.55,10.08,3.54,1.97
rue_1000-10,5,0.55,10.08,3.54,1.88
rue_1000-10,6,0.55,10.08,3.54,1.76
rue_1000-10,7,0.55,10.08,3.54,1.85
rue_1000-10,8,0.55,10.08,3.54,1.48
rue_1000-10,9,0.55,10.08,3.54,1.92
rue_1000-10,10,0.55,10.08,3.54,1.8
rue_1000-1000,1,0.43,5.83,3.37,1.85
rue_1000-1000,2,0.43,5.83,3.37,1.95
rue_1000-1000,3,0.43,5.83,3.37,1.77
rue_1000-1000,4,0.43,5.83,3.37,1.8
rue_1000-1000,5,0.43,5.83,3.37,1.86
rue_1000-1000,6,0.43,5.83,3.37,2
rue_1000-1000,7,0.43,5.83,3.37,1.8
rue_1000-1000,8,0.43,5.83,3.37,1.95
rue_1000-1000,9,0.43,5.83,3.37,1.91
rue_1000-1000,10,0.43,5.83,3.37,1.89
rue_1000-101,1,0.33,6.38,3.8,1.69
rue_1000-101,2,0.33,6.38,3.8,1.89
rue_1000-101,3,0.33,6.38,3.8,1.72
rue_1000-101,4,0.33,6.38,3.8,1.9
rue_1000-101,5,0.33,6.38,3.8,1.9
rue_1000-101,6,0.33,6.38,3.8,1.74
rue_1000-101,7,0.33,6.38,3.8,1.89
rue_1000-101,8,0.33,6.38,3.8,1.81
rue_1000-101,9,0.33,6.38,3.8,1.72
rue_1000-101,10,0.33,6.38,3.8,1.68
rue_1000-102,1,0.53,6.63,4.06,1.79
rue_1000-102,2,0.53,6.63,4.06,1.87
rue_1000-102,3,0.53,6.63,4.06,1.72
rue_1000-102,4,0.53,6.63,4.06,2.01
rue_1000-102,5,0.53,6.63,4.06,1.78
rue_1000-102,6,0.53,6.63,4.06,1.79
