@RELATION feature_runstatus_TSP_LION2015

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ubc_cheap {ok, timeout, memout, presolved, crash, other}
@ATTRIBUTE ubc_all {ok, timeout, memout, presolved, crash, other}
@ATTRIBUTE tspmeta {ok, timeout, memout, presolved, crash, other}
@ATTRIBUTE eax_probing {ok, timeout, memout, presolved, crash, other}

@DATA
national_ca4663,1,ok,ok,ok,ok
national_ca4663,2,ok,ok,ok,ok
national_ca4663,3,ok,ok,ok,ok
national_ca4663,4,ok,ok,ok,ok
national_ca4663,5,ok,ok,ok,ok
national_ca4663,6,ok,ok,ok,ok
national_ca4663,7,ok,ok,ok,ok
national_ca4663,8,ok,ok,ok,ok
national_ca4663,9,ok,ok,ok,ok
national_ca4663,10,ok,ok,ok,ok
national_gr9882,1,ok,ok,ok,ok
national_gr9882,2,ok,ok,ok,ok
national_gr9882,3,ok,ok,ok,ok
national_gr9882,4,ok,ok,ok,ok
national_gr9882,5,ok,ok,ok,ok
national_gr9882,6,ok,ok,ok,ok
national_gr9882,7,ok,ok,ok,ok
national_gr9882,8,ok,ok,ok,ok
national_gr9882,9,ok,ok,ok,ok
national_gr9882,10,ok,ok,ok,ok
national_lu980,1,ok,ok,ok,ok
national_lu980,2,ok,ok,ok,ok
national_lu980,3,ok,ok,ok,ok
national_lu980,4,ok,ok,ok,ok
national_lu980,5,ok,ok,ok,ok
national_lu980,6,ok,ok,ok,ok
national_lu980,7,ok,ok,ok,ok
national_lu980,8,ok,ok,ok,ok
national_lu980,9,ok,ok,ok,ok
national_lu980,10,ok,ok,ok,ok
national_mu1979,1,ok,ok,ok,ok
national_mu1979,2,ok,ok,ok,ok
national_mu1979,3,ok,ok,ok,ok
national_mu1979,4,ok,ok,ok,ok
national_mu1979,5,ok,ok,ok,ok
national_mu1979,6,ok,ok,ok,ok
national_mu1979,7,ok,ok,ok,ok
national_mu1979,8,ok,ok,ok,ok
national_mu1979,9,ok,ok,ok,ok
national_mu1979,10,ok,ok,ok,ok
national_nu3496,1,ok,ok,ok,ok
national_nu3496,2,ok,ok,ok,ok
national_nu3496,3,ok,ok,ok,ok
national_nu3496,4,ok,ok,ok,ok
national_nu3496,5,ok,ok,ok,ok
