@relation CV_TTP-2016

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
eil51_n500_bounded-strongly-corr_01.ttp,1,4
pr264_n2630_uncorr_02.ttp,1,3
kroD100_n495_bounded-strongly-corr_01.ttp,1,7
fnl4461_n13380_bounded-strongly-corr_08.ttp,1,7
d1291_n1290_bounded-strongly-corr_09.ttp,1,7
nrw1379_n6890_bounded-strongly-corr_07.ttp,1,9
pr299_n298_uncorr_07.ttp,1,4
pcb1173_n1172_uncorr_02.ttp,1,3
d493_n492_uncorr_09.ttp,1,3
pr144_n1430_bounded-strongly-corr_01.ttp,1,9
rat783_n7820_bounded-strongly-corr_03.ttp,1,2
u2152_n2151_uncorr_04.ttp,1,3
pr299_n1490_uncorr-similar-weights_09.ttp,1,10
kroB200_n597_uncorr-similar-weights_04.ttp,1,3
vm1084_n10830_bounded-strongly-corr_05.ttp,1,6
kroD100_n495_uncorr_04.ttp,1,6
d15112_n45333_bounded-strongly-corr_05.ttp,1,9
pcb1173_n1172_uncorr-similar-weights_07.ttp,1,3
pr144_n429_bounded-strongly-corr_02.ttp,1,7
kroD100_n990_uncorr-similar-weights_09.ttp,1,8
lin105_n1040_uncorr_03.ttp,1,6
rat99_n294_uncorr-similar-weights_03.ttp,1,6
kroA200_n1990_bounded-strongly-corr_08.ttp,1,10
rat783_n2346_uncorr-similar-weights_04.ttp,1,1
rat99_n490_uncorr-similar-weights_02.ttp,1,10
pla7397_n73960_uncorr_02.ttp,1,2
ch150_n149_uncorr_10.ttp,1,4
rat575_n1722_bounded-strongly-corr_04.ttp,1,10
kroB150_n1490_uncorr-similar-weights_02.ttp,1,7
ch130_n645_uncorr_10.ttp,1,1
rat575_n5740_bounded-strongly-corr_08.ttp,1,10
d2103_n6306_uncorr_04.ttp,1,9
eil76_n75_uncorr-similar-weights_09.ttp,1,8
pla85900_n257697_uncorr-similar-weights_02.ttp,1,10
u1432_n1431_uncorr-similar-weights_03.ttp,1,3
rd400_n1995_uncorr-similar-weights_06.ttp,1,3
pla85900_n85899_uncorr_07.ttp,1,5
kroE100_n990_uncorr_05.ttp,1,1
pr1002_n1001_uncorr_03.ttp,1,2
kroA200_n1990_uncorr-similar-weights_04.ttp,1,1
tsp225_n1120_bounded-strongly-corr_05.ttp,1,5
pr264_n1315_uncorr-similar-weights_09.ttp,1,1
kroA150_n447_uncorr_05.ttp,1,9
brd14051_n14050_uncorr_02.ttp,1,6
berlin52_n255_uncorr-similar-weights_01.ttp,1,1
rl5934_n59330_bounded-strongly-corr_01.ttp,1,4
pr107_n530_uncorr-similar-weights_03.ttp,1,6
kroD100_n297_bounded-strongly-corr_04.ttp,1,7
d18512_n185110_bounded-strongly-corr_07.ttp,1,3
u2152_n21510_uncorr_03.ttp,1,3
lin105_n312_uncorr_03.ttp,1,1
rl1323_n6610_uncorr-similar-weights_01.ttp,1,1
kroD100_n495_uncorr-similar-weights_09.ttp,1,5
pla85900_n858990_uncorr-similar-weights_08.ttp,1,6
u2319_n23180_uncorr_06.ttp,1,5
d1655_n16540_bounded-strongly-corr_04.ttp,1,2
pr1002_n5005_bounded-strongly-corr_01.ttp,1,10
u2152_n21510_bounded-strongly-corr_08.ttp,1,10
ts225_n224_bounded-strongly-corr_06.ttp,1,2
fl1400_n6995_bounded-strongly-corr_08.ttp,1,9
d1291_n3870_uncorr-similar-weights_06.ttp,1,4
lin318_n1585_uncorr_07.ttp,1,1
rat195_n582_uncorr_10.ttp,1,9
lin318_n3170_bounded-strongly-corr_02.ttp,1,4
berlin52_n153_bounded-strongly-corr_03.ttp,1,9
pr226_n1125_uncorr_04.ttp,1,6
fl1577_n1576_uncorr_04.ttp,1,7
berlin52_n510_uncorr_05.ttp,1,5
u159_n790_uncorr-similar-weights_07.ttp,1,1
fl3795_n11382_uncorr_09.ttp,1,6
pr439_n2190_uncorr-similar-weights_09.ttp,1,4
d198_n197_uncorr-similar-weights_09.ttp,1,2
pcb1173_n3516_uncorr-similar-weights_04.ttp,1,2
gil262_n261_uncorr_07.ttp,1,6
tsp225_n1120_uncorr-similar-weights_07.ttp,1,7
kroA150_n1490_uncorr_03.ttp,1,1
brd14051_n14050_bounded-strongly-corr_06.ttp,1,6
ch130_n129_uncorr-similar-weights_03.ttp,1,1
